JÃ¶rg+Sander,min_year,max_year
Umut Güçlü,2013,2017
Zhize Zhou,2020,2022
Tianhao Wang,2015,2021
Çaglar Gülçehre,2012,2018
David Warde-Farley,2007,2016
Gunnar Rätsch,2013,2022
Mehdi Mirza,2011,2016
Iacer Calixto,2013,2022
Vinayak Pathak,2011,2015
Emiel van Miltenburg,2014,2019
Lucas Liebenwein,2016,2022
Verna Dankers,2020,2024
Phillip Lippe,2020,2022
Vincent Dumoulin,2014,2018
Saba Amiri,2019,2023
Lynn Katrina Annika Sörensen,2016,2022
Heysem Kaya,2020,2022
Wilko Schwarting,2016,2022
Daniela Rus,1990,2021
Gabrielle Ras,2017,2022
Jamie Hayes,2014,2021
John Ingraham,2012,2018
