authorID,MAGrank,name,PaperCount,CitationCount,PaperCount_field,authorRank,CitationCount_field,hIndex_field,FellowType
"2069749540","13073","Mark Billinghurst","557","15404","354","1","10673","48","16:2022,"
"2284081945","13890","Jean Vanderdonckt","480","6754","330","2","5496","36",\N
"40180715","14052","Manfred Tscheligi","583","4725","315","3","2875","25",\N
"2688824889","13250","Albrecht Schmidt","481","12506","284","4","8811","41","16:2018,"
"2157782254","13516","Stephen Brewster","416","11320","283","5","9061","51","16:2015,"
"2284655069","14002","Constantine Stephanidis","445","4904","276","6","3416","27",\N
"2076693188","13009","Hiroshi Ishiguro","1040","15832","265","7","5907","39",\N
"2421664160","13936","Fabio PaternÃ²","344","7630","260","8","6452","36",\N
"2120666348","12949","Saul Greenberg","401","18661","252","9","14690","65","1:2012,16:2005,"
"2117127927","12642","Brad A. Myers","457","20126","250","10","12338","57","1:2005,15:2017,16:2004,"
"668764113","11870","Ben Shneiderman","758","49467","236","11","24232","57","1:1997,15:2001,16:2001,"
"2088024608","13223","Steve Benford","409","12308","232","12","9937","54","16:2012,"
"2099360608","13642","Elisabeth AndrÃ©","537","9224","226","13","3076","29",\N
"1965363479","13941","Anton Nijholt","529","7086","218","14","3530","29",\N
"2304140017","13408","Alan Dix","431","12118","215","15","9953","31","16:2013,"
"2096221143","12693","Hiroshi Ishii","342","18023","214","16","15858","51","15:2019,16:2006,"
"2071700171","13440","Carl Gutwin","312","12159","202","17","8184","48","16:2012,"
"2118134862","12915","Daniel Thalmann","758","16261","197","18","3252","30",\N
"620732773","12251","Gregory D. Abowd","409","34185","196","19","24964","55","1:2008,16:2008,"
"2144042109","13211","Yvonne Rogers","337","17426","188","20","13825","52","1:2017,15:2022,16:2012,"
"2107501203","14052","Patrick Olivier","456","6598","187","21","3415","31",\N
"1588343227","14687","Harald Reiterer","341","2486","186","22","1588","21",\N
"87613993","14513","Philippe Palanque","327","3535","184","23","2181","24","16:2017,"
"2471487312","14168","Antonio KrÃ¼ger","383","5024","183","24","2428","26",\N
"2144459651","12768","John M. Carroll","644","20749","179","25","8384","45","1:2003,15:2003,16:2002,"
"1980670276","13336","Tom Rodden","354","11089","175","26","8359","51","1:2014,16:2009,"
"2111246749","12727","Anind K. Dey","310","25476","173","27","21658","55","1:2021,16:2015,"
"2000480134","14298","Jan Borchers","295","4200","168","28","3208","24",\N
"2071984077","13369","Mary Czerwinski","314","14231","168","29","8321","55","1:2015,16:2010,"
"29409133","13136","James A. Landay","234","15771","161","30","11886","52","1:2016,16:2011,"
"252695556","12838","Steven Feiner","321","14566","161","31","6943","41","1:2018,15:2018,16:2011,"
"2075666580","12723","Maja J. MatariÄ‡","562","23229","160","32","3366","26",\N
"2171298838","13444","Scott E. Hudson","246","9817","160","33","7191","45","15:2021,16:2006,"
"21019295","14125","Adrian David Cheok","416","5061","158","34","2576","25",\N
"273645318","13724","Pierre Dillenbourg","395","10504","158","35","3280","28",\N
"2251673584","14209","Ana Paiva","384","5672","156","36","2429","25",\N
"370013140","14382","Panos Markopoulos","370","4213","156","37","2379","25",\N
"416106927","13938","Max MÃ¼hlhÃ¤user","711","4389","152","38","1022","18",\N
"2125217293","13682","Takayuki Kanda","355","9640","152","39","5154","37",\N
"2101137802","14355","Susanne Boll","386","3913","151","40","2044","24",\N
"74286286","14618","Enrico Rukzio","229","3145","151","41","2453","26",\N
"2110484598","14058","Doug A. Bowman","218","7676","149","42","6184","36",\N
"2152110089","13616","Takeo Igarashi","423","9583","149","43","2846","32","16:2019,"
"2123005041","14121","Bruce H. Thomas","266","4393","147","44","2329","28",\N
"162880119","14515","Kasper HornbÃ¦k","183","5322","147","45","4756","33",\N
"332625852","13288","Kerstin Dautenhahn","471","15636","147","46","6197","30",\N
"2100559988","14239","Michitaka Hirose","461","2604","143","47","876","15",\N
"2147574392","14661","Andreas Butz","227","2913","143","48","2214","24",\N
"1999639849","14734","Patrick Langdon","302","2469","141","49","1446","21",\N
"318516288","13884","Jacob O. Wobbrock","198","10138","140","50","7838","45","1:2021,16:2019,"
"2650378090","14245","Pattie Maes","228","4238","139","51","2021","26",\N
"2014874916","15050","Kris Luyten","201","1903","139","52","1557","22",\N
"2133168985","14548","Florian Floyd Mueller","223","4110","138","53","3535","25",\N
"100176519","13379","Dieter Schmalstieg","488","11704","137","54","4156","36",\N
"1878836720","14637","Giulio Jacucci","241","3243","137","55","2453","26",\N
"2305314317","14580","Woontack Woo","319","2799","136","56","997","17",\N
"2108674939","14793","Thomas Hermann","308","1988","134","57","1300","15",\N
"2117918459","14869","Florian Alt","201","3014","133","58","2200","22",\N
"118569369","14926","Monica Bordegoni","315","1489","132","59","541","12",\N
