citingpaperID,citedpaperID,proba
1074998046,2044849491,0.525
109832452,126455327,0.54125
122602527,1587322954,0.6
14576171,2009727399,0.3225
14576171,2033854332,0.38375
14576171,2070134328,0.46125
14576171,2134510195,0.3175
14576171,2146807976,0.3675
1481453831,2075499829,0.64
1481453831,2124961556,0.40125
1481453831,87822204,0.305
148364001,2050400354,0.55875
148364001,2149660273,0.66
1487570547,2009727399,0.315
1487570547,2046593623,0.3775
1487570547,2075457099,0.53375
1487570547,2153643485,0.4475
1491178400,2139103617,0.85625
1502577746,2102563702,0.4975
1502772419,2086334222,0.68125
1502772419,2170936641,0.31
150356105,1584026445,0.3725
150356105,2009727399,0.28375
150356105,2113093063,0.34875
1511048421,2009727399,0.56125
1511048421,2202738825,0.43125
1511048421,2274980903,0.4825
1513522676,2110034858,0.15125
1514964618,1990951910,0.4625
1514964618,2030969394,0.345
1514964618,2144481322,0.54375
1514964618,2521971991,0.21
1515347377,1983524036,0.09375
1519109293,2117487426,0.0975
1519109293,2155640700,0.32
1532727052,1585089995,0.325
1532727052,2075457099,0.37125
1532727052,2170936641,0.33375
1532727052,33276683,0.43125
1534077126,2170936641,0.3725
1534077126,33276683,0.3925
1535896088,1990951910,0.37125
1535896088,2063957916,0.3775
1535896088,2144481322,0.29375
1537644522,2144481322,0.4075
1537644522,2521971991,0.4175
1544715417,2146584949,0.43625
1548484038,2127204392,0.35375
1552512454,2009727399,0.165
1552512454,2075457099,0.41125
1552512454,2269536626,0.37375
1556604398,2045712973,0.52625
1556604398,2148632426,0.305
1556846406,1683158490,0.37125
1557264270,103340358,0.045
1557264270,2022580894,0.49875
1557264270,2047532797,0.4975
1557264270,2056756258,0.15375
1557264270,2075283574,0.2125
1557264270,2168936785,0.4225
1557634037,1990951910,0.1525
1557634037,2063957916,0.64625
1557634037,2065811242,0.24
1557634037,2097704312,0.265
1557634037,2144481322,0.13375
1557634037,2153028052,0.2225
1562476336,2044849491,0.28
1565650734,1575463691,0.53125
1565650734,2143147232,0.355
1567051912,1511048421,0.7175
1567249908,1985711622,0.6725
1569347009,1587322954,0.2375
1569347009,2044541009,0.60375
157104584,2009727399,0.67625
157104584,2295846004,0.435
1575463691,2112210867,0.1675
1579214159,2035847787,0.39
1579214159,2110034858,0.33375
1579214159,2141146725,0.4775
