pushpak+bhattacharyya
Karthik Raman
Md Shad Akhtar
Navonil Majumder
Rajkumar Pujari
Deepak Gupta
Swapnil Hingmire
Desik Rengarajan
Pramit Bhattacharyya
Hirak Jyoti Kashyap
Kulin Shah
Simeng Sun
Pasin Manurangsi
Li Li
Zhi-Li Zhang
Apratim Bhattacharyya
Ainesh Bakshi
Sharmodeep Bhattacharyya
Shashanka Ubaru
Sahely Bhadra
Grigory Yaroslavtsev
Mario Fritz
Trapit Bansal
Sharmodeep Bhattacharyya
Fredrik Daniel Johansson
Apratim Bhattacharyya
Mario Fritz
Mrinal Das
Achintya Kundu
Shikhar Vashishth
Mario Fritz
