Philip+S.+Yu,min_year,max_year
Sihong Xie,2010,2016
Hengrui Zhang,2020,2022
Chenwei Zhang,2014,2019
Xiaokai Wei,2011,2016
Xiangnan Kong,2009,2014
Chun-Ta Lu,2012,2018
Shen Wang,2015,2019
Yunbo Wang,2015,2020
Lichao Sun,2016,2020
Zhongfen Deng,2018,2022
He Huang,2016,2022
Xuming Hu,2019,2024
Hechang Chen,2014,2018
Kay Liu,2021,2022
Zhiwei Liu,2017,2022
