citingpaperID,citedpaperID,proba
1492937709,1496652987,0.61375
1494072783,1560606416,0.59
1494072783,189439415,0.3325
1501848952,1794673361,0.4875
1504960731,1540819504,0.5375
1531298268,2136549260,0.52875
1563082109,1571173981,0.36125
1589923437,608313214,0.38
1595027239,1597673673,0.5
1603007977,1672100659,0.52375
1878545774,2027958664,0.385
1883346038,1496652987,0.4625
189439415,1560606416,0.76875
1928124889,2058706470,0.41
1941052660,1486854191,0.68875
1969778362,1881694999,0.345
1986523207,2139361335,0.37125
1998324721,585539373,0.1075
2008910335,1585543654,0.355
2010272868,2238764994,0.54125
2017173076,2136549260,0.4975
2017173076,250010900,0.49875
2027484280,2039255959,0.46875
2031281622,1516617579,0.58125
2048683081,1542695443,0.50625
2088189982,2165105616,0.40125
2088189982,2165761471,0.64875
2099766524,189439415,0.47375
2108875583,2123172965,0.2075
2134315926,2170728652,0.30875
2134315926,608313214,0.385
2150603953,1597673673,0.53625
2165105616,2165761471,0.70625
2170728652,1494072783,0.35375
2170728652,2134315926,0.42375
2270233431,2253534437,0.33125
2399020663,2108875583,0.375
2399020663,2123172965,0.35
2399469196,2149871154,0.6425
2399469196,2158617020,0.5275
2401704289,2025172137,0.34375
2547676993,2261664117,0.44625
2547676993,2511778167,0.72125
2558200167,2562585396,0.615
2562585396,2498755361,0.19625
2587151093,2572469843,0.39125
2596084492,2320900193,0.6
2598509923,1531298268,0.545
2598509923,2136549260,0.54875
2599730986,2498755361,0.1275
2599730986,2562585396,0.59875
2606002192,2177861014,0.49
2730476520,2550667967,0.40125
2754365011,2172123537,0.325
2773294902,1531298268,0.50875
2773294902,2136549260,0.32125
2773294902,2598509923,0.385
2891800498,2182443635,0.6575
2902011284,2182443635,0.65625
2908455940,2598509923,0.39125
2949248112,2891800498,0.45375
71123979,1560606416,0.59
71123979,189439415,0.42875
1055523,1999514735,0.1675
1055523,2082491817,0.47
1055523,2121685304,0.47875
1055523,2132822754,0.15625
1055523,2153070627,0.79125
1055523,2154765153,0.08375
127840381,1984488617,0.2125
127840381,1986789244,0.41125
127840381,1997199359,0.29375
127840381,2007999111,0.315
127840381,2166602595,0.37
1492872060,1997199359,0.31125
1492872060,2007999111,0.3625
1492872060,2111753337,0.34875
1492872060,2124080036,0.34
1492872060,2139275917,0.51625
1492872060,2166602595,0.4175
1496762705,2111753337,0.1675
1496762705,2166602595,0.2725
1504510181,1749834041,0.5075
1504510181,1997862012,0.32875
1504510181,20813843,0.5425
1504510181,2110491615,0.38875
1504510181,2123102905,0.7275
1504510181,2149046210,0.72625
1504510181,2154765153,0.315
1504510181,2166602595,0.2275
1528791874,1860503189,0.61875
1528791874,2105332409,0.525
1528791874,2111753337,0.5325
1528791874,2119427861,0.5825
1528791874,2138238075,0.56125
1549083521,1502450710,0.23375
1549083521,1986789244,0.53
1549083521,1989602286,0.28125
1549083521,2068189899,0.4625
1549083521,2139850616,0.62625
1549083521,2143509186,0.29875
1559018605,1997199359,0.29875
1559018605,2007999111,0.1375
1559018605,2166602595,0.27375
1572043788,1997199359,0.3175
1572043788,1997862012,0.23875
1572043788,2068189899,0.28875
1572043788,2111753337,0.41625
1572043788,2139850616,0.25375
1572043788,2146778452,0.3025
1572043788,2154765153,0.2675
1572043788,2166602595,0.37875
1581733711,142998419,0.28875
1581733711,2111753337,0.545
1594706025,1502450710,0.2125
1594706025,1559018605,0.6225
1594706025,1997199359,0.24125
1594706025,2007999111,0.2325
1594706025,2111753337,0.305
1594706025,2132142278,0.23625
1594706025,2143509186,0.175
1594706025,2166602595,0.74375
163003618,1584604748,0.3925
1749834041,1594706025,0.46
1749834041,2059437445,0.45625
1749834041,2166602595,0.515
1759523748,2105332409,0.475
1759523748,2117849623,0.535
1759523748,2135481006,0.40875
1776151390,1997199359,0.22125
1776151390,2007999111,0.3025
1776151390,2027004202,0.565
1776151390,2035498319,0.77875
1776151390,2044613318,0.78875
1776151390,2068189899,0.35
1776151390,2116752890,0.57
1776151390,2128552491,0.51875
1776151390,2148952798,0.3
1776151390,2151015825,0.6125
1776151390,2154765153,0.2925
1776151390,2166602595,0.33625
177923951,1997862012,0.305
177923951,2021079739,0.33375
177923951,2068189899,0.24625
177923951,2154765153,0.33875
177923951,2166602595,0.36875
1860503189,2105332409,0.585
1860503189,2111753337,0.5725
1860503189,2117849623,0.51
1860503189,2143509186,0.5225
1885298386,1594706025,0.2025
1885298386,2154765153,0.155
1885298386,2166602595,0.1625
1919529895,1055523,0.515
1919529895,2009213217,0.5925
1919529895,2098239585,0.6825
1920330819,1997862012,0.3025
1920330819,2121685304,0.54125
1920330819,2149046210,0.36125
1920330819,2154765153,0.17375
1920330819,2162039156,0.54375
1920330819,2166602595,0.26375
1951518330,1984488617,0.145
1951518330,2027004202,0.6575
1951518330,2044613318,0.48
1951518330,2139275917,0.3125
1968467415,2068189899,0.13375
1968467415,2143509186,0.50125
1968467415,2162546229,0.73125
1968467415,2166602595,0.13625
1968467415,2172118699,0.63875
1974421296,2035498319,0.05375
1984488617,1559018605,0.14125
1984488617,1594706025,0.27
1984488617,1749834041,0.3575
1984488617,1997862012,0.33875
1984488617,2007999111,0.11625
1984488617,2012849092,0.175
1984488617,2125942055,0.17625
1984488617,2148952798,0.21375
1984488617,2166602595,0.15125
1986789244,1997199359,0.13
1986789244,2007999111,0.09375
1986789244,2166602595,0.0725
1992204376,1055523,0.64125
1992204376,1997862012,0.41625
1992204376,2068189899,0.35875
1992204376,2088225050,0.785
1992204376,2162039156,0.4725
1997199359,2007999111,0.19125
1997862012,1559018605,0.28125
1997862012,2012849092,0.49625
1997862012,2111753337,0.2175
1997862012,2119427861,0.27
1997862012,2166602595,0.24125
1998591172,2049761633,0.52625
1998591172,2168200891,0.7325
1999514735,1496762705,0.35375
1999514735,1997862012,0.22875
1999514735,2132822754,0.5325
1999514735,2166602595,0.1
2007999111,2111753337,0.23625
2009213217,1997862012,0.28625
2009213217,2035498319,0.35625
2009213217,2089277463,0.76
2009213217,2115960391,0.36375
2009213217,2166602595,0.2825
2010243293,2166602595,0.0925
2012849092,1559018605,0.745
2012849092,1997199359,0.26375
2012849092,2007999111,0.16
2012849092,2111753337,0.27125
2012849092,2166602595,0.41625
2017960359,2007999111,0.16
2017960359,2068189899,0.34375
2017960359,2139850616,0.37125
2017960359,2166602595,0.0825
2021079739,1559018605,0.34625
2021079739,2007999111,0.17
2021079739,2012849092,0.46125
2021079739,2040023747,0.5375
2021079739,2148952798,0.2925
2021079739,2166602595,0.19
2021549041,1997862012,0.50375
2021549041,2148952798,0.54375
2021549041,2166029049,0.7575
2021549041,2166602595,0.23625
