citingpaperID,citedpaperID,cite_function,num_OCCURRENCES,cross_correlation_feature,negativetimelagged_cross_correlation_feature,timelagged_cross_correlation_feature,window_cross_correlation_feature,window_negativetimelagged_cross_correlation_feature,window_timelagged_cross_correlation_feature,year_difference,citingpaperCitationCount,citedpaperCitationCount,self_cite,similarity,raw_cocitation,cosine_cocitation,jaccard_cocitation,raw_bibcoupling,cosine_bibcoupling,jaccard_bibcoupling,annotate_batch,number_of_shared_author,average_section_citation,average_subsection_citation,average_sentence_citation,min_relative_pos_section,maxminusmin_relative_pos_section,min_relative_pos_subsection,maxminusmin_relative_pos_subsection,min_relative_pos_sentence,maxminusmin_relative_pos_sentence,cite_times_in_Abstract,cite_times_in_Introduction,cite_times_in_Related_Work,cite_times_in_Motivation,cite_times_in_Method,cite_times_in_Experiment,cite_times_in_Evaluation,cite_times_in_Conclusion,cite_times_in_Acknowledgement,key_phrase_1,key_phrase_2,key_phrase_3,key_phrase_4,key_phrase_5,key_phrase_6,key_phrase_7,key_phrase_8
C00-2140,A00-1043,Others,1,\N,\N,\N,-0.567640223,0.949470167,0.986052316,0,30,215,0,0.13847541,0,0,0,0,0,0,0,0,1,1,-0.5,0.642857,0,0.133333,0,1.92228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W09-1118,A97-1011,Others,1,\N,\N,\N,0.744102859,0.649717205,0.983415102,12,17,360,0,0.139020107,0,0,0,0,0,0,0,0,1,1,1,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A00-2017,A97-1011,Others,1,\N,\N,\N,0.732302509,0.868875733,-0.990485036,3,30,360,0,0.033106268,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00-2099,A97-1011,Others,1,\N,\N,\N,\N,\N,\N,3,15,360,0,0.048065785,0,0,0,0,0,0,0,0,2,2,2,-2,0,-2,0,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W04-1505,A97-1011,Others,1,\N,\N,\N,\N,\N,\N,7,3,360,0,0.037933417,0,0,0,0,0,0,0,0,4.5,4.5,4.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P99-1033,A97-1011,Others,1,\N,\N,\N,-0.423145698,-0.367110771,-0.733796217,2,16,360,0,0.280449686,2,0.058570741,0.017391304,1,0.105409255,0.045454545,0,0,5.5,5.5,5.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W06-0202,A97-1011,Extends,1,0.481250177,0.818812888,0.634280231,-0.780652783,0.956858057,0.93614346,9,38,360,0,0.124839351,0,0,0,0,0,0,0,0,2.5,2.5,2.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P01-1006,A97-1011,Extends,1,\N,\N,\N,0.682825629,-0.90790362,0.906457246,4,29,360,0,0.247331908,0,0,0,0,0,0,0,0,4,4,4,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E12-1072,A97-1011,Others,1,\N,\N,\N,\N,\N,\N,15,7,360,0,0.143466414,0,0,0,0,0,0,0,0,9,9,9,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C02-1130,C00-1072,Others,0,0.638450298,0.534608456,0.78574917,0.892940195,0.977039156,0.970643828,2,158,401,1,0.141209121,0,0,0,1,0.188982237,0.1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
C04-1077,C00-1072,Others,1,\N,\N,\N,-0.3759571,0.819537547,0.782780364,4,17,401,0,0.307996783,0,0,0,0,0,0,0,0,1.5,1.5,1.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C08-1021,C00-1072,Others,1,\N,\N,\N,\N,\N,\N,8,2,401,0,0.162184607,2,0.052925612,0.015503876,0,0,0,0,0,7.5,5,-0.5,0.25,0,0.506173,0,1.45238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C08-1124,C00-1072,Others,1,0.019431264,0.599782853,-0.532009228,0.95626307,0.965228512,-0.984479415,8,124,401,0,0.248076583,4,0.065857564,0.02739726,0,0,0,0,0,9,9,-0.5,0.333333,0,0.186364,0,1.60733,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08-1080,C00-1072,Others,1,0.724813876,0.594422471,0.66750342,0.97493603,0.958355258,0.956553871,8,82,401,0,0.414413594,1,0.024499798,0.007575758,0,0,0,0,0,12,10,0,0.333333,0,0.292308,0,1.84436,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D09-1032,C00-1072,Others,1,0.464880723,0.481263408,-0.690229791,0.798081871,0.946212183,-0.831410993,9,79,401,0,0.129876174,6,0.11000382,0.043478261,0,0,0,0,0,0.5,0.5,-0.5,0.454545,0,0.882353,0,1.83688,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E09-1062,C00-1072,Others,1,\N,\N,0.632215206,0.84767385,0.940620985,-0.82364553,9,19,401,0,0.135455453,1,0.045834925,0.008196721,0,0,0,0,0,3.5,3.5,3.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I08-1016,C00-1072,Others,1,\N,\N,\N,\N,\N,\N,8,15,401,0,-0.031244867,0,0,0,0,0,0,0,0,5.5,5,0,0.4,0,0.75,0,1.8107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J10-1003,C00-1072,Others,1,0.743860784,0.424457583,0.837083361,0.767250076,0.908912718,0.922138892,10,27,401,0,0.112537405,0,0,0,0,0,0,0,0,14,14,14,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J11-1001,C00-1072,Others,1,\N,\N,\N,-0.02353104,-0.611356528,0.650247293,11,17,401,0,0.240281576,0,0,0,0,0,0,0,0,1.5,1.5,-0.5,0.166667,0,0.584906,0,1.05797,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P02-1058,C00-1072,Others,1,0.710487218,0.706511142,0.549853402,0.85589059,0.98121985,0.988361591,2,200,401,1,0.40026693,3,0.045834925,0.019736842,1,0.25,0.142857143,0,2,6.5,4,-0.5,0.5,0,0.438596,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
