citingpaperid,citedpaperID,cite_function,num_Occur,cross_correlation,window_cross_correlation,year_diff,citingpaper_citation_count,citedpaper_citation_count,self_cite,similarity,jaccard_cocitation,jaccard_bibcoupling,average_section_citation,average_subsection_citation,average_sentence_citation,min_relative_pos_section,maxminusmin_relative_pos_section,min_relative_pos_subsection,maxminusmin_relative_pos_subsection,min_relative_pos_sentence,maxminusmin_relative_pos_sentence,cite_times_in_Abstract,cite_times_in_Introduction,cite_times_in_Related_Work,cite_times_in_Motivation,cite_times_in_Method,cite_times_in_Experiment,cite_times_in_Evaluation,cite_times_in_Conclusion,cite_times_in_Acknowledgement,key_phrase_1,key_phrase_2,key_phrase_3,key_phrase_4,key_phrase_5,key_phrase_6,key_phrase_7,key_phrase_8
C00-2140,A00-1043,Others,1,\N,-0.567640223,0,30,215,0,0.13847541,0,0,1,1,-0.5,0.642857143,0,0.133333333,0,1.922279793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W09-1118,A97-1011,Others,1,\N,0.744102859,12,17,360,0,0.139020107,0,0,1,1,1,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A00-2017,A97-1011,Others,1,\N,0.732302509,3,30,360,0,0.033106268,0,0,-0.5,-0.5,-0.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C00-2099,A97-1011,Others,1,\N,\N,3,15,360,0,0.048065785,0,0,2,2,2,-2,0,-2,0,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
W04-1505,A97-1011,Others,1,\N,\N,7,3,360,0,0.037933417,0,0,4.5,4.5,4.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P99-1033,A97-1011,Others,1,\N,-0.423145698,2,16,360,0,0.280449686,0.017391304,0.045454545,5.5,5.5,5.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W06-0202,A97-1011,Extends,1,0.481250177,-0.780652783,9,38,360,0,0.124839351,0,0,2.5,2.5,2.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P01-1006,A97-1011,Extends,1,\N,0.682825629,4,29,360,0,0.247331908,0,0,4,4,4,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E12-1072,A97-1011,Others,1,\N,\N,15,7,360,0,0.143466414,0,0,9,9,9,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C02-1130,C00-1072,Others,0,0.638450298,0.892940195,2,158,401,1,0.141209121,0,0.1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
C04-1077,C00-1072,Others,1,\N,-0.3759571,4,17,401,0,0.307996783,0,0,1.5,1.5,1.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C08-1021,C00-1072,Others,1,\N,\N,8,2,401,0,0.162184607,0.015503876,0,7.5,5,-0.5,0.25,0,0.50617284,0,1.452380952,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C08-1124,C00-1072,Others,1,0.019431264,0.95626307,8,124,401,0,0.248076583,0.02739726,0,9,9,-0.5,0.333333333,0,0.186363636,0,1.607329843,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D08-1080,C00-1072,Others,1,0.724813876,0.97493603,8,82,401,0,0.414413594,0.007575758,0,12,10,0,0.333333333,0,0.292307692,0,1.844357977,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D09-1032,C00-1072,Others,1,0.464880723,0.798081871,9,79,401,0,0.129876174,0.043478261,0,0.5,0.5,-0.5,0.454545455,0,0.882352941,0,1.836879433,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E09-1062,C00-1072,Others,1,\N,0.84767385,9,19,401,0,0.135455453,0.008196721,0,3.5,3.5,3.5,-2,0,-2,0,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I08-1016,C00-1072,Others,1,\N,\N,8,15,401,0,-0.031244867,0,0,5.5,5,0,0.4,0,0.75,0,1.810699588,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
