graph_labels,name,PaperCount_ARC,CitationCount_ARC,hIndex_ARC
0,50,132.0,18.734848484848484,28.0
0,156,81.0,8.283950617283951,13.0
0,41,145.0,73.93103448275862,42.0
0,95,102.0,8.07843137254902,15.0
1,162,80.0,56.725,29.0
0,177,77.0,16.506493506493506,19.0
0,149,81.0,15.08641975308642,15.0
1,2,253.0,50.67588932806324,52.0
0,52,131.0,8.770992366412214,16.0
0,139,85.0,28.694117647058825,21.0
1,119,90.0,40.855555555555554,23.0
0,141,84.0,17.273809523809526,20.0
0,25,177.0,20.259887005649716,23.0
1,84,106.0,55.41509433962264,41.0
0,112,94.0,21.04255319148936,22.0
0,101,99.0,6.747474747474747,13.0
1,90,104.0,9.528846153846153,15.0
0,38,148.0,80.18243243243244,41.0
0,20,191.0,7.7539267015706805,19.0
0,123,89.0,61.39325842696629,24.0
1,10,219.0,33.721461187214615,40.0
1,107,97.0,31.443298969072163,25.0
1,79,108.0,43.601851851851855,32.0
1,210,72.0,88.30555555555556,36.0
0,205,73.0,2.6301369863013697,8.0
0,16,200.0,7.195,21.0
0,163,80.0,46.1125,25.0
0,49,135.0,15.785185185185185,23.0
1,37,150.0,33.22,33.0
0,200,73.0,24.589041095890412,22.0
0,56,127.0,4.622047244094488,13.0
0,137,86.0,8.534883720930232,17.0
0,189,75.0,33.013333333333335,22.0
1,86,105.0,23.38095238095238,25.0
0,60,121.0,11.62809917355372,19.0
1,67,115.0,51.59130434782609,41.0
1,179,77.0,109.16883116883118,37.0
0,195,73.0,12.506849315068493,17.0
1,96,101.0,28.435643564356436,26.0
0,7,229.0,10.733624454148472,26.0
0,70,114.0,9.078947368421053,17.0
0,168,78.0,22.05128205128205,21.0
0,202,73.0,18.89041095890411,21.0
0,144,84.0,11.55952380952381,15.0
0,152,81.0,17.40740740740741,18.0
1,5,238.0,15.932773109243698,34.0
0,106,97.0,15.412371134020619,19.0
0,183,76.0,18.486842105263158,14.0
0,135,86.0,12.790697674418604,17.0
0,35,151.0,13.629139072847682,23.0
0,113,94.0,31.97872340425532,27.0
0,51,132.0,26.742424242424242,31.0
0,175,77.0,10.545454545454545,16.0
0,94,103.0,47.37864077669903,27.0
0,26,175.0,8.52,19.0
1,98,101.0,51.21782178217822,32.0
0,6,235.0,9.61276595744681,26.0
