graph_labels,name,PaperCount_ARC,CitationCount_ARC,hIndex_ARC
0,140,31.0,136.19354838709677,23.0
0,43,47.0,325.63829787234044,32.0
0,155,78.0,22.05128205128205,21.0
0,67,140.0,24.314285714285713,27.0
0,63,168.0,13.523809523809524,28.0
0,172,30.0,43.36666666666667,20.0
0,144,94.0,21.04255319148936,22.0
1,20,77.0,125.28571428571429,38.0
0,101,45.0,67.15555555555555,25.0
0,100,61.0,34.83606557377049,25.0
0,146,100.0,26.35,22.0
1,27,139.0,46.66187050359712,35.0
1,6,163.0,58.20245398773006,47.0
0,80,110.0,34.32727272727273,26.0
0,114,107.0,52.80373831775701,24.0
0,166,39.0,54.51282051282051,21.0
1,25,72.0,88.30555555555556,36.0
0,185,60.0,32.2,20.0
0,165,73.0,18.89041095890411,21.0
0,99,80.0,46.1125,25.0
0,122,135.0,15.785185185185185,23.0
0,125,62.0,41.75806451612903,23.0
0,173,61.0,19.9672131147541,20.0
0,30,129.0,33.627906976744185,34.0
0,108,67.0,24.208955223880597,24.0
0,129,181.0,10.723756906077348,23.0
0,126,59.0,30.508474576271187,23.0
0,191,69.0,37.82608695652174,20.0
0,110,199.0,14.809045226130653,24.0
0,59,81.0,52.592592592592595,29.0
1,93,98.0,33.765306122448976,25.0
1,2,253.0,50.67588932806324,52.0
0,81,229.0,10.733624454148472,26.0
0,168,85.0,28.694117647058825,21.0
1,137,90.0,40.855555555555554,23.0
0,159,106.0,12.216981132075471,21.0
1,7,251.0,53.19521912350598,46.0
0,202,138.0,10.91304347826087,19.0
0,150,73.0,24.589041095890412,22.0
0,83,113.0,22.36283185840708,26.0
0,179,88.0,23.761363636363637,20.0
1,58,64.0,49.8125,29.0
1,89,68.0,37.19117647058823,26.0
0,196,64.0,21.390625,20.0
0,72,57.0,118.12280701754386,27.0
1,48,103.0,34.47572815533981,31.0
0,105,89.0,61.39325842696629,24.0
1,21,77.0,109.16883116883118,37.0
0,5,150.0,89.53333333333333,47.0
0,139,34.0,56.26470588235294,23.0
0,187,58.0,28.5,20.0
0,61,49.0,167.3265306122449,29.0
1,54,80.0,56.725,29.0
0,136,56.0,41.07142857142857,23.0
1,15,219.0,33.721461187214615,40.0
0,128,67.0,68.22388059701493,23.0
0,200,77.0,16.506493506493506,19.0
1,44,87.0,75.29885057471265,31.0
1,102,46.0,109.6304347826087,25.0
0,116,56.0,35.642857142857146,24.0
1,88,101.0,28.435643564356436,26.0
0,135,40.0,81.025,23.0
1,40,108.0,43.601851851851855,32.0
0,134,71.0,22.070422535211268,23.0
1,52,121.0,38.446280991735534,30.0
1,26,50.0,184.08,35.0
0,162,200.0,7.195,21.0
0,189,84.0,17.273809523809526,20.0
0,124,177.0,20.259887005649716,23.0
1,28,238.0,15.932773109243698,34.0
0,78,94.0,31.97872340425532,27.0
1,55,99.0,33.14141414141414,29.0
1,16,154.0,47.18181818181818,40.0
0,111,122.0,16.598360655737704,24.0
0,204,58.0,23.17241379310345,19.0
1,130,54.0,134.16666666666666,23.0
0,181,74.0,68.85135135135135,20.0
0,87,128.0,20.6953125,26.0
0,69,89.0,45.07865168539326,27.0
0,84,110.0,27.345454545454544,26.0
0,182,78.0,29.44871794871795,20.0
0,121,73.0,21.164383561643834,23.0
0,143,73.0,36.43835616438356,22.0
1,32,108.0,50.4537037037037,34.0
1,18,144.0,42.125,38.0
0,195,90.0,16.0,20.0
1,31,188.0,50.079787234042556,34.0
1,24,71.0,150.6056338028169,36.0
0,198,40.0,49.675,20.0
1,64,103.0,21.49514563106796,28.0
0,106,46.0,84.6086956521739,24.0
0,92,81.0,78.4320987654321,25.0
0,42,51.0,72.98039215686275,32.0
0,13,189.0,31.052910052910054,41.0
0,183,68.0,25.073529411764707,20.0
0,97,173.0,17.0,25.0
1,3,154.0,48.62337662337662,49.0
0,177,119.0,12.201680672268907,20.0
0,50,146.0,27.328767123287673,30.0
0,180,60.0,26.733333333333334,20.0
0,119,70.0,37.97142857142857,24.0
0,163,42.0,55.45238095238095,21.0
0,117,87.0,31.080459770114942,24.0
0,38,194.0,19.27319587628866,32.0
1,4,210.0,43.695238095238096,49.0
0,167,81.0,18.209876543209877,21.0
0,174,129.0,42.02325581395349,20.0
0,53,44.0,163.5,29.0
0,39,152.0,31.63157894736842,32.0
1,109,112.0,19.758928571428573,24.0
0,170,34.0,90.05882352941177,21.0
0,96,65.0,75.26153846153846,25.0
0,112,65.0,52.184615384615384,24.0
0,9,189.0,92.28042328042328,43.0
1,35,99.0,40.17171717171717,33.0
0,57,143.0,24.16083916083916,29.0
0,176,296.0,5.118243243243243,20.0
1,49,202.0,17.128712871287128,30.0
1,8,163.0,53.49693251533742,45.0
1,17,146.0,43.294520547945204,38.0
1,151,74.0,45.83783783783784,22.0
0,161,60.0,46.25,21.0
1,22,91.0,72.27472527472527,37.0
0,118,60.0,48.016666666666666,24.0
0,142,34.0,153.55882352941177,22.0
1,169,61.0,25.83606557377049,21.0
0,103,78.0,25.115384615384617,25.0
1,60,57.0,56.85964912280702,29.0
0,45,107.0,34.6822429906542,31.0
0,203,77.0,18.571428571428573,19.0
0,36,52.0,147.67307692307693,33.0
0,145,193.0,10.0,22.0
0,74,65.0,44.676923076923075,27.0
0,190,32.0,65.0625,20.0
0,127,57.0,39.578947368421055,23.0
0,158,57.0,41.43859649122807,21.0
0,94,73.0,35.50684931506849,25.0
0,160,94.0,26.819148936170212,21.0
0,132,77.0,31.636363636363637,23.0
0,131,56.0,38.92857142857143,23.0
0,77,37.0,110.02702702702703,27.0
0,149,104.0,17.51923076923077,22.0
0,154,65.0,29.076923076923077,21.0
0,148,75.0,18.906666666666666,22.0
0,79,120.0,28.208333333333332,27.0
0,37,85.0,47.95294117647059,32.0
0,123,87.0,49.195402298850574,23.0
0,186,75.0,43.88,20.0
0,138,44.0,41.34090909090909,23.0
1,120,57.0,40.19298245614035,24.0
0,98,71.0,38.53521126760563,25.0
0,164,62.0,39.45161290322581,21.0
0,19,247.0,20.931174089068826,38.0
0,65,204.0,19.269607843137255,28.0
0,188,43.0,36.72093023255814,20.0
0,95,135.0,17.385185185185186,25.0
0,71,92.0,34.66304347826087,27.0
1,91,112.0,22.732142857142858,25.0
0,184,73.0,14.95890410958904,20.0
0,86,58.0,83.1896551724138,26.0
0,192,50.0,31.6,20.0
0,178,55.0,55.127272727272725,20.0
0,29,202.0,15.57920792079208,34.0
0,66,100.0,36.18,28.0
0,70,115.0,32.07826086956522,27.0
1,141,87.0,23.20689655172414,22.0
0,175,50.0,29.48,20.0
0,82,171.0,14.543859649122806,26.0
1,56,223.0,21.632286995515695,29.0
0,153,126.0,14.722222222222221,22.0
0,171,31.0,64.58064516129032,20.0
0,152,103.0,18.92233009708738,22.0
0,194,66.0,38.56060606060606,20.0
0,157,61.0,42.442622950819676,21.0
0,113,62.0,43.82258064516129,24.0
1,34,150.0,33.22,33.0
0,156,37.0,106.48648648648648,21.0
0,47,132.0,26.742424242424242,31.0
0,133,151.0,13.629139072847682,23.0
0,75,103.0,47.37864077669903,27.0
0,206,175.0,8.52,19.0
1,41,101.0,51.21782178217822,32.0
0,85,235.0,9.61276595744681,26.0
0,115,62.0,37.935483870967744,24.0
0,68,123.0,20.78048780487805,27.0
0,201,81.0,21.765432098765434,19.0
0,207,24.0,91.0,19.0
0,197,60.0,27.333333333333332,20.0
0,107,75.0,48.2,24.0
0,62,132.0,18.734848484848484,28.0
0,147,75.0,33.013333333333335,22.0
1,76,82.0,30.365853658536587,27.0
1,90,105.0,23.38095238095238,25.0
0,193,68.0,30.779411764705884,20.0
0,199,71.0,35.61971830985915,20.0
0,46,75.0,106.74666666666667,31.0
0,10,145.0,73.93103448275862,42.0
0,12,148.0,80.18243243243244,41.0
1,1,223.0,207.02690582959642,76.0
1,11,115.0,51.59130434782609,41.0
