regina+barzilay,min_year,max_year
Hannes Stärk,2022,2027
Adam Yala,10000,-1
Tahira Naseem,2007,2014
Yujia Bao,2017,2022
Wengong Jin,2016,2022
Adam Fisch,2017,2022
Benson Chen,10000,-1
Yonatan Belinkov,2012,2018
Menghua Wu,2018,2022
Yujie Qian,2017,2022
Yuan Zhang,2011,2017
Karthik Narasimhan,2012,2017
Jacob Eisenstein,2002,2008
