mohit+bansal,min_year,max_year
Xiang Zhou,2018,2022
Yixin Nie,2017,2022
Yichen Jiang,2018,2024
Hyounghun Kim,2017,2022
Shiyue Zhang,10000,-1
Adyasha Maharana,2019,2022
Swarnadeep Saha,2019,2022
Prateek Yadav,2020,2022
Lisa Bauer,10000,-1
Peter Hase,2019,2022
Hao Tan,2016,2021
Jie Lei,2017,2022
Derek Tam,2020,2022
Ramakanth Pasunuru,2016,2021
