authorID,name,name_MAG,authorID_MAG,PaperCount_ARC,CitationCount_ARC,hIndex_ARC,PaperCount_MAG_NLP,CitationCount_MAG_NLP,hIndex_MAG_NLP,authorRank,PaperCount_ACL,FellowType
"382","pushpak bhattacharyya","pushpak bhattacharyya","2156071728","296","1515","20","345","2343","21","1","15",\N
"1043","eduard hovy","eduard hovy","2046588481","253","12821","52","324","15533","58","2","37","2:2011,"
"3262","hermann ney","hermann ney","2293758362","251","13352","46","464","20357","61","3","14","2:2020,"
"1468","timothy baldwin","timothy baldwin","2436269535","247","5170","38","312","6755","42","4","16",\N
"706","iryna gurevych","iryna gurevych","40109512","238","3792","34","316","4874","37","5","23","2:2020,"
"2631","andy way","andy way","2110815193","235","2259","26","323","3293","29","6","8",\N
"129","eiichiro sumita","eiichiro sumita","100988613","229","2458","26","251","2904","30","7","21",\N
"1411","christopher manning","christopher manning","2149153931","223","46167","76","298","61108","88","8","42","2:2011,1:2013,"
"991","yuji matsumoto","yuji matsumoto","2131749055","223","4824","29","359","6124","35","9","19","2:2011,"
"3232","dan roth","dan roth","2122007671","219","7385","40","287","9176","48","10","25","2:2012,1:2011,"
"20171","junichi tsujii","junichi tsujii","710867540","214","5788","37","310","10250","48","11","22","2:2014,3:2021,"
"4073","noah smith","noah smith","2250998000","210","9176","49","259","11038","55","12","41","2:2020,"
"1018","ting liu","ting liu","2142255895","204","3931","28","242","5162","32","13","45",\N
"1457","yang liu",\N,\N,"202","3147","34",\N,\N,"-1","14","36",\N
"5775","qun liu","qun liu","2573745738","202","3460","30","262","4095","33","15","37","2:2021,"
"834","graham neubig","graham neubig","277131583","200","1439","21","285","2465","25","16","36",\N
"2509","lucia specia","lucia specia","321534654","199","2947","24","224","3602","29","17","10",\N
"517","nizar habash","nizar habash","2025107431","194","3739","32","217","4662","35","18","10",\N
"297","sadao kurohashi","sadao kurohashi","112209514","193","1930","22","253","2186","22","19","10",\N
"1504","churen huang",\N,\N,"191","1481","19",\N,\N,"-1","20","2",\N
"4417","philipp koehn","philipp koehn","2647056301","189","17441","43","243","20560","48","21","7",\N
"4082","ming zhou","ming zhou","2143584880","189","5869","41","226","8311","51","22","66",\N
"4859","martha palmer","martha palmer","2135488253","188","9415","34","267","12603","45","23","13","2:2014,"
"3234","josef genabith","josef genabith","93711912","181","1941","23","232","2659","25","24","17",\N
"707","hinrich schutze",\N,\N,"177","3586","23",\N,\N,"-1","25","27",\N
"143","anders sogaard",\N,\N,"175","1491","19",\N,\N,"-1","26","7",\N
"3694","min zhang","min zhang","2428533358","173","2941","25","219","3313","28","27","40",\N
"884","yue zhang","yue zhang","2681817313","171","2487","26","160","3074","29","28","42",\N
"716","heng ji","heng ji","2617049578","168","2272","28","162","2533","28","29","30",\N
"10368","kevin knight","kevin knight","2330030585","163","9487","47","210","12332","57","30","27","2:2014,"
"1124","rada mihalcea","rada mihalcea","2068190112","163","8720","45","240","12940","54","31","16","1:2019,"
"10682","joakim nivre","joakim nivre","70153750","154","7266","40","238","9094","44","32","9","2:2021,"
"3314","mirella lapata","mirella lapata","2019867208","154","7488","49","225","10042","54","33","38","2:2019,"
"1354","owen rambow","owen rambow","2042484151","152","4808","32","191","5544","34","34","14",\N
"5073","alex waibel","alex waibel","2061074560","151","2058","23","339","7483","45","35","4",\N
"818","dan klein",\N,\N,"150","13430","47",\N,\N,"-1","36","43",\N
"955","ido dagan","ido dagan","356610775","150","4983","33","214","8299","42","37","27","2:2013,"
"3925","chris dyer","chris dyer","2119216958","148","11867","41","190","13590","47","38","25",\N
"10781","ralph grishman","ralph grishman","157725375","146","6321","38","219","8241","43","39","14","2:2017,"
"7377","mona diab","mona diab","2124289572","146","3990","30","180","4565","33","40","12",\N
"3274","chris callisonburch",\N,\N,"145","10720","42",\N,\N,"-1","41","14",\N
"4047","mark johnson",\N,\N,"144","6066","38",\N,\N,"-1","42","38","2:2011,"
"1636","preslav nakov","preslav nakov","1989325080","143","3455","29","203","4069","32","43","8",\N
"4154","kentaro inui","kentaro inui","2084773436","140","1264","14","192","1799","20","44","15",\N
"6702","guodong zhou","guodong zhou","2147795187","140","3404","27","211","3609","27","45","27",\N
"895","kathleen mckeown","kathleen mckeown","613661480","139","6486","35","201","10549","49","46","25","2:2011,1:2003,"
"8628","hsinhsi chen",\N,\N,"138","1506","19",\N,\N,"-1","47","6",\N
"1787","trevor cohn","trevor cohn","2198766192","135","2347","25","160","2806","29","48","21",\N
"15925","hitoshi isahara","hitoshi isahara","282814008","135","2131","23","180","2312","27","49","6",\N
"668","benjamin durme","benjamin durme","2113965177","132","2473","28","168","2909","29","50","19",\N
"4033","alessandro moschitti","alessandro moschitti","48142092","132","3530","31","206","5386","38","51","13",\N
"837","franccois yvon",\N,\N,"131","1149","16",\N,\N,"-1","52","2",\N
"3502","jianfeng gao","jianfeng gao","2104437897","129","4338","34","252","11180","51","53","30",\N
"292","ondvrej bojar",\N,\N,"129","5421","20",\N,\N,"-1","54","3",\N
"4517","maosong sun","maosong sun","2157167650","128","2649","26","195","3798","31","55","32",\N
"2389","jason chang","jason chang","2143385871","127","587","13","115","802","15","56","2",\N
"5928","yusuke miyao","yusuke miyao","2036428500","126","1855","22","143","2769","29","57","14",\N
"7440","anna korhonen","anna korhonen","2110381519","123","2556","27","140","3063","29","58","16",\N
"2675","jorg tiedemann",\N,\N,"122","2025","24",\N,\N,"-1","59","0",\N
"2565","chris biemann",\N,\N,"121","1407","19",\N,\N,"-1","60","8",\N
