AuthorRank
2
3
5
8
9
10
11
12
15
23
30
31
32
33
37
39
42
46
61
66
67
73
74
79
80
84
86
90
91
92
96
98
102
103
104
107
114
118
119
128
132
147
162
179
180
193
194
208
210
212
