"2021.acl-long.312","2021.findings-emnlp.267","1"
"2021.findings-emnlp.267","2021.acl-long.312","1"
"C14-1162","W14-4919","1.25"
"W14-4919","C14-1162","1.25"
"C14-1162","W12-3612","0.75"
"W12-3612","C14-1162","0.75"
"C14-1162","W12-3801","0.5"
"W12-3801","C14-1162","0.5"
"W12-3612","W12-3801","0.5"
"W12-3801","W12-3612","0.5"
"C14-1162","W14-3213","0.25"
"W14-3213","C14-1162","0.25"
"C14-1162","W15-0111","0.25"
"W15-0111","C14-1162","0.25"
"W12-3612","W14-3213","0.25"
"W14-3213","W12-3612","0.25"
"W12-3612","W14-4919","0.25"
"W14-4919","W12-3612","0.25"
"W12-3612","W15-0111","0.25"
"W15-0111","W12-3612","0.25"
"W14-3213","W14-4919","0.583333"
"W14-4919","W14-3213","0.583333"
"W14-3213","W15-0111","0.25"
"W15-0111","W14-3213","0.25"
"W14-4919","W15-0111","0.25"
"W15-0111","W14-4919","0.25"
"C16-1083","P16-1099","1"
"P16-1099","C16-1083","1"
"C16-1083","H05-1073","1"
"H05-1073","C16-1083","1"
"C16-1083","P11-2019","0.5"
"P11-2019","C16-1083","0.5"
"C16-1083","W10-1815","0.5"
"W10-1815","C16-1083","0.5"
"P11-2019","W10-1815","1.5"
"W10-1815","P11-2019","1.5"
"D15-1309","N15-1139","1.5"
"N15-1139","D15-1309","1.5"
"D15-1309","W14-3213","0.5"
"W14-3213","D15-1309","0.5"
"N15-1139","W14-3213","0.5"
"W14-3213","N15-1139","0.5"
"D15-1309","W17-1801","2"
"W17-1801","D15-1309","2"
"D17-2003","P18-2021","0.5"
"P18-2021","D17-2003","0.5"
"D17-2003","W17-1801","0.5"
"W17-1801","D17-2003","0.5"
"P18-2021","W17-1801","0.5"
"W17-1801","P18-2021","0.5"
"H05-1073","P11-2019","1"
"P11-2019","H05-1073","1"
"N18-4019","W14-3213","1"
"W14-3213","N18-4019","1"
"P06-2071","P11-2019","1"
"P11-2019","P06-2071","1"
"P11-2019","W06-0601","1"
"W06-0601","P11-2019","1"
"P16-1099","W16-0309","1"
"W16-0309","P16-1099","1"
"P18-2022","W15-0111","0.5"
"W15-0111","P18-2022","0.5"
"P18-2022","W15-2802","0.5"
"W15-2802","P18-2022","0.5"
"W15-0111","W15-2802","0.5"
"W15-2802","W15-0111","0.5"
"W12-2102","W14-3213","2"
"W14-3213","W12-2102","2"
"W12-3801","W12-3803","1"
"W12-3803","W12-3801","1"
"W12-3803","W14-3213","0.333333"
"W14-3213","W12-3803","0.333333"
"W12-3803","W14-3412","1.33333"
"W14-3412","W12-3803","1.33333"
"W12-3803","W14-4919","0.333333"
"W14-4919","W12-3803","0.333333"
"W14-3213","W14-3412","0.333333"
"W14-3412","W14-3213","0.333333"
"W14-3412","W14-4919","0.333333"
"W14-4919","W14-3412","0.333333"
