"1991.mtsummit-papers.7","A92-1029","1"
"W08-1702","2005.mtsummit-papers.25","0.0588235"
"2005.mtsummit-papers.25","W09-2607","0.0588235"
"W09-2607","2005.mtsummit-papers.25","0.0588235"
"2008.eamt-1.24","bouillon-etal-2008-developing","0.201681"
"bouillon-etal-2008-developing","2008.eamt-1.24","0.201681"
"2008.eamt-1.24","C08-1090","0.0588235"
"C08-1090","2008.eamt-1.24","0.0588235"
"2008.eamt-1.24","H05-2014","0.0588235"
"H05-2014","2008.eamt-1.24","0.0588235"
"2008.eamt-1.24","rayner-etal-2006-regulus","0.0588235"
"rayner-etal-2006-regulus","2008.eamt-1.24","0.0588235"
"2008.eamt-1.24","rayner-etal-2010-multilingual","0.392157"
"rayner-etal-2010-multilingual","2008.eamt-1.24","0.392157"
"2008.eamt-1.24","tsourakis-etal-2008-building","0.201681"
"tsourakis-etal-2008-building","2008.eamt-1.24","0.201681"
"2008.eamt-1.24","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","2008.eamt-1.24","0.0588235"
"2008.eamt-1.24","W06-3702","0.201681"
"W06-3702","2008.eamt-1.24","0.201681"
"2008.eamt-1.24","W06-3707","0.201681"
"W06-3707","2008.eamt-1.24","0.201681"
"2008.eamt-1.24","W07-0806","0.201681"
"W07-0806","2008.eamt-1.24","0.201681"
"2008.eamt-1.24","W07-1806","1.20168"
"W07-1806","2008.eamt-1.24","1.20168"
"2008.eamt-1.24","W07-1807","0.0588235"
"W07-1807","2008.eamt-1.24","0.0588235"
"2008.eamt-1.24","W08-1506","0.392157"
"W08-1506","2008.eamt-1.24","0.392157"
"2008.eamt-1.24","W08-1702","0.392157"
"W08-1702","2008.eamt-1.24","0.392157"
"2008.eamt-1.24","W09-2607","0.0588235"
"W09-2607","2008.eamt-1.24","0.0588235"
"bouillon-etal-2008-developing","C08-1090","0.22549"
"C08-1090","bouillon-etal-2008-developing","0.22549"
"bouillon-etal-2008-developing","H05-2014","0.0588235"
"H05-2014","bouillon-etal-2008-developing","0.0588235"
"bouillon-etal-2008-developing","rayner-etal-2006-regulus","0.392157"
"rayner-etal-2006-regulus","bouillon-etal-2008-developing","0.392157"
"bouillon-etal-2008-developing","rayner-etal-2010-multilingual","1.39216"
"rayner-etal-2010-multilingual","bouillon-etal-2008-developing","1.39216"
"bouillon-etal-2008-developing","tsourakis-etal-2008-building","0.368347"
"tsourakis-etal-2008-building","bouillon-etal-2008-developing","0.368347"
"bouillon-etal-2008-developing","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","bouillon-etal-2008-developing","0.0588235"
"bouillon-etal-2008-developing","W06-3702","0.535014"
"W06-3702","bouillon-etal-2008-developing","0.535014"
"bouillon-etal-2008-developing","W06-3707","0.535014"
"W06-3707","bouillon-etal-2008-developing","0.535014"
"bouillon-etal-2008-developing","W07-0806","0.368347"
"W07-0806","bouillon-etal-2008-developing","0.368347"
"bouillon-etal-2008-developing","W07-1806","0.368347"
"W07-1806","bouillon-etal-2008-developing","0.368347"
"bouillon-etal-2008-developing","W07-1807","0.0588235"
"W07-1807","bouillon-etal-2008-developing","0.0588235"
"bouillon-etal-2008-developing","W08-1506","0.22549"
"W08-1506","bouillon-etal-2008-developing","0.22549"
"bouillon-etal-2008-developing","W08-1702","0.0588235"
"W08-1702","bouillon-etal-2008-developing","0.0588235"
"bouillon-etal-2008-developing","W09-2607","0.22549"
"W09-2607","bouillon-etal-2008-developing","0.22549"
"C08-1090","H05-2014","0.0588235"
"H05-2014","C08-1090","0.0588235"
"C08-1090","rayner-etal-2006-regulus","0.0588235"
"rayner-etal-2006-regulus","C08-1090","0.0588235"
"C08-1090","rayner-etal-2010-multilingual","0.0588235"
"rayner-etal-2010-multilingual","C08-1090","0.0588235"
"C08-1090","tsourakis-etal-2008-building","0.22549"
"tsourakis-etal-2008-building","C08-1090","0.22549"
"C08-1090","tsourakis-etal-2010-examining","0.0588235"
"tsourakis-etal-2010-examining","C08-1090","0.0588235"
"C08-1090","W06-3702","0.0588235"
"W06-3702","C08-1090","0.0588235"
"C08-1090","W06-3707","0.0588235"
"W06-3707","C08-1090","0.0588235"
"C08-1090","W07-0806","0.22549"
"W07-0806","C08-1090","0.22549"
"C08-1090","W07-1806","0.22549"
