"2011.jeptalnrecital-court.7","ayari-etal-2010-fine","1"
"ayari-etal-2010-fine","2011.jeptalnrecital-court.7","1"
"2011.jeptalnrecital-long.27","F12-2001","1.5"
"F12-2001","2011.jeptalnrecital-long.27","1.5"
"2011.jeptalnrecital-long.27","R11-1086","1.5"
"R11-1086","2011.jeptalnrecital-long.27","1.5"
"F12-2001","R11-1086","0.5"
"R11-1086","F12-2001","0.5"
"2015.jeptalnrecital-long.11","L16-1433","0.5"
"L16-1433","2015.jeptalnrecital-long.11","0.5"
"2015.jeptalnrecital-long.11","pho-etal-2014-multiple","2.5"
"pho-etal-2014-multiple","2015.jeptalnrecital-long.11","2.5"
"L16-1433","pho-etal-2014-multiple","0.5"
"pho-etal-2014-multiple","L16-1433","0.5"
"2015.jeptalnrecital-long.11","F12-2016","0.5"
"F12-2016","2015.jeptalnrecital-long.11","0.5"
"2015.jeptalnrecital-long.11","W14-1206","0.5"
"W14-1206","2015.jeptalnrecital-long.11","0.5"
"F12-2016","W14-1206","6.83333"
"W14-1206","F12-2016","6.83333"
"2016.jeptalnrecital-demo.18","L16-1433","1"
"L16-1433","2016.jeptalnrecital-demo.18","1"
"2016.jeptalnrecital-long.17","L16-1035","3"
"L16-1035","2016.jeptalnrecital-long.17","3"
"2018.jeptalnrecital-long.6","F12-2016","0.333333"
"F12-2016","2018.jeptalnrecital-long.6","0.333333"
"2018.jeptalnrecital-long.6","garcia-fernandez-etal-2014-construction","0.333333"
"garcia-fernandez-etal-2014-construction","2018.jeptalnrecital-long.6","0.333333"
"2018.jeptalnrecital-long.6","W14-1206","0.333333"
"W14-1206","2018.jeptalnrecital-long.6","0.333333"
"F12-2016","garcia-fernandez-etal-2014-construction","0.333333"
"garcia-fernandez-etal-2014-construction","F12-2016","0.333333"
"garcia-fernandez-etal-2014-construction","W14-1206","0.333333"
"W14-1206","garcia-fernandez-etal-2014-construction","0.333333"
"2018.jeptalnrecital-long.6","2021.sustainlp-1.2","1"
"2021.sustainlp-1.2","2018.jeptalnrecital-long.6","1"
"2019.jeptalnrecital-court.29","L18-1619","2"
"L18-1619","2019.jeptalnrecital-court.29","2"
"2020.jeptalnrecital-taln.33","F12-2016","0.25"
"F12-2016","2020.jeptalnrecital-taln.33","0.25"
"2020.jeptalnrecital-taln.33","L16-1035","0.25"
"L16-1035","2020.jeptalnrecital-taln.33","0.25"
"2020.jeptalnrecital-taln.33","S12-1068","0.25"
"S12-1068","2020.jeptalnrecital-taln.33","0.25"
"2020.jeptalnrecital-taln.33","W14-1206","0.25"
"W14-1206","2020.jeptalnrecital-taln.33","0.25"
"F12-2016","L16-1035","0.5"
"L16-1035","F12-2016","0.5"
"F12-2016","S12-1068","0.25"
"S12-1068","F12-2016","0.25"
"L16-1035","S12-1068","1.25"
"S12-1068","L16-1035","1.25"
"L16-1035","W14-1206","1.5"
"W14-1206","L16-1035","1.5"
"S12-1068","W14-1206","0.25"
"W14-1206","S12-1068","0.25"
"C16-1094","W14-1206","1"
"W14-1206","C16-1094","1"
"deleger-etal-2014-annotation","pho-etal-2014-multiple","1"
"pho-etal-2014-multiple","deleger-etal-2014-annotation","1"
"F12-2001","F12-2016","0.25"
"F12-2016","F12-2001","0.25"
"F12-2001","F13-1036","0.25"
"F13-1036","F12-2001","0.25"
"F12-2001","L16-1035","0.25"
"L16-1035","F12-2001","0.25"
"F12-2001","W14-1206","0.25"
"W14-1206","F12-2001","0.25"
"F12-2016","F13-1036","0.75"
"F13-1036","F12-2016","0.75"
"F13-1036","L16-1035","2.25"
"L16-1035","F13-1036","2.25"
"F13-1036","W14-1206","0.75"
"W14-1206","F13-1036","0.75"
