"2020.louhi-1.16","2021.clpsych-1.14","3"
"2021.clpsych-1.14","2020.louhi-1.16","3"
"2020.tacl-1.14","N18-1176","4"
"N18-1176","2020.tacl-1.14","4"
"2020.tacl-1.14","S15-1009","1"
"S15-1009","2020.tacl-1.14","1"
"N18-1176","S15-1009","1"
"S15-1009","N18-1176","1"
"2021.eacl-main.23","N12-1002","0.333333"
"N12-1002","2021.eacl-main.23","0.333333"
"2021.eacl-main.23","P11-2020","0.333333"
"P11-2020","2021.eacl-main.23","0.333333"
"2021.eacl-main.23","W15-4644","0.833333"
"W15-4644","2021.eacl-main.23","0.833333"
"N12-1002","P11-2020","0.333333"
"P11-2020","N12-1002","0.333333"
"N12-1002","W15-4644","0.333333"
"W15-4644","N12-1002","0.333333"
"P11-2020","W15-4644","0.333333"
"W15-4644","P11-2020","0.333333"
"2021.eacl-main.23","P08-2043","0.5"
"P08-2043","2021.eacl-main.23","0.5"
"P08-2043","W15-4644","0.5"
"W15-4644","P08-2043","0.5"
"A00-2029","J06-3004","1"
"J06-3004","A00-2029","1"
"A00-2029","N01-1027","1"
"N01-1027","A00-2029","1"
"A00-2029","P01-1048","0.5"
"P01-1048","A00-2029","0.5"
"A00-2029","W01-1610","1.5"
"W01-1610","A00-2029","1.5"
"J06-3004","N01-1027","2"
"N01-1027","J06-3004","2"
"J06-3004","P01-1048","0.5"
"P01-1048","J06-3004","0.5"
"J06-3004","W01-1610","0.5"
"W01-1610","J06-3004","0.5"
"N01-1027","P01-1048","1"
"P01-1048","N01-1027","1"
"N01-1027","W01-1610","1"
"W01-1610","N01-1027","1"
"P01-1048","W01-1610","2"
"W01-1610","P01-1048","2"
"C16-1043","P14-5009","0.5"
"P14-5009","C16-1043","0.5"
"C16-1043","W14-2202","0.5"
"W14-2202","C16-1043","0.5"
"P14-5009","W14-2202","1.83333"
"W14-2202","P14-5009","1.83333"
"C16-1043","W19-1607","2"
"W19-1607","C16-1043","2"
"C90-2044","J12-1001","0.842857"
"J12-1001","C90-2044","0.842857"
"C90-2044","J93-3003","1.34286"
"J93-3003","C90-2044","1.34286"
"J12-1001","J93-3003","1.34286"
"J93-3003","J12-1001","1.34286"
"C90-2044","P87-1023","1.34286"
"P87-1023","C90-2044","1.34286"
"C90-2044","H91-1074","1.5"
"H91-1074","C90-2044","1.5"
"H91-1074","J93-3003","0.5"
"J93-3003","H91-1074","0.5"
"C90-2044","P07-1101","0.342857"
"P07-1101","C90-2044","0.342857"
"C90-2044","P96-1038","0.342857"
"P96-1038","C90-2044","0.342857"
"J12-1001","P07-1101","0.842857"
"P07-1101","J12-1001","0.842857"
"J12-1001","P87-1023","0.342857"
"P87-1023","J12-1001","0.342857"
"J12-1001","P96-1038","0.842857"
"P96-1038","J12-1001","0.842857"
"J93-3003","P07-1101","0.342857"
"P07-1101","J93-3003","0.342857"
"J93-3003","P87-1023","0.842857"
"P87-1023","J93-3003","0.842857"
"J93-3003","P96-1038","0.842857"
"P96-1038","J93-3003","0.842857"
"P07-1101","P87-1023","0.342857"
"P87-1023","P07-1101","0.342857"
"P07-1101","P96-1038","0.342857"
"P96-1038","P07-1101","0.342857"
"P87-1023","P96-1038","0.342857"
"P96-1038","P87-1023","0.342857"
"C90-2044","H92-1089","0.142857"
"H92-1089","C90-2044","0.142857"
"C90-2044","P88-1023","0.142857"
"P88-1023","C90-2044","0.142857"
"H92-1089","J12-1001","0.142857"
"J12-1001","H92-1089","0.142857"
"H92-1089","J93-3003","0.142857"
"J93-3003","H92-1089","0.142857"
"H92-1089","P07-1101","0.142857"
"P07-1101","H92-1089","0.142857"
"H92-1089","P87-1023","0.142857"
"P87-1023","H92-1089","0.142857"
"H92-1089","P88-1023","1.14286"
"P88-1023","H92-1089","1.14286"
"H92-1089","P96-1038","0.142857"
"P96-1038","H92-1089","0.142857"
"J12-1001","P88-1023","0.142857"
"P88-1023","J12-1001","0.142857"
"J93-3003","P88-1023","0.642857"
"P88-1023","J93-3003","0.642857"
"P07-1101","P88-1023","0.142857"
"P88-1023","P07-1101","0.142857"
"P87-1023","P88-1023","0.642857"
"P88-1023","P87-1023","0.642857"
"P88-1023","P96-1038","0.142857"
"P96-1038","P88-1023","0.142857"
"H91-1074","H93-1066","0.5"
"H93-1066","H91-1074","0.5"
"H91-1074","P93-1007","0.5"
"P93-1007","H91-1074","0.5"
"H93-1066","P93-1007","9.5"
"P93-1007","H93-1066","9.5"
"J12-1001","P11-2020","1"
"P11-2020","J12-1001","1"
"J12-1001","P04-1085","1.5"
"P04-1085","J12-1001","1.5"
"P04-1085","P07-1101","0.5"
"P07-1101","P04-1085","0.5"
"J12-1001","W11-2018","1"
"W11-2018","J12-1001","1"
"J12-1001","W16-5812","0.5"
"W16-5812","J12-1001","0.5"
"J12-1001","W18-3201","0.5"
"W18-3201","J12-1001","0.5"
"W16-5812","W18-3201","3.33333"
"W18-3201","W16-5812","3.33333"
"L18-1107","W18-3201","1.83333"
"W18-3201","L18-1107","1.83333"
"L18-1107","W18-3219","4.83333"
"W18-3219","L18-1107","4.83333"
"W18-3201","W18-3219","0.833333"
"W18-3219","W18-3201","0.833333"
"L18-1107","W16-5812","1.33333"
"W16-5812","L18-1107","1.33333"
"L18-1107","W14-3907","2"
"W14-3907","L18-1107","2"
"W14-3907","W18-3219","1"
"W18-3219","W14-3907","1"
"W16-5812","W18-3219","1.33333"
"W18-3219","W16-5812","1.33333"
"P08-1092","S15-1009","1"
"S15-1009","P08-1092","1"
"P08-2043","P11-2020","1"
"P11-2020","P08-2043","1"
"P14-5009","W19-1607","0.833333"
"W19-1607","P14-5009","0.833333"
"W14-2202","W19-1607","0.833333"
"W19-1607","W14-2202","0.833333"
"P14-5009","S15-1009","0.833333"
"S15-1009","P14-5009","0.833333"
"S15-1009","W14-2202","0.833333"
"W14-2202","S15-1009","0.833333"
"S15-1009","W19-1607","0.333333"
"W19-1607","S15-1009","0.333333"
"S15-1009","W18-1301","1.5"
"W18-1301","S15-1009","1.5"
"S15-1009","W19-4001","0.5"
"W19-4001","S15-1009","0.5"
"W18-1301","W19-4001","1.5"
"W19-4001","W18-1301","1.5"
"W13-4020","W13-4021","0.5"
"W13-4021","W13-4020","0.5"
"W13-4020","W14-4331","0.5"
"W14-4331","W13-4020","0.5"
"W13-4021","W14-4331","0.5"
"W14-4331","W13-4021","0.5"
"W14-3907","W16-5812","0.5"
"W16-5812","W14-3907","0.5"
"W14-3907","W18-3201","0.5"
"W18-3201","W14-3907","0.5"
