"2020.acl-main.578","D19-1023","3"
"D19-1023","2020.acl-main.578","3"
"2020.ccl-1.80","2020.ccl-1.88","0.333333"
"2020.ccl-1.88","2020.ccl-1.80","0.333333"
"2020.ccl-1.80","2020.emnlp-main.591","0.666667"
"2020.emnlp-main.591","2020.ccl-1.80","0.666667"
"2020.ccl-1.80","P19-1001","0.333333"
"P19-1001","2020.ccl-1.80","0.333333"
"2020.ccl-1.88","2020.emnlp-main.591","0.833333"
"2020.emnlp-main.591","2020.ccl-1.88","0.833333"
"2020.ccl-1.88","P19-1001","0.333333"
"P19-1001","2020.ccl-1.88","0.333333"
"2020.emnlp-main.591","P19-1001","0.333333"
"P19-1001","2020.emnlp-main.591","0.333333"
"2020.ccl-1.80","2021.findings-acl.85","1.33333"
"2021.findings-acl.85","2020.ccl-1.80","1.33333"
"2020.ccl-1.80","2021.findings-emnlp.255","0.333333"
"2021.findings-emnlp.255","2020.ccl-1.80","0.333333"
"2020.emnlp-main.591","2021.findings-acl.85","0.333333"
"2021.findings-acl.85","2020.emnlp-main.591","0.333333"
"2020.emnlp-main.591","2021.findings-emnlp.255","0.833333"
"2021.findings-emnlp.255","2020.emnlp-main.591","0.833333"
"2021.findings-acl.85","2021.findings-emnlp.255","1.33333"
"2021.findings-emnlp.255","2021.findings-acl.85","1.33333"
"2020.ccl-1.80","2020.emnlp-main.272","1"
"2020.emnlp-main.272","2020.ccl-1.80","1"
"2020.ccl-1.83","2020.emnlp-main.313","1.83333"
"2020.emnlp-main.313","2020.ccl-1.83","1.83333"
"2020.ccl-1.83","D18-1423","0.85119"
"D18-1423","2020.ccl-1.83","0.85119"
"2020.ccl-1.83","P19-1372","0.72619"
"P19-1372","2020.ccl-1.83","0.72619"
"2020.emnlp-main.313","D18-1423","0.333333"
"D18-1423","2020.emnlp-main.313","0.333333"
"2020.emnlp-main.313","P19-1372","0.333333"
"P19-1372","2020.emnlp-main.313","0.333333"
"D18-1423","P19-1372","0.72619"
"P19-1372","D18-1423","0.72619"
"2020.ccl-1.83","D19-1501","1.5"
"D19-1501","2020.ccl-1.83","1.5"
"2020.emnlp-main.313","D19-1501","1.625"
"D19-1501","2020.emnlp-main.313","1.625"
"2020.ccl-1.83","D17-1233","0.375"
"D17-1233","2020.ccl-1.83","0.375"
"2020.ccl-1.83","D19-1199","0.25"
"D19-1199","2020.ccl-1.83","0.25"
"D17-1233","D18-1423","0.375"
"D18-1423","D17-1233","0.375"
"D17-1233","D19-1199","0.375"
"D19-1199","D17-1233","0.375"
"D17-1233","P19-1372","0.375"
"P19-1372","D17-1233","0.375"
"D18-1423","D19-1199","0.75"
"D19-1199","D18-1423","0.75"
"D19-1199","P19-1372","0.486111"
"P19-1372","D19-1199","0.486111"
"2020.ccl-1.83","2020.findings-emnlp.350","0.125"
"2020.findings-emnlp.350","2020.ccl-1.83","0.125"
"2020.ccl-1.83","2021.findings-acl.432","0.267857"
"2021.findings-acl.432","2020.ccl-1.83","0.267857"
"2020.ccl-1.83","2021.findings-emnlp.111","0.267857"
"2021.findings-emnlp.111","2020.ccl-1.83","0.267857"
"2020.ccl-1.83","2021.naacl-main.134","0.125"
"2021.naacl-main.134","2020.ccl-1.83","0.125"
"2020.ccl-1.83","D19-1201","0.267857"
"D19-1201","2020.ccl-1.83","0.267857"
"2020.ccl-1.83","D19-1499","0.125"
"D19-1499","2020.ccl-1.83","0.125"
