"2020.coling-demos.4","2020.coling-main.317","1"
"2020.coling-main.317","2020.coling-demos.4","1"
"C10-2004","N09-3013","0.0769231"
"N09-3013","C10-2004","0.0769231"
"C10-2004","R11-1032","0.0769231"
"R11-1032","C10-2004","0.0769231"
"C10-2004","S10-1099","0.24359"
"S10-1099","C10-2004","0.24359"
"C10-2004","S12-1090","0.0769231"
"S12-1090","C10-2004","0.0769231"
"C10-2004","S13-1015","0.0769231"
"S13-1015","C10-2004","0.0769231"
"C10-2004","S13-2042","0.0769231"
"S13-2042","C10-2004","0.0769231"
"C10-2004","S13-2073","0.0769231"
"S13-2073","C10-2004","0.0769231"
"C10-2004","S14-2137","0.0769231"
"S14-2137","C10-2004","0.0769231"
"C10-2004","W09-4304","0.0769231"
"W09-4304","C10-2004","0.0769231"
"C10-2004","W10-1801","0.0769231"
"W10-1801","C10-2004","0.0769231"
"C10-2004","W11-1722","1.07692"
"W11-1722","C10-2004","1.07692"
"C10-2004","W13-1613","0.0769231"
"W13-1613","C10-2004","0.0769231"
"C10-2004","Y09-2019","0.0769231"
"Y09-2019","C10-2004","0.0769231"
"N09-3013","R11-1032","0.0769231"
"R11-1032","N09-3013","0.0769231"
"N09-3013","S10-1099","0.362637"
"S10-1099","N09-3013","0.362637"
"N09-3013","S12-1090","0.0769231"
"S12-1090","N09-3013","0.0769231"
"N09-3013","S13-1015","0.0769231"
"S13-1015","N09-3013","0.0769231"
"N09-3013","S13-2042","0.0769231"
"S13-2042","N09-3013","0.0769231"
"N09-3013","S13-2073","0.0769231"
"S13-2073","N09-3013","0.0769231"
"N09-3013","S14-2137","0.0769231"
"S14-2137","N09-3013","0.0769231"
"N09-3013","W09-4304","0.0769231"
"W09-4304","N09-3013","0.0769231"
"N09-3013","W10-1801","2.36264"
"W10-1801","N09-3013","2.36264"
"N09-3013","W11-1722","0.0769231"
"W11-1722","N09-3013","0.0769231"
"N09-3013","W13-1613","0.362637"
"W13-1613","N09-3013","0.362637"
"N09-3013","Y09-2019","0.576923"
"Y09-2019","N09-3013","0.576923"
"R11-1032","S10-1099","0.0769231"
"S10-1099","R11-1032","0.0769231"
"R11-1032","S12-1090","0.476923"
"S12-1090","R11-1032","0.476923"
"R11-1032","S13-1015","0.476923"
"S13-1015","R11-1032","0.476923"
"R11-1032","S13-2042","0.860256"
"S13-2042","R11-1032","0.860256"
"R11-1032","S13-2073","0.610256"
"S13-2073","R11-1032","0.610256"
"R11-1032","S14-2137","0.0769231"
"S14-2137","R11-1032","0.0769231"
"R11-1032","W09-4304","0.0769231"
"W09-4304","R11-1032","0.0769231"
"R11-1032","W10-1801","0.0769231"
"W10-1801","R11-1032","0.0769231"
"R11-1032","W11-1722","0.0769231"
"W11-1722","R11-1032","0.0769231"
"R11-1032","W13-1613","0.610256"
"W13-1613","R11-1032","0.610256"
"R11-1032","Y09-2019","0.0769231"
"Y09-2019","R11-1032","0.0769231"
"S10-1099","S12-1090","0.0769231"
