"2021.naacl-industry.25","2021.nlp4convai-1.22","1"
"2021.nlp4convai-1.22","2021.naacl-industry.25","1"
"C02-1105","C04-1027","1"
"C04-1027","C02-1105","1"
"C02-1105","W08-2212","2"
"W08-2212","C02-1105","2"
"C04-1027","W08-2212","1"
"W08-2212","C04-1027","1"
"C08-1022","W07-1607","1.5"
"W07-1607","C08-1022","1.5"
"C08-1022","W08-2212","0.5"
"W08-2212","C08-1022","0.5"
"W07-1607","W08-2212","1.5"
"W08-2212","W07-1607","1.5"
"C12-2054","S12-1011","1.08333"
"S12-1011","C12-2054","1.08333"
"C12-2054","W13-3513","3.91667"
"W13-3513","C12-2054","3.91667"
"S12-1011","W13-3513","1.08333"
"W13-3513","S12-1011","1.08333"
"C12-2054","W11-0114","1.41667"
"W11-0114","C12-2054","1.41667"
"S12-1011","W11-0114","0.583333"
"W11-0114","S12-1011","0.583333"
"W11-0114","W13-3513","1.41667"
"W13-3513","W11-0114","1.41667"
"C12-2054","S12-1021","0.25"
"S12-1021","C12-2054","0.25"
"S12-1011","S12-1021","0.25"
"S12-1021","S12-1011","0.25"
"S12-1021","W11-0114","0.25"
"W11-0114","S12-1021","0.25"
"S12-1021","W13-3513","0.25"
"W13-3513","S12-1021","0.25"
"C12-2054","R13-1036","0.333333"
"R13-1036","C12-2054","0.333333"
"R13-1036","W11-0114","0.333333"
"W11-0114","R13-1036","0.333333"
"R13-1036","W13-3513","0.333333"
"W13-3513","R13-1036","0.333333"
"C96-1077","J87-3008","1"
"J87-3008","C96-1077","1"
"J96-3001","W00-0740","1"
"W00-0740","J96-3001","1"
"S12-1011","W08-2212","2"
"W08-2212","S12-1011","2"
"W08-2212","W11-0149","1"
"W11-0149","W08-2212","1"
"W09-3949","W09-3951","1"
"W09-3951","W09-3949","1"
