"W13-4604","I17-1016","0.257479"
"I17-1016","W14-4004","0.400336"
"W14-4004","I17-1016","0.400336"
"I17-1016","W15-3057","0.0555556"
"W15-3057","I17-1016","0.0555556"
"I17-1016","W17-4709","0.430556"
"W17-4709","I17-1016","0.430556"
"I17-1016","W17-4753","0.257479"
"W17-4753","I17-1016","0.257479"
"I17-1044","N16-1003","0.0555556"
"N16-1003","I17-1044","0.0555556"
"I17-1044","N18-1120","0.0555556"
"N18-1120","I17-1044","0.0555556"
"I17-1044","P14-2090","0.0555556"
"P14-2090","I17-1044","0.0555556"
"I17-1044","P15-1020","0.0555556"
"P15-1020","I17-1044","0.0555556"
"I17-1044","P17-1079","0.198413"
"P17-1079","I17-1044","0.198413"
"I17-1044","W13-4604","0.0555556"
"W13-4604","I17-1044","0.0555556"
"I17-1044","W14-4004","0.0555556"
"W14-4004","I17-1044","0.0555556"
"I17-1044","W15-3057","0.0555556"
"W15-3057","I17-1044","0.0555556"
"I17-1044","W17-4709","0.0555556"
"W17-4709","I17-1044","0.0555556"
"I17-1044","W17-4753","0.0555556"
"W17-4753","I17-1044","0.0555556"
"N16-1003","N18-1120","0.257479"
"N18-1120","N16-1003","0.257479"
"N16-1003","P14-2090","0.172479"
"P14-2090","N16-1003","0.172479"
"N16-1003","P15-1020","0.840311"
"P15-1020","N16-1003","0.840311"
"N16-1003","P17-1079","0.172479"
"P17-1079","N16-1003","0.172479"
"N16-1003","W13-4604","0.574402"
"W13-4604","N16-1003","0.574402"
"N16-1003","W14-4004","0.465311"
"W14-4004","N16-1003","0.465311"
"N16-1003","W15-3057","0.0955556"
"W15-3057","N16-1003","0.0955556"
"N16-1003","W17-4709","1.49748"
"W17-4709","N16-1003","1.49748"
"N16-1003","W17-4753","0.348388"
"W17-4753","N16-1003","0.348388"
"N18-1120","P14-2090","0.0555556"
"P14-2090","N18-1120","0.0555556"
"N18-1120","P15-1020","0.132479"
"P15-1020","N18-1120","0.132479"
"N18-1120","P17-1079","0.222222"
"P17-1079","N18-1120","0.222222"
"N18-1120","W13-4604","0.257479"
"W13-4604","N18-1120","0.257479"
"N18-1120","W14-4004","0.257479"
"W14-4004","N18-1120","0.257479"
"N18-1120","W15-3057","0.0555556"
"W15-3057","N18-1120","0.0555556"
"N18-1120","W17-4709","0.180556"
"W17-4709","N18-1120","0.180556"
"N18-1120","W17-4753","0.257479"
"W17-4753","N18-1120","0.257479"
"P14-2090","P15-1020","2.99748"
"P15-1020","P14-2090","2.99748"
"P14-2090","P17-1079","0.172479"
"P17-1079","P14-2090","0.172479"
"P14-2090","W13-4604","0.547479"
"W13-4604","P14-2090","0.547479"
"P14-2090","W14-4004","0.297479"
"W14-4004","P14-2090","0.297479"
"P14-2090","W15-3057","0.420556"
"W15-3057","P14-2090","0.420556"
"P14-2090","W17-4709","0.172479"
"W17-4709","P14-2090","0.172479"
"P14-2090","W17-4753","0.0555556"
"W17-4753","P14-2090","0.0555556"
"P15-1020","P17-1079","0.172479"
"P17-1079","P15-1020","0.172479"
"P15-1020","W13-4604","0.724402"
"W13-4604","P15-1020","0.724402"
"P15-1020","W14-4004","1.56531"
"W14-4004","P15-1020","1.56531"
"P15-1020","W15-3057","0.520556"
"W15-3057","P15-1020","0.520556"
"P15-1020","W17-4709","0.772479"
"W17-4709","P15-1020","0.772479"
"P15-1020","W17-4753","0.223388"
"W17-4753","P15-1020","0.223388"
"P17-1079","W13-4604","0.172479"
"W13-4604","P17-1079","0.172479"
"P17-1079","W14-4004","0.172479"
"W14-4004","P17-1079","0.172479"
"P17-1079","W15-3057","0.0955556"
"W15-3057","P17-1079","0.0955556"
"P17-1079","W17-4709","0.172479"
"W17-4709","P17-1079","0.172479"
"P17-1079","W17-4753","0.0555556"
"W17-4753","P17-1079","0.0555556"
"W13-4604","W14-4004","0.599402"
"W14-4004","W13-4604","0.599402"
"W13-4604","W15-3057","0.320556"
"W15-3057","W13-4604","0.320556"
"W13-4604","W17-4709","0.597479"
"W17-4709","W13-4604","0.597479"
"W13-4604","W17-4753","0.257479"
"W17-4753","W13-4604","0.257479"
"W14-4004","W15-3057","0.320556"
"W15-3057","W14-4004","0.320556"
"W14-4004","W17-4709","0.397479"
"W17-4709","W14-4004","0.397479"
"W14-4004","W17-4753","0.348388"
"W17-4753","W14-4004","0.348388"
"W15-3057","W17-4709","0.195556"
"W17-4709","W15-3057","0.195556"
"W15-3057","W17-4753","0.0555556"
"W17-4753","W15-3057","0.0555556"
"W17-4709","W17-4753","0.180556"
"W17-4753","W17-4709","0.180556"
"2012.iwslt-evaluation.15","2020.acl-main.327","0.04"
"2020.acl-main.327","2012.iwslt-evaluation.15","0.04"
"2012.iwslt-evaluation.15","2020.coling-main.319","0.04"
"2020.coling-main.319","2012.iwslt-evaluation.15","0.04"
"2012.iwslt-evaluation.15","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","2012.iwslt-evaluation.15","0.04"
"2012.iwslt-evaluation.15","2021.humeval-1.5","0.04"
"2021.humeval-1.5","2012.iwslt-evaluation.15","0.04"
"2012.iwslt-evaluation.15","2021.iwslt-1.27","0.04"
"2021.iwslt-1.27","2012.iwslt-evaluation.15","0.04"
"2012.iwslt-evaluation.15","C08-3006","0.04"
"C08-3006","2012.iwslt-evaluation.15","0.04"
"2012.iwslt-evaluation.15","N09-2056","0.116923"
"N09-2056","2012.iwslt-evaluation.15","0.116923"
