"2020.acl-main.159","2020.cmcl-1.8","2"
"2020.cmcl-1.8","2020.acl-main.159","2"
"2020.emnlp-main.642","2021.acl-long.79","2"
"2021.acl-long.79","2020.emnlp-main.642","2"
"2021.insights-1.11","N19-1006","1"
"N19-1006","2021.insights-1.11","1"
"2021.sigmorphon-1.9","N18-1126","1"
"N18-1126","2021.sigmorphon-1.9","1"
"2021.sigmorphon-1.9","D13-1004","1"
"D13-1004","2021.sigmorphon-1.9","1"
"2021.sigmorphon-1.9","D10-1056","0.333333"
"D10-1056","2021.sigmorphon-1.9","0.333333"
"2021.sigmorphon-1.9","D11-1059","0.333333"
"D11-1059","2021.sigmorphon-1.9","0.333333"
"2021.sigmorphon-1.9","P07-1094","0.666667"
"P07-1094","2021.sigmorphon-1.9","0.666667"
"D10-1056","D11-1059","4.73333"
"D11-1059","D10-1056","4.73333"
"D10-1056","P07-1094","1.28333"
"P07-1094","D10-1056","1.28333"
"D11-1059","P07-1094","2.28333"
"P07-1094","D11-1059","2.28333"
"2021.sigmorphon-1.9","Q13-1021","1"
"Q13-1021","2021.sigmorphon-1.9","1"
"2021.sigmorphon-1.9","N09-1036","0.333333"
"N09-1036","2021.sigmorphon-1.9","0.333333"
"2021.sigmorphon-1.9","N09-1062","0.333333"
"N09-1062","2021.sigmorphon-1.9","0.333333"
"N09-1036","N09-1062","0.833333"
"N09-1062","N09-1036","0.833333"
"N09-1036","P07-1094","0.333333"
"P07-1094","N09-1036","0.333333"
"N09-1062","P07-1094","0.333333"
"P07-1094","N09-1062","0.333333"
"2021.sigmorphon-1.9","E17-1032","1"
"E17-1032","2021.sigmorphon-1.9","1"
"C00-2097","W00-0312","2"
"W00-0312","C00-2097","2"
"D10-1056","D13-1004","1.36667"
"D13-1004","D10-1056","1.36667"
"D10-1056","P14-2044","2.98333"
"P14-2044","D10-1056","2.98333"
"D10-1056","Q13-1006","0.75"
"Q13-1006","D10-1056","0.75"
"D11-1059","D13-1004","2.2"
"D13-1004","D11-1059","2.2"
"D11-1059","P14-2044","2.81667"
"P14-2044","D11-1059","2.81667"
"D11-1059","Q13-1006","0.75"
"Q13-1006","D11-1059","0.75"
"D13-1004","P14-2044","4.61667"
"P14-2044","D13-1004","4.61667"
"D13-1004","Q13-1006","0.25"
"Q13-1006","D13-1004","0.25"
"P14-2044","Q13-1006","0.25"
"Q13-1006","P14-2044","0.25"
"D10-1056","W10-2001","0.533333"
"W10-2001","D10-1056","0.533333"
"D11-1059","W10-2001","0.533333"
"W10-2001","D11-1059","0.533333"
"D13-1004","W10-2001","0.533333"
"W10-2001","D13-1004","0.533333"
"D10-1056","P12-1020","0.2"
"P12-1020","D10-1056","0.2"
"D10-1056","W12-1913","0.2"
"W12-1913","D10-1056","0.2"
"D11-1059","P12-1020","0.2"
"P12-1020","D11-1059","0.2"
"D11-1059","W12-1913","0.2"
"W12-1913","D11-1059","0.2"
"P07-1094","P12-1020","0.2"
"P12-1020","P07-1094","0.2"
"P07-1094","P14-2044","0.2"
"P14-2044","P07-1094","0.2"
"P07-1094","W12-1913","0.2"
"W12-1913","P07-1094","0.2"
"P12-1020","P14-2044","0.2"
"P14-2044","P12-1020","0.2"
"P12-1020","W12-1913","0.2"
"W12-1913","P12-1020","0.2"
"P14-2044","W12-1913","0.7"
"W12-1913","P14-2044","0.7"
"D10-1056","W04-0105","0.333333"
"W04-0105","D10-1056","0.333333"
"D10-1056","W98-1115","0.333333"
"W98-1115","D10-1056","0.333333"
"D11-1059","W04-0105","0.333333"
"W04-0105","D11-1059","0.333333"
"D11-1059","W98-1115","0.333333"
"W98-1115","D11-1059","0.333333"
"W04-0105","W98-1115","0.333333"
"W98-1115","W04-0105","0.333333"
"D10-1056","W05-0615","0.5"
"W05-0615","D10-1056","0.5"
"P07-1094","W05-0615","1"
"W05-0615","P07-1094","1"
"D10-1056","P14-1101","0.2"
"P14-1101","D10-1056","0.2"
"D11-1059","P14-1101","0.533333"
"P14-1101","D11-1059","0.533333"
"D13-1004","P14-1101","1.03333"
"P14-1101","D13-1004","1.03333"
"P14-1101","P14-2044","0.533333"
"P14-2044","P14-1101","0.533333"
"P14-1101","W10-2001","0.2"
"W10-2001","P14-1101","0.2"
"P14-2044","W10-2001","0.2"
"W10-2001","P14-2044","0.2"
"D10-1056","E17-1032","0.25"
"E17-1032","D10-1056","0.25"
"D11-1059","E17-1032","0.25"
"E17-1032","D11-1059","0.25"
"D13-1004","E17-1032","0.75"
"E17-1032","D13-1004","0.75"
"D13-1004","P07-1094","0.25"
"P07-1094","D13-1004","0.25"
"E17-1032","P07-1094","0.25"
"P07-1094","E17-1032","0.25"
"D10-1119","D11-1140","7.66667"
"D11-1140","D10-1119","7.66667"
"D10-1119","P12-1051","0.833333"
"P12-1051","D10-1119","0.833333"
"D10-1119","U11-1005","0.833333"
"U11-1005","D10-1119","0.833333"
"D11-1140","P12-1051","1.66667"
