"lenci-etal-2000-opposites","W99-0407","4"
"W99-0407","lenci-etal-2000-opposites","4"
"P06-2106","savas-etal-2010-lmf","0.2"
"savas-etal-2010-lmf","P06-2106","0.2"
"P06-2106","soria-etal-2006-moving","1.2"
"soria-etal-2006-moving","P06-2106","1.2"
"P06-2106","tokunaga-etal-2008-adapting","0.533333"
"tokunaga-etal-2008-adapting","P06-2106","0.533333"
"P06-2106","W06-1001","0.7"
"W06-1001","P06-2106","0.7"
"P06-2106","W09-3421","1.03333"
"W09-3421","P06-2106","1.03333"
"savas-etal-2010-lmf","soria-etal-2006-moving","0.2"
"soria-etal-2006-moving","savas-etal-2010-lmf","0.2"
"savas-etal-2010-lmf","tokunaga-etal-2008-adapting","0.2"
"tokunaga-etal-2008-adapting","savas-etal-2010-lmf","0.2"
"savas-etal-2010-lmf","W06-1001","0.2"
"W06-1001","savas-etal-2010-lmf","0.2"
"savas-etal-2010-lmf","W09-3421","0.2"
"W09-3421","savas-etal-2010-lmf","0.2"
"soria-etal-2006-moving","tokunaga-etal-2008-adapting","0.2"
"tokunaga-etal-2008-adapting","soria-etal-2006-moving","0.2"
"soria-etal-2006-moving","W06-1001","0.7"
"W06-1001","soria-etal-2006-moving","0.7"
"soria-etal-2006-moving","W09-3421","0.7"
"W09-3421","soria-etal-2006-moving","0.7"
"tokunaga-etal-2008-adapting","W06-1001","0.2"
"W06-1001","tokunaga-etal-2008-adapting","0.2"
"tokunaga-etal-2008-adapting","W09-3421","1.53333"
"W09-3421","tokunaga-etal-2008-adapting","1.53333"
"W06-1001","W09-3421","0.2"
"W09-3421","W06-1001","0.2"
"P06-2106","S01-1007","0.333333"
"S01-1007","P06-2106","0.333333"
"S01-1007","tokunaga-etal-2008-adapting","0.333333"
"tokunaga-etal-2008-adapting","S01-1007","0.333333"
"S01-1007","W09-3421","0.333333"
"W09-3421","S01-1007","0.333333"
