"2005.sigdial-1.11","C12-3012","1"
"C12-3012","2005.sigdial-1.11","1"
"2020.crac-1.13","kruijff-korbayova-etal-2006-annotation","1"
"kruijff-korbayova-etal-2006-annotation","2020.crac-1.13","1"
"2020.crac-1.13","2021.codi-sharedtask.3","1"
"2021.codi-sharedtask.3","2020.crac-1.13","1"
"2020.crac-1.13","kruijff-korbayova-etal-2006-sammie","1"
"kruijff-korbayova-etal-2006-sammie","2020.crac-1.13","1"
"2021.codi-sharedtask.3","W19-5947","1"
"W19-5947","2021.codi-sharedtask.3","1"
"baumann-etal-2004-muli","W04-0206","2"
"W04-0206","baumann-etal-2004-muli","2"
"E03-2004","H05-1002","1"
"H05-1002","E03-2004","1"
"H05-1002","W04-0206","1"
"W04-0206","H05-1002","1"
"kruijff-korbayova-etal-2006-sammie","W06-2711","1.5"
"W06-2711","kruijff-korbayova-etal-2006-sammie","1.5"
"kruijff-korbayova-etal-2006-sammie","W19-5946","1"
"W19-5946","kruijff-korbayova-etal-2006-sammie","1"
"kruijff-korbayova-etal-2006-sammie","P06-4015","0.5"
"P06-4015","kruijff-korbayova-etal-2006-sammie","0.5"
"P06-4015","W06-2711","0.5"
"W06-2711","P06-4015","0.5"
"N12-3005","W19-5947","1"
"W19-5947","N12-3005","1"
"P04-1004","W04-0911","2"
"W04-0911","P04-1004","2"
"P04-1004","wolska-etal-2004-annotated","0.5"
"wolska-etal-2004-annotated","P04-1004","0.5"
"W04-0911","wolska-etal-2004-annotated","0.5"
"wolska-etal-2004-annotated","W04-0911","0.5"
"P04-1004","P06-4015","0.5"
"P06-4015","P04-1004","0.5"
"P06-4015","W04-0911","0.5"
"W04-0911","P06-4015","0.5"
"P06-4015","W08-1117","1"
"W08-1117","P06-4015","1"
"W04-0206","W04-0911","1"
"W04-0911","W04-0206","1"
"W04-0206","wolska-etal-2004-annotated","1"
"wolska-etal-2004-annotated","W04-0206","1"
"W06-2711","W08-1117","1"
"W08-1117","W06-2711","1"
"W08-0129","W08-1117","1"
"W08-1117","W08-0129","1"
