"2021.acl-long.95","2021.emnlp-main.489","1"
"2021.emnlp-main.489","2021.acl-long.95","1"
"2021.findings-acl.133","D18-1106","1"
"D18-1106","2021.findings-acl.133","1"
"2021.findings-acl.133","N19-1379","1"
"N19-1379","2021.findings-acl.133","1"
"D18-1106","N19-1379","2"
"N19-1379","D18-1106","2"
"C16-1038","C16-1193","2.26591"
"C16-1193","C16-1038","2.26591"
"C16-1038","D16-1222","0.515909"
"D16-1222","C16-1038","0.515909"
"C16-1038","N16-1032","0.591667"
"N16-1032","C16-1038","0.591667"
"C16-1038","P15-2032","0.415909"
"P15-2032","C16-1038","0.415909"
"C16-1038","P15-2132","0.390909"
"P15-2132","C16-1038","0.390909"
"C16-1193","D16-1222","0.515909"
"D16-1222","C16-1193","0.515909"
"C16-1193","N16-1032","0.591667"
"N16-1032","C16-1193","0.591667"
"C16-1193","P15-2032","0.415909"
"P15-2032","C16-1193","0.415909"
"C16-1193","P15-2132","0.390909"
"P15-2132","C16-1193","0.390909"
"D16-1222","N16-1032","0.425"
"N16-1032","D16-1222","0.425"
"D16-1222","P15-2032","0.558766"
"P15-2032","D16-1222","0.558766"
"D16-1222","P15-2132","0.533766"
"P15-2132","D16-1222","0.533766"
"N16-1032","P15-2032","1.825"
"P15-2032","N16-1032","1.825"
"N16-1032","P15-2132","0.3"
"P15-2132","N16-1032","0.3"
"P15-2032","P15-2132","1.43377"
"P15-2132","P15-2032","1.43377"
"C16-1038","D15-1150","0.315909"
"D15-1150","C16-1038","0.315909"
"C16-1038","N18-3003","0.190909"
"N18-3003","C16-1038","0.190909"
"C16-1038","P15-1046","0.0909091"
"P15-1046","C16-1038","0.0909091"
"C16-1038","P16-2002","0.482576"
"P16-2002","C16-1038","0.482576"
"C16-1038","P17-1060","0.899242"
"P17-1060","C16-1038","0.899242"
"C16-1038","P17-1119","0.899242"
"P17-1119","C16-1038","0.899242"
"C16-1038","P18-1206","0.190909"
"P18-1206","C16-1038","0.190909"
"C16-1193","D15-1150","0.649242"
"D15-1150","C16-1193","0.649242"
"C16-1193","N18-3003","0.190909"
"N18-3003","C16-1193","0.190909"
"C16-1193","P15-1046","0.590909"
"P15-1046","C16-1193","0.590909"
"C16-1193","P16-2002","0.482576"
"P16-2002","C16-1193","0.482576"
"C16-1193","P17-1060","1.39924"
"P17-1060","C16-1193","1.39924"
"C16-1193","P17-1119","0.899242"
"P17-1119","C16-1193","0.899242"
"C16-1193","P18-1206","0.190909"
"P18-1206","C16-1193","0.190909"
"D15-1150","D16-1222","0.458766"
"D16-1222","D15-1150","0.458766"
"D15-1150","N18-3003","0.333766"
"N18-3003","D15-1150","0.333766"
"D15-1150","P15-1046","1.25758"
"P15-1046","D15-1150","1.25758"
"D15-1150","P15-2032","1.1921"
"P15-2032","D15-1150","1.1921"
"D15-1150","P15-2132","0.833766"
"P15-2132","D15-1150","0.833766"
"D15-1150","P16-2002","0.958766"
"P16-2002","D15-1150","0.958766"
"D15-1150","P17-1060","0.315909"
"P17-1060","D15-1150","0.315909"
"D15-1150","P17-1119","0.315909"
"P17-1119","D15-1150","0.315909"
"D15-1150","P18-1206","0.333766"
"P18-1206","D15-1150","0.333766"
"D16-1222","N18-3003","0.333766"
"N18-3003","D16-1222","0.333766"
"D16-1222","P15-1046","0.0909091"
"P15-1046","D16-1222","0.0909091"
"D16-1222","P16-2002","0.458766"
"P16-2002","D16-1222","0.458766"
"D16-1222","P17-1060","0.649242"
"P17-1060","D16-1222","0.649242"
"D16-1222","P17-1119","0.649242"
"P17-1119","D16-1222","0.649242"
"D16-1222","P18-1206","0.333766"
"P18-1206","D16-1222","0.333766"
"N18-3003","P15-1046","0.0909091"
"P15-1046","N18-3003","0.0909091"
"N18-3003","P15-2032","0.233766"
"P15-2032","N18-3003","0.233766"
"N18-3003","P15-2132","0.333766"
"P15-2132","N18-3003","0.333766"
"N18-3003","P16-2002","0.333766"
"P16-2002","N18-3003","0.333766"
"N18-3003","P17-1060","0.724242"
"P17-1060","N18-3003","0.724242"
"N18-3003","P17-1119","0.724242"
"P17-1119","N18-3003","0.724242"
"N18-3003","P18-1206","1.20043"
"P18-1206","N18-3003","1.20043"
"P15-1046","P15-2032","0.424242"
"P15-2032","P15-1046","0.424242"
"P15-1046","P15-2132","0.0909091"
"P15-2132","P15-1046","0.0909091"
"P15-1046","P16-2002","0.0909091"
"P16-2002","P15-1046","0.0909091"
"P15-1046","P17-1060","0.590909"
"P17-1060","P15-1046","0.590909"
"P15-1046","P17-1119","0.0909091"
"P17-1119","P15-1046","0.0909091"
"P15-1046","P18-1206","0.0909091"
"P18-1206","P15-1046","0.0909091"
"P15-2032","P16-2002","0.358766"
"P16-2002","P15-2032","0.358766"
"P15-2032","P17-1060","0.215909"
"P17-1060","P15-2032","0.215909"
"P15-2032","P17-1119","0.215909"
"P17-1119","P15-2032","0.215909"
"P15-2032","P18-1206","0.233766"
"P18-1206","P15-2032","0.233766"
"P15-2132","P16-2002","0.833766"
"P16-2002","P15-2132","0.833766"
"P15-2132","P17-1060","0.190909"
"P17-1060","P15-2132","0.190909"
"P15-2132","P17-1119","0.190909"
"P17-1119","P15-2132","0.190909"
"P15-2132","P18-1206","0.333766"
"P18-1206","P15-2132","0.333766"
"P16-2002","P17-1060","0.315909"
"P17-1060","P16-2002","0.315909"
"P16-2002","P17-1119","0.315909"
"P17-1119","P16-2002","0.315909"
"P16-2002","P18-1206","0.333766"
"P18-1206","P16-2002","0.333766"
"P17-1060","P17-1119","3.43258"
"P17-1119","P17-1060","3.43258"
"P17-1060","P18-1206","1.22424"
"P18-1206","P17-1060","1.22424"
"P17-1119","P18-1206","0.724242"
"P18-1206","P17-1119","0.724242"
"D15-1150","N16-1032","1.225"
"N16-1032","D15-1150","1.225"
"N16-1032","P16-2002","0.391667"
"P16-2002","N16-1032","0.391667"
"N16-1032","P17-1060","0.225"
"P17-1060","N16-1032","0.225"
"N16-1032","P17-1119","0.225"
"P17-1119","N16-1032","0.225"
"N16-1032","N18-3003","0.1"
"N18-3003","N16-1032","0.1"
"N16-1032","P18-1206","0.1"
"P18-1206","N16-1032","0.1"
"C16-1038","N19-2002","0.416667"
"N19-2002","C16-1038","0.416667"
"C16-1193","N19-2002","0.416667"
"N19-2002","C16-1193","0.416667"
"N19-2002","P17-1060","1.11667"
"P17-1060","N19-2002","1.11667"
"N19-2002","P17-1119","0.783333"
"P17-1119","N19-2002","0.783333"
"C16-1038","C18-1273","0.166667"
"C18-1273","C16-1038","0.166667"
"C16-1038","D18-1106","0.166667"
"D18-1106","C16-1038","0.166667"
"C16-1193","C18-1273","0.166667"
"C18-1273","C16-1193","0.166667"
"C16-1193","D18-1106","0.166667"
"D18-1106","C16-1193","0.166667"
"C18-1273","D18-1106","0.166667"
"D18-1106","C18-1273","0.166667"
"C18-1273","N16-1032","0.166667"
"N16-1032","C18-1273","0.166667"
"C18-1273","N19-2002","0.166667"
"N19-2002","C18-1273","0.166667"
"C18-1273","P16-2002","0.166667"
"P16-2002","C18-1273","0.166667"
"D18-1106","N16-1032","0.166667"
"N16-1032","D18-1106","0.166667"
"D18-1106","N19-2002","0.166667"
"N19-2002","D18-1106","0.166667"
"D18-1106","P16-2002","0.166667"
"P16-2002","D18-1106","0.166667"
"N16-1032","N19-2002","0.166667"
"N19-2002","N16-1032","0.166667"
"N19-2002","P16-2002","0.166667"
"P16-2002","N19-2002","0.166667"
"C16-1193","D17-1302","0.333333"
"D17-1302","C16-1193","0.333333"
"C16-1193","N15-1009","0.333333"
"N15-1009","C16-1193","0.333333"
"D15-1150","D17-1302","1.47619"
"D17-1302","D15-1150","1.47619"
"D15-1150","N15-1009","2.33333"
"N15-1009","D15-1150","2.33333"
"D17-1302","N15-1009","0.333333"
"N15-1009","D17-1302","0.333333"
"C18-1273","P17-1060","0.5"
"P17-1060","C18-1273","0.5"
"C18-1273","P18-1206","0.5"
"P18-1206","C18-1273","0.5"
"C18-1273","D11-1030","1"
"D11-1030","C18-1273","1"
"C18-1273","W15-4319","1"
"W15-4319","C18-1273","1"
"D11-1030","D12-1031","11.5"
"D12-1031","D11-1030","11.5"
"D11-1030","P13-1150","1"
"P13-1150","D11-1030","1"
"D12-1031","P13-1150","1.33333"
"P13-1150","D12-1031","1.33333"
"D11-1030","P15-2032","1"
"P15-2032","D11-1030","1"
"D11-1030","D15-1150","0.5"
"D15-1150","D11-1030","0.5"
"D12-1031","D15-1150","0.833333"
"D15-1150","D12-1031","0.833333"
"D12-1031","N13-1139","2"
"N13-1139","D12-1031","2"
"D12-1031","P15-1046","0.333333"
"P15-1046","D12-1031","0.333333"
"D15-1150","P13-1150","0.666667"
"P13-1150","D15-1150","0.666667"
"P13-1150","P15-1046","0.666667"
"P15-1046","P13-1150","0.666667"
"P13-1150","P15-2032","0.333333"
"P15-2032","P13-1150","0.333333"
"N16-1032","P15-1046","0.5"
"P15-1046","N16-1032","0.5"
"D16-1222","D17-1302","0.142857"
"D17-1302","D16-1222","0.142857"
"D17-1302","N18-3003","1.34286"
"N18-3003","D17-1302","1.34286"
"D17-1302","P15-2032","0.142857"
"P15-2032","D17-1302","0.142857"
"D17-1302","P15-2132","0.142857"
"P15-2132","D17-1302","0.142857"
"D17-1302","P16-2002","0.142857"
"P16-2002","D17-1302","0.142857"
"D17-1302","P18-1206","0.342857"
"P18-1206","D17-1302","0.342857"
"D16-1222","N19-2002","0.333333"
"N19-2002","D16-1222","0.333333"
"D17-1302","D18-1106","1"
"D18-1106","D17-1302","1"
"D17-1302","N16-1032","1"
"N16-1032","D17-1302","1"
"D17-1302","N19-2002","0.2"
"N19-2002","D17-1302","0.2"
"D17-1302","P17-1060","0.2"
"P17-1060","D17-1302","0.2"
"D17-1302","P17-1119","0.2"
"P17-1119","D17-1302","0.2"
"N18-3003","N19-2002","0.533333"
"N19-2002","N18-3003","0.533333"
"N19-2002","P18-1206","0.533333"
"P18-1206","N19-2002","0.533333"
"N16-1032","W15-4319","1"
"W15-4319","N16-1032","1"
"N18-3003","N19-1379","0.333333"
"N19-1379","N18-3003","0.333333"
"N19-1379","P17-1119","0.333333"
"P17-1119","N19-1379","0.333333"
"N19-1379","P18-1206","0.333333"
"P18-1206","N19-1379","0.333333"
"P14-2104","P15-2032","0.5"
"P15-2032","P14-2104","0.5"
"P14-2104","W15-4319","0.5"
"W15-4319","P14-2104","0.5"
"P15-2032","W15-4319","0.5"
"W15-4319","P15-2032","0.5"
