"2020.lrec-1.606","W19-2101","9"
"W19-2101","2020.lrec-1.606","9"
"2020.lrec-1.616","C14-1216","0.125"
"C14-1216","2020.lrec-1.616","0.125"
"2020.lrec-1.616","C18-1213","2.95833"
"C18-1213","2020.lrec-1.616","2.95833"
"2020.lrec-1.616","E14-4023","0.291667"
"E14-4023","2020.lrec-1.616","0.291667"
"2020.lrec-1.616","I17-1063","5.32879"
"I17-1063","2020.lrec-1.616","5.32879"
"2020.lrec-1.616","K15-1022","1.32879"
"K15-1022","2020.lrec-1.616","1.32879"
"2020.lrec-1.616","N16-1092","1.07879"
"N16-1092","2020.lrec-1.616","1.07879"
"2020.lrec-1.616","N18-1095","0.870455"
"N18-1095","2020.lrec-1.616","0.870455"
"2020.lrec-1.616","W15-2921","1.24545"
"W15-2921","2020.lrec-1.616","1.24545"
"C14-1216","C18-1213","0.291667"
"C18-1213","C14-1216","0.291667"
"C14-1216","E14-4023","0.525"
"E14-4023","C14-1216","0.525"
"C14-1216","I17-1063","0.325"
"I17-1063","C14-1216","0.325"
"C14-1216","K15-1022","4.19167"
"K15-1022","C14-1216","4.19167"
"C14-1216","N16-1092","0.325"
"N16-1092","C14-1216","0.325"
"C14-1216","N18-1095","0.325"
"N18-1095","C14-1216","0.325"
"C14-1216","W15-2921","0.325"
"W15-2921","C14-1216","0.325"
"C18-1213","E14-4023","0.125"
"E14-4023","C18-1213","0.125"
"C18-1213","I17-1063","8.45833"
"I17-1063","C18-1213","8.45833"
"C18-1213","K15-1022","0.491667"
"K15-1022","C18-1213","0.491667"
"C18-1213","N16-1092","0.125"
"N16-1092","C18-1213","0.125"
"C18-1213","N18-1095","2.125"
"N18-1095","C18-1213","2.125"
"C18-1213","W15-2921","0.125"
"W15-2921","C18-1213","0.125"
"E14-4023","I17-1063","0.491667"
"I17-1063","E14-4023","0.491667"
"E14-4023","K15-1022","0.525"
"K15-1022","E14-4023","0.525"
"E14-4023","N16-1092","0.325"
"N16-1092","E14-4023","0.325"
"E14-4023","N18-1095","0.325"
"N18-1095","E14-4023","0.325"
"E14-4023","W15-2921","0.491667"
"W15-2921","E14-4023","0.491667"
"I17-1063","K15-1022","1.69545"
"K15-1022","I17-1063","1.69545"
"I17-1063","N16-1092","1.94545"
"N16-1092","I17-1063","1.94545"
"I17-1063","N18-1095","1.03712"
"N18-1095","I17-1063","1.03712"
"I17-1063","W15-2921","1.77879"
"W15-2921","I17-1063","1.77879"
"K15-1022","N16-1092","1.52879"
"N16-1092","K15-1022","1.52879"
"K15-1022","N18-1095","0.737121"
"N18-1095","K15-1022","0.737121"
"K15-1022","W15-2921","8.86212"
"W15-2921","K15-1022","8.86212"
"N16-1092","N18-1095","0.787121"
"N18-1095","N16-1092","0.787121"
"N16-1092","W15-2921","1.27879"
"W15-2921","N16-1092","1.27879"
"N18-1095","W15-2921","0.620455"
"W15-2921","N18-1095","0.620455"
"2020.lrec-1.616","L18-1097","1.37879"
"L18-1097","2020.lrec-1.616","1.37879"
"I17-1063","L18-1097","1.04545"
"L18-1097","I17-1063","1.04545"
"2020.lrec-1.616","2021.eacl-main.27","0.583333"
"2021.eacl-main.27","2020.lrec-1.616","0.583333"
"2020.lrec-1.616","2021.eacl-main.28","0.378788"
"2021.eacl-main.28","2020.lrec-1.616","0.378788"
"2020.lrec-1.616","2021.germeval-1.1","0.333333"
"2021.germeval-1.1","2020.lrec-1.616","0.333333"
"2021.eacl-main.27","2021.eacl-main.28","2.45"
"2021.eacl-main.28","2021.eacl-main.27","2.45"
"2021.eacl-main.27","2021.germeval-1.1","1.03333"
"2021.germeval-1.1","2021.eacl-main.27","1.03333"
"2021.eacl-main.28","2021.germeval-1.1","2.03333"
"2021.germeval-1.1","2021.eacl-main.28","2.03333"
"2021.eacl-main.27","I17-1063","0.25"
"I17-1063","2021.eacl-main.27","0.25"
"2021.eacl-main.27","L18-1097","0.25"
"L18-1097","2021.eacl-main.27","0.25"
"2021.eacl-main.27","N18-1095","2.61667"
"N18-1095","2021.eacl-main.27","2.61667"
"L18-1097","N18-1095","0.295455"
"N18-1095","L18-1097","0.295455"
"2020.lrec-1.616","C18-1325","0.333333"
"C18-1325","2020.lrec-1.616","0.333333"
"C18-1325","I17-1063","0.333333"
"I17-1063","C18-1325","0.333333"
"C18-1325","N16-1092","0.333333"
"N16-1092","C18-1325","0.333333"
"2020.lrec-1.616","E12-1033","0.170455"
"E12-1033","2020.lrec-1.616","0.170455"
"2020.lrec-1.616","N10-1121","0.170455"
"N10-1121","2020.lrec-1.616","0.170455"
"2020.lrec-1.616","R11-1039","0.170455"
"R11-1039","2020.lrec-1.616","0.170455"
"2020.lrec-1.616","W11-4635","0.170455"
"W11-4635","2020.lrec-1.616","0.170455"
"E12-1033","I17-1063","0.503788"
"I17-1063","E12-1033","0.503788"
"E12-1033","K15-1022","1.07045"
"K15-1022","E12-1033","1.07045"
"E12-1033","N10-1121","2.07045"
"N10-1121","E12-1033","2.07045"
"E12-1033","N16-1092","0.670455"
"N16-1092","E12-1033","0.670455"
"E12-1033","R11-1039","3.07045"
"R11-1039","E12-1033","3.07045"
"E12-1033","W11-4635","1.57045"
"W11-4635","E12-1033","1.57045"
"E12-1033","W15-2921","1.08712"
"W15-2921","E12-1033","1.08712"
"I17-1063","N10-1121","0.170455"
"N10-1121","I17-1063","0.170455"
"I17-1063","R11-1039","0.170455"
"R11-1039","I17-1063","0.170455"
"I17-1063","W11-4635","0.170455"
"W11-4635","I17-1063","0.170455"
"K15-1022","N10-1121","1.07045"
"N10-1121","K15-1022","1.07045"
"K15-1022","R11-1039","0.370455"
"R11-1039","K15-1022","0.370455"
"K15-1022","W11-4635","1.12045"
"W11-4635","K15-1022","1.12045"
"N10-1121","N16-1092","0.170455"
"N16-1092","N10-1121","0.170455"
"N10-1121","R11-1039","1.37045"
"R11-1039","N10-1121","1.37045"
"N10-1121","W11-4635","3.87045"
"W11-4635","N10-1121","3.87045"
"N10-1121","W15-2921","0.420455"
"W15-2921","N10-1121","0.420455"
"N16-1092","R11-1039","0.170455"
"R11-1039","N16-1092","0.170455"
"N16-1092","W11-4635","0.170455"
"W11-4635","N16-1092","0.170455"
"R11-1039","W11-4635","0.870455"
"W11-4635","R11-1039","0.870455"
"R11-1039","W15-2921","0.170455"
"W15-2921","R11-1039","0.170455"
"W11-4635","W15-2921","0.670455"
"W15-2921","W11-4635","0.670455"
"2020.lrec-1.616","L18-1222","0.878788"
"L18-1222","2020.lrec-1.616","0.878788"
"C18-1213","L18-1097","0.583333"
"L18-1097","C18-1213","0.583333"
"C18-1213","L18-1222","3.66667"
"L18-1222","C18-1213","3.66667"
"L18-1097","L18-1222","0.628788"
"L18-1222","L18-1097","0.628788"
"2020.lrec-1.616","ruppenhofer-etal-2017-evaluating","0.25"
"ruppenhofer-etal-2017-evaluating","2020.lrec-1.616","0.25"
"C18-1213","ruppenhofer-etal-2017-evaluating","0.45"
"ruppenhofer-etal-2017-evaluating","C18-1213","0.45"
"I17-1063","L18-1222","2.37879"
"L18-1222","I17-1063","2.37879"
"I17-1063","ruppenhofer-etal-2017-evaluating","0.25"
"ruppenhofer-etal-2017-evaluating","I17-1063","0.25"
"L18-1222","ruppenhofer-etal-2017-evaluating","0.25"
"ruppenhofer-etal-2017-evaluating","L18-1222","0.25"
"2020.lrec-1.616","N13-1059","0.212121"
"N13-1059","2020.lrec-1.616","0.212121"
"2020.lrec-1.616","R15-1071","0.212121"
"R15-1071","2020.lrec-1.616","0.212121"
"2020.lrec-1.616","W13-1108","0.212121"
"W13-1108","2020.lrec-1.616","0.212121"
"E14-4023","N13-1059","0.366667"
"N13-1059","E14-4023","0.366667"
"E14-4023","R15-1071","1.16667"
"R15-1071","E14-4023","1.16667"
"E14-4023","W13-1108","0.366667"
"W13-1108","E14-4023","0.366667"
"I17-1063","N13-1059","0.212121"
"N13-1059","I17-1063","0.212121"
"I17-1063","R15-1071","0.212121"
"R15-1071","I17-1063","0.212121"
"I17-1063","W13-1108","0.212121"
"W13-1108","I17-1063","0.212121"
"N13-1059","R15-1071","0.212121"
"R15-1071","N13-1059","0.212121"
"N13-1059","W13-1108","1.41212"
"W13-1108","N13-1059","1.41212"
"N13-1059","W15-2921","0.212121"
"W15-2921","N13-1059","0.212121"
"R15-1071","W13-1108","0.212121"
"W13-1108","R15-1071","0.212121"
"R15-1071","W15-2921","0.212121"
"W15-2921","R15-1071","0.212121"
"W13-1108","W15-2921","0.212121"
"W15-2921","W13-1108","0.212121"
"2020.lrec-1.616","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","2020.lrec-1.616","0.0454545"
"2020.lrec-1.616","I13-1003","0.0454545"
"I13-1003","2020.lrec-1.616","0.0454545"
"2020.lrec-1.616","N16-1094","0.0454545"
"N16-1094","2020.lrec-1.616","0.0454545"
"2020.lrec-1.616","W09-4628","0.0454545"
"W09-4628","2020.lrec-1.616","0.0454545"
"2020.lrec-1.616","W10-3111","0.0454545"
"W10-3111","2020.lrec-1.616","0.0454545"
"2020.lrec-1.616","W11-4004","0.0454545"
"W11-4004","2020.lrec-1.616","0.0454545"
"2020.lrec-1.616","wiegand-klakow-2010-predictive","0.0454545"
"wiegand-klakow-2010-predictive","2020.lrec-1.616","0.0454545"
"2021.eacl-main.28","clematide-etal-2012-mlsa","0.0454545"
"clematide-etal-2012-mlsa","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","E12-1033","0.295455"
"E12-1033","2021.eacl-main.28","0.295455"
"2021.eacl-main.28","I13-1003","0.295455"
"I13-1003","2021.eacl-main.28","0.295455"
"2021.eacl-main.28","I17-1063","0.212121"
"I17-1063","2021.eacl-main.28","0.212121"
"2021.eacl-main.28","K15-1022","0.212121"
"K15-1022","2021.eacl-main.28","0.212121"
"2021.eacl-main.28","L18-1097","0.0454545"
"L18-1097","2021.eacl-main.28","0.0454545"
"2021.eacl-main.28","L18-1222","0.0454545"
