"2012.iwslt-evaluation.11","2013.iwslt-evaluation.23","1"
"2013.iwslt-evaluation.23","2012.iwslt-evaluation.11","1"
"2012.iwslt-evaluation.5","2012.iwslt-papers.2","0.111111"
"2012.iwslt-papers.2","2012.iwslt-evaluation.5","0.111111"
"2012.iwslt-evaluation.5","2013.iwslt-papers.3","0.311111"
"2013.iwslt-papers.3","2012.iwslt-evaluation.5","0.311111"
"2012.iwslt-evaluation.5","C14-1106","0.561111"
"C14-1106","2012.iwslt-evaluation.5","0.561111"
"2012.iwslt-evaluation.5","I17-1044","0.111111"
"I17-1044","2012.iwslt-evaluation.5","0.111111"
"2012.iwslt-evaluation.5","P14-2090","0.361111"
"P14-2090","2012.iwslt-evaluation.5","0.361111"
"2012.iwslt-evaluation.5","P15-1020","0.561111"
"P15-1020","2012.iwslt-evaluation.5","0.561111"
"2012.iwslt-evaluation.5","W13-4604","0.611111"
"W13-4604","2012.iwslt-evaluation.5","0.611111"
"2012.iwslt-evaluation.5","W14-4004","0.811111"
"W14-4004","2012.iwslt-evaluation.5","0.811111"
"2012.iwslt-evaluation.5","W15-3057","0.361111"
"W15-3057","2012.iwslt-evaluation.5","0.361111"
"2012.iwslt-papers.2","2013.iwslt-papers.3","0.111111"
"2013.iwslt-papers.3","2012.iwslt-papers.2","0.111111"
"2012.iwslt-papers.2","C14-1106","0.111111"
"C14-1106","2012.iwslt-papers.2","0.111111"
"2012.iwslt-papers.2","I17-1044","0.111111"
"I17-1044","2012.iwslt-papers.2","0.111111"
"2012.iwslt-papers.2","P14-2090","0.111111"
"P14-2090","2012.iwslt-papers.2","0.111111"
"2012.iwslt-papers.2","P15-1020","0.111111"
"P15-1020","2012.iwslt-papers.2","0.111111"
"2012.iwslt-papers.2","W13-4604","0.111111"
"W13-4604","2012.iwslt-papers.2","0.111111"
"2012.iwslt-papers.2","W14-4004","0.111111"
"W14-4004","2012.iwslt-papers.2","0.111111"
"2012.iwslt-papers.2","W15-3057","0.111111"
"W15-3057","2012.iwslt-papers.2","0.111111"
"2013.iwslt-papers.3","C14-1106","0.820635"
"C14-1106","2013.iwslt-papers.3","0.820635"
"2013.iwslt-papers.3","I17-1044","0.111111"
"I17-1044","2013.iwslt-papers.3","0.111111"
"2013.iwslt-papers.3","P14-2090","0.870635"
"P14-2090","2013.iwslt-papers.3","0.870635"
"2013.iwslt-papers.3","P15-1020","1.27063"
"P15-1020","2013.iwslt-papers.3","1.27063"
"2013.iwslt-papers.3","W13-4604","0.820635"
"W13-4604","2013.iwslt-papers.3","0.820635"
"2013.iwslt-papers.3","W14-4004","1.02063"
"W14-4004","2013.iwslt-papers.3","1.02063"
"2013.iwslt-papers.3","W15-3057","0.420635"
"W15-3057","2013.iwslt-papers.3","0.420635"
"C14-1106","I17-1044","0.111111"
"I17-1044","C14-1106","0.111111"
"C14-1106","P14-2090","0.670635"
"P14-2090","C14-1106","0.670635"
"C14-1106","P15-1020","1.2373"
"P15-1020","C14-1106","1.2373"
"C14-1106","W13-4604","0.787302"
"W13-4604","C14-1106","0.787302"
"C14-1106","W14-4004","0.987302"
"W14-4004","C14-1106","0.987302"
"C14-1106","W15-3057","0.837302"
"W15-3057","C14-1106","0.837302"
"I17-1044","P14-2090","0.111111"
"P14-2090","I17-1044","0.111111"
"I17-1044","P15-1020","0.111111"
"P15-1020","I17-1044","0.111111"
"I17-1044","W13-4604","0.111111"
"W13-4604","I17-1044","0.111111"
"I17-1044","W14-4004","0.111111"
"W14-4004","I17-1044","0.111111"
"I17-1044","W15-3057","0.111111"
"W15-3057","I17-1044","0.111111"
"P14-2090","P15-1020","4.12064"
"P15-1020","P14-2090","4.12064"
"P14-2090","W13-4604","1.12063"
"W13-4604","P14-2090","1.12063"
"P14-2090","W14-4004","0.620635"
"W14-4004","P14-2090","0.620635"
"P14-2090","W15-3057","0.670635"
"W15-3057","P14-2090","0.670635"
"P15-1020","W13-4604","1.4873"
"W13-4604","P15-1020","1.4873"
"P15-1020","W14-4004","2.1873"
"W14-4004","P15-1020","2.1873"
"P15-1020","W15-3057","0.837302"
"W15-3057","P15-1020","0.837302"
"W13-4604","W14-4004","1.4873"
"W14-4004","W13-4604","1.4873"
"W13-4604","W15-3057","0.587302"
"W15-3057","W13-4604","0.587302"
"W14-4004","W15-3057","0.587302"
"W15-3057","W14-4004","0.587302"
"2012.iwslt-evaluation.5","P15-2094","1.2"
"P15-2094","2012.iwslt-evaluation.5","1.2"
"2013.iwslt-papers.3","P15-2094","0.342857"
"P15-2094","2013.iwslt-papers.3","0.342857"
"C14-1106","P15-2094","0.509524"
"P15-2094","C14-1106","0.509524"
"P15-1020","P15-2094","0.509524"
"P15-2094","P15-1020","0.509524"
"P15-2094","W14-4004","0.509524"
"W14-4004","P15-2094","0.509524"
"2013.iwslt-papers.3","sakti-etal-2014-towards","0.2"
"sakti-etal-2014-towards","2013.iwslt-papers.3","0.2"
"P14-2090","sakti-etal-2014-towards","0.2"
"sakti-etal-2014-towards","P14-2090","0.2"
"P15-1020","sakti-etal-2014-towards","0.2"
"sakti-etal-2014-towards","P15-1020","0.2"
"sakti-etal-2014-towards","W13-4604","0.2"
"W13-4604","sakti-etal-2014-towards","0.2"
"sakti-etal-2014-towards","W14-4004","0.2"
"W14-4004","sakti-etal-2014-towards","0.2"
"2013.iwslt-papers.3","2021.iwslt-1.3","0.25"
"2021.iwslt-1.3","2013.iwslt-papers.3","0.25"
"2013.iwslt-papers.3","shimizu-etal-2014-collection","0.25"
"shimizu-etal-2014-collection","2013.iwslt-papers.3","0.25"
"2021.iwslt-1.3","P14-2090","0.25"
"P14-2090","2021.iwslt-1.3","0.25"
"2021.iwslt-1.3","P15-1020","1.75"
"P15-1020","2021.iwslt-1.3","1.75"
"2021.iwslt-1.3","shimizu-etal-2014-collection","0.25"
"shimizu-etal-2014-collection","2021.iwslt-1.3","0.25"
"P14-2090","shimizu-etal-2014-collection","0.75"
"shimizu-etal-2014-collection","P14-2090","0.75"
"P15-1020","shimizu-etal-2014-collection","0.75"
"shimizu-etal-2014-collection","P15-1020","0.75"
"P14-2090","P15-2094","0.142857"
"P15-2094","P14-2090","0.142857"
"P15-2094","W13-4604","0.809524"
"W13-4604","P15-2094","0.809524"
"P15-2094","W15-3057","0.309524"
"W15-3057","P15-2094","0.309524"
"2013.iwslt-papers.3","Q15-1041","0.2"
"Q15-1041","2013.iwslt-papers.3","0.2"
"C14-1106","Q15-1041","0.366667"
"Q15-1041","C14-1106","0.366667"
"P15-1020","Q15-1041","0.366667"
"Q15-1041","P15-1020","0.366667"
"Q15-1041","W13-4604","0.866667"
"W13-4604","Q15-1041","0.866667"
"Q15-1041","W14-4004","1.36667"
"W14-4004","Q15-1041","1.36667"
"2015.iwslt-evaluation.17","2020.sltu-1.18","1"
"2020.sltu-1.18","2015.iwslt-evaluation.17","1"
"2020.lrec-1.62","2021.iwslt-1.3","1"
"2021.iwslt-1.3","2020.lrec-1.62","1"
"2020.lrec-1.62","C14-1161","1"
"C14-1161","2020.lrec-1.62","1"
"2021.iwslt-1.3","N15-3009","0.5"
"N15-3009","2021.iwslt-1.3","0.5"
"N15-3009","P15-1020","0.5"
"P15-1020","N15-3009","0.5"
"P15-2094","Q15-1041","1.66667"
"Q15-1041","P15-2094","1.66667"
"Q15-1041","W15-3057","1.16667"
"W15-3057","Q15-1041","1.16667"
"L18-1194","W18-5017","1"
"W18-5017","L18-1194","1"
"N15-3009","W13-4604","1"
"W13-4604","N15-3009","1"
"N15-3009","W14-4004","1"
"W14-4004","N15-3009","1"
