"1991.mtsummit-papers.15","C92-2121","3"
"C92-2121","1991.mtsummit-papers.15","3"
"2020.coling-main.30","2020.lrec-1.8","8"
"2020.lrec-1.8","2020.coling-main.30","8"
"2020.coling-main.30","2020.lrec-1.188","1"
"2020.lrec-1.188","2020.coling-main.30","1"
"2020.lrec-1.135","2020.lrec-1.188","1"
"2020.lrec-1.188","2020.lrec-1.135","1"
"2020.lrec-1.135","D13-1123","0.25"
"D13-1123","2020.lrec-1.135","0.25"
"2020.lrec-1.135","E14-1016","0.25"
"E14-1016","2020.lrec-1.135","0.25"
"2020.lrec-1.135","erekhinskaya-etal-2014-multilingual","0.25"
"erekhinskaya-etal-2014-multilingual","2020.lrec-1.135","0.25"
"2020.lrec-1.135","L18-1077","0.25"
"L18-1077","2020.lrec-1.135","0.25"
"D13-1123","E14-1016","2.22619"
"E14-1016","D13-1123","2.22619"
"D13-1123","erekhinskaya-etal-2014-multilingual","0.25"
"erekhinskaya-etal-2014-multilingual","D13-1123","0.25"
"D13-1123","L18-1077","0.25"
"L18-1077","D13-1123","0.25"
"E14-1016","erekhinskaya-etal-2014-multilingual","0.25"
"erekhinskaya-etal-2014-multilingual","E14-1016","0.25"
"E14-1016","L18-1077","0.25"
"L18-1077","E14-1016","0.25"
"erekhinskaya-etal-2014-multilingual","L18-1077","0.25"
"L18-1077","erekhinskaya-etal-2014-multilingual","0.25"
"A00-1037","P01-1052","2"
"P01-1052","A00-1037","2"
"balakrishna-etal-2010-semi","blanco-etal-2008-causal","0.166667"
"blanco-etal-2008-causal","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","C10-2009","0.166667"
"C10-2009","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","D10-1031","0.166667"
"D10-1031","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","D13-1123","0.166667"
"D13-1123","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","E14-1016","0.166667"
"E14-1016","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","H05-1035","0.166667"
"H05-1035","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","H05-1047","0.166667"
"H05-1047","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","N12-1050","0.166667"
"N12-1050","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","P06-1113","0.166667"
"P06-1113","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","P11-1059","0.166667"
"P11-1059","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","W04-2609","0.166667"
"W04-2609","balakrishna-etal-2010-semi","0.166667"
"balakrishna-etal-2010-semi","W04-2610","0.166667"
"W04-2610","balakrishna-etal-2010-semi","0.166667"
"blanco-etal-2008-causal","C10-2009","1.16667"
"C10-2009","blanco-etal-2008-causal","1.16667"
"blanco-etal-2008-causal","D10-1031","1.125"
"D10-1031","blanco-etal-2008-causal","1.125"
"blanco-etal-2008-causal","D13-1123","0.166667"
"D13-1123","blanco-etal-2008-causal","0.166667"
"blanco-etal-2008-causal","E14-1016","0.291667"
"E14-1016","blanco-etal-2008-causal","0.291667"
"blanco-etal-2008-causal","H05-1035","0.291667"
"H05-1035","blanco-etal-2008-causal","0.291667"
"blanco-etal-2008-causal","H05-1047","0.333333"
"H05-1047","blanco-etal-2008-causal","0.333333"
"blanco-etal-2008-causal","N12-1050","0.166667"
"N12-1050","blanco-etal-2008-causal","0.166667"
"blanco-etal-2008-causal","P06-1113","0.166667"
"P06-1113","blanco-etal-2008-causal","0.166667"
"blanco-etal-2008-causal","P11-1059","0.166667"
"P11-1059","blanco-etal-2008-causal","0.166667"
"blanco-etal-2008-causal","W04-2609","1.95833"
"W04-2609","blanco-etal-2008-causal","1.95833"
"blanco-etal-2008-causal","W04-2610","0.791667"
"W04-2610","blanco-etal-2008-causal","0.791667"
"C10-2009","D10-1031","3.30952"
"D10-1031","C10-2009","3.30952"
"C10-2009","D13-1123","0.72619"
"D13-1123","C10-2009","0.72619"
"C10-2009","E14-1016","1.47619"
"E14-1016","C10-2009","1.47619"
"C10-2009","H05-1035","0.166667"
"H05-1035","C10-2009","0.166667"
"C10-2009","H05-1047","0.583333"
"H05-1047","C10-2009","0.583333"
"C10-2009","N12-1050","0.309524"
"N12-1050","C10-2009","0.309524"
"C10-2009","P06-1113","0.416667"
"P06-1113","C10-2009","0.416667"
"C10-2009","P11-1059","0.309524"
"P11-1059","C10-2009","0.309524"
"C10-2009","W04-2609","0.166667"
"W04-2609","C10-2009","0.166667"
"C10-2009","W04-2610","0.333333"
"W04-2610","C10-2009","0.333333"
"D10-1031","D13-1123","0.47619"
"D13-1123","D10-1031","0.47619"
"D10-1031","E14-1016","0.85119"
"E14-1016","D10-1031","0.85119"
"D10-1031","H05-1035","0.291667"
"H05-1035","D10-1031","0.291667"
"D10-1031","H05-1047","0.166667"
"H05-1047","D10-1031","0.166667"
"D10-1031","N12-1050","0.309524"
"N12-1050","D10-1031","0.309524"
"D10-1031","P06-1113","0.166667"
"P06-1113","D10-1031","0.166667"
"D10-1031","P11-1059","0.309524"
"P11-1059","D10-1031","0.309524"
"D10-1031","W04-2609","0.291667"
"W04-2609","D10-1031","0.291667"
"D10-1031","W04-2610","0.291667"
"W04-2610","D10-1031","0.291667"
"D13-1123","H05-1035","0.166667"
"H05-1035","D13-1123","0.166667"
"D13-1123","H05-1047","0.416667"
