"al-sabbagh-girju-2010-mining","al-sabbagh-girju-2012-yadac","1"
"al-sabbagh-girju-2012-yadac","al-sabbagh-girju-2010-mining","1"
"C14-1144","W14-0820","1.5"
"W14-0820","C14-1144","1.5"
"C14-1144","W14-4920","6"
"W14-4920","C14-1144","6"
"W14-0820","W14-4920","1.5"
"W14-4920","W14-0820","1.5"
"C14-1144","I13-1047","1.5"
"I13-1047","C14-1144","1.5"
"I13-1047","W14-4920","1.5"
"W14-4920","I13-1047","1.5"
"D09-1146","R09-1061","1"
"R09-1061","D09-1146","1"
"D10-1007","N16-1047","0.333333"
"N16-1047","D10-1007","0.333333"
"D10-1007","S18-1057","0.333333"
"S18-1057","D10-1007","0.333333"
"D10-1007","W09-1111","0.333333"
"W09-1111","D10-1007","0.333333"
"N16-1047","S18-1057","0.333333"
"S18-1057","N16-1047","0.333333"
"N16-1047","W09-1111","0.333333"
"W09-1111","N16-1047","0.333333"
"S18-1057","W09-1111","0.333333"
"W09-1111","S18-1057","0.333333"
"I13-1047","W14-0820","1"
"W14-0820","I13-1047","1"
"J06-1005","N03-1011","0.7"
"N03-1011","J06-1005","0.7"
"J06-1005","W07-1527","1.28333"
"W07-1527","J06-1005","1.28333"
"N03-1011","W07-1527","0.7"
"W07-1527","N03-1011","0.7"
"J06-1005","J09-2003","2.53333"
"J09-2003","J06-1005","2.53333"
"J06-1005","S07-1085","0.366667"
"S07-1085","J06-1005","0.366667"
"J06-1005","W03-1210","0.2"
"W03-1210","J06-1005","0.2"
"J09-2003","N03-1011","0.2"
"N03-1011","J09-2003","0.2"
"J09-2003","S07-1085","0.7"
"S07-1085","J09-2003","0.7"
"J09-2003","W03-1210","0.2"
"W03-1210","J09-2003","0.2"
"J09-2003","W07-1527","3.95"
"W07-1527","J09-2003","3.95"
"N03-1011","S07-1085","0.2"
"S07-1085","N03-1011","0.2"
"N03-1011","W03-1210","0.2"
"W03-1210","N03-1011","0.2"
"S07-1085","W03-1210","0.2"
"W03-1210","S07-1085","0.2"
"S07-1085","W07-1527","0.7"
"W07-1527","S07-1085","0.7"
"W03-1210","W07-1527","0.2"
"W07-1527","W03-1210","0.2"
"J06-1005","W04-2609","3.66667"
"W04-2609","J06-1005","3.66667"
"J06-1005","W04-2610","0.666667"
"W04-2610","J06-1005","0.666667"
"W04-2609","W04-2610","2.66667"
"W04-2610","W04-2609","2.66667"
"J09-2003","W04-2609","1.5"
"W04-2609","J09-2003","1.5"
"J06-1005","R09-1069","1.08333"
"R09-1069","J06-1005","1.08333"
"J06-1005","S07-1003","1.83333"
"S07-1003","J06-1005","1.83333"
"R09-1069","S07-1003","1.08333"
"S07-1003","R09-1069","1.08333"
"J06-1005","P07-1072","0.666667"
"P07-1072","J06-1005","0.666667"
"J09-2003","P07-1072","4.5"
"P07-1072","J09-2003","4.5"
"J09-2003","R09-1069","2.25"
"R09-1069","J09-2003","2.25"
"J09-2003","S07-1003","1.33333"
"S07-1003","J09-2003","1.33333"
"J09-2003","W04-2610","0.5"
"W04-2610","J09-2003","0.5"
"R09-1069","S07-1085","1.25"
"S07-1085","R09-1069","1.25"
"R09-1069","W04-2610","0.166667"
"W04-2610","R09-1069","0.166667"
"R09-1069","W07-1527","2.5"
"W07-1527","R09-1069","2.5"
"S07-1003","S07-1085","0.166667"
"S07-1085","S07-1003","0.166667"
"S07-1003","W04-2610","0.166667"
"W04-2610","S07-1003","0.166667"
"S07-1003","W07-1527","0.583333"
"W07-1527","S07-1003","0.583333"
"S07-1085","W04-2610","0.166667"
"W04-2610","S07-1085","0.166667"
"W04-2610","W07-1527","0.166667"
"W07-1527","W04-2610","0.166667"
"P07-1072","R09-1069","1"
"R09-1069","P07-1072","1"
"P07-1072","S07-1003","0.166667"
"S07-1003","P07-1072","0.166667"
"P07-1072","W04-2609","0.166667"
"W04-2609","P07-1072","0.166667"
"P07-1072","W07-1527","3.5"
"W07-1527","P07-1072","3.5"
"R09-1069","W04-2609","0.916667"
"W04-2609","R09-1069","0.916667"
"S07-1003","W04-2609","0.666667"
"W04-2609","S07-1003","0.666667"
"W04-2609","W07-1527","0.416667"
"W07-1527","W04-2609","0.416667"
"J09-2003","W09-1111","0.333333"
"W09-1111","J09-2003","0.333333"
"J09-2003","W13-4004","0.333333"
"W13-4004","J09-2003","0.333333"
"J09-2003","W14-0707","0.333333"
"W14-0707","J09-2003","0.333333"
"J09-2003","W14-4322","0.333333"
"W14-4322","J09-2003","0.333333"
"W04-2609","W09-1111","0.333333"
"W09-1111","W04-2609","0.333333"
"W04-2609","W13-4004","0.333333"
"W13-4004","W04-2609","0.333333"
"W04-2609","W14-0707","0.333333"
"W14-0707","W04-2609","0.333333"
"W04-2609","W14-4322","0.333333"
"W14-4322","W04-2609","0.333333"
"W04-2610","W09-1111","0.333333"
"W09-1111","W04-2610","0.333333"
"W04-2610","W13-4004","0.333333"
"W13-4004","W04-2610","0.333333"
"W04-2610","W14-0707","0.333333"
"W14-0707","W04-2610","0.333333"
"W04-2610","W14-4322","0.333333"
"W14-4322","W04-2610","0.333333"
"W09-1111","W13-4004","0.583333"
"W13-4004","W09-1111","0.583333"
"W09-1111","W14-0707","0.583333"
"W14-0707","W09-1111","0.583333"
"W09-1111","W14-4322","0.583333"
"W14-4322","W09-1111","0.583333"
"W13-4004","W14-0707","2.83333"
"W14-0707","W13-4004","2.83333"
"W13-4004","W14-4322","3.83333"
"W14-4322","W13-4004","3.83333"
"W14-0707","W14-4322","8.83333"
"W14-4322","W14-0707","8.83333"
"R09-1069","W13-4004","0.25"
"W13-4004","R09-1069","0.25"
"R09-1069","W14-0707","0.25"
"W14-0707","R09-1069","0.25"
"R09-1069","W14-4322","0.25"
"W14-4322","R09-1069","0.25"
"S07-1085","W13-4004","0.25"
"W13-4004","S07-1085","0.25"
"S07-1085","W14-0707","0.25"
"W14-0707","S07-1085","0.25"
"S07-1085","W14-4322","0.25"
"W14-4322","S07-1085","0.25"
"S07-1085","W04-2609","0.5"
"W04-2609","S07-1085","0.5"
"S07-1003","W09-1111","0.25"
"W09-1111","S07-1003","0.25"
"S07-1003","W13-4004","0.25"
"W13-4004","S07-1003","0.25"
"S07-1003","W14-0707","0.25"
"W14-0707","S07-1003","0.25"
"S07-1003","W14-4322","0.25"
"W14-4322","S07-1003","0.25"
"W03-1207","W04-2609","0.833333"
"W04-2609","W03-1207","0.833333"
"W03-1207","W04-2610","0.833333"
"W04-2610","W03-1207","0.833333"
"W03-1207","W03-1210","1.33333"
"W03-1210","W03-1207","1.33333"
"W03-1210","W04-2609","0.333333"
"W04-2609","W03-1210","0.333333"
"W03-1210","W04-2610","0.333333"
"W04-2610","W03-1210","0.333333"
