"2004.jeptalnrecital-poster.21","da-silva-etal-2004-cluster","2"
"da-silva-etal-2004-cluster","2004.jeptalnrecital-poster.21","2"
"2021.eacl-main.246","2021.sigdial-1.7","1.25"
"2021.sigdial-1.7","2021.eacl-main.246","1.25"
"2021.eacl-main.246","D19-1402","1.85"
"D19-1402","2021.eacl-main.246","1.85"
"2021.eacl-main.246","P19-1368","1.6"
"P19-1368","2021.eacl-main.246","1.6"
"2021.sigdial-1.7","D19-1402","0.75"
"D19-1402","2021.sigdial-1.7","0.75"
"2021.sigdial-1.7","P19-1368","0.5"
"P19-1368","2021.sigdial-1.7","0.5"
"D19-1402","P19-1368","1.6"
"P19-1368","D19-1402","1.6"
"2021.eacl-main.246","D18-1092","0.85"
"D18-1092","2021.eacl-main.246","0.85"
"2021.eacl-main.246","D18-1105","0.85"
"D18-1105","2021.eacl-main.246","0.85"
"2021.eacl-main.246","D19-1506","1.06667"
"D19-1506","2021.eacl-main.246","1.06667"
"D18-1092","D18-1105","4.85"
"D18-1105","D18-1092","4.85"
"D18-1092","D19-1402","0.85"
"D19-1402","D18-1092","0.85"
"D18-1092","D19-1506","1.4"
"D19-1506","D18-1092","1.4"
"D18-1092","P19-1368","1.85"
"P19-1368","D18-1092","1.85"
"D18-1105","D19-1402","0.85"
"D19-1402","D18-1105","0.85"
"D18-1105","D19-1506","1.4"
"D19-1506","D18-1105","1.4"
"D18-1105","P19-1368","1.85"
"P19-1368","D18-1105","1.85"
"D19-1402","D19-1506","2.56667"
"D19-1506","D19-1402","2.56667"
"D19-1506","P19-1368","0.816667"
"P19-1368","D19-1506","0.816667"
"2021.eacl-main.246","2021.eacl-main.250","1.36667"
"2021.eacl-main.250","2021.eacl-main.246","1.36667"
"2021.eacl-main.250","2021.sigdial-1.7","1.41667"
"2021.sigdial-1.7","2021.eacl-main.250","1.41667"
"2021.eacl-main.246","N19-1339","0.166667"
"N19-1339","2021.eacl-main.246","0.166667"
"2021.eacl-main.250","D19-1402","0.866667"
"D19-1402","2021.eacl-main.250","0.866667"
"2021.eacl-main.250","D19-1506","0.666667"
"D19-1506","2021.eacl-main.250","0.666667"
"2021.eacl-main.250","N19-1339","1.66667"
"N19-1339","2021.eacl-main.250","1.66667"
"2021.eacl-main.250","P19-1368","0.616667"
"P19-1368","2021.eacl-main.250","0.616667"
"2021.sigdial-1.7","D19-1506","0.416667"
"D19-1506","2021.sigdial-1.7","0.416667"
"2021.sigdial-1.7","N19-1339","0.666667"
"N19-1339","2021.sigdial-1.7","0.666667"
"D19-1402","N19-1339","0.166667"
"N19-1339","D19-1402","0.166667"
"D19-1506","N19-1339","0.166667"
"N19-1339","D19-1506","0.166667"
"N19-1339","P19-1368","0.166667"
"P19-1368","N19-1339","0.166667"
"2021.eacl-main.250","D18-1092","0.2"
"D18-1092","2021.eacl-main.250","0.2"
"2021.eacl-main.250","D18-1105","0.2"
"D18-1105","2021.eacl-main.250","0.2"
"C12-2059","W12-4107","1.67821"
"W12-4107","C12-2059","1.67821"
"C12-2059","D09-1099","0.344877"
"D09-1099","C12-2059","0.344877"
"C12-2059","D10-1108","2.74488"
"D10-1108","C12-2059","2.74488"
"C12-2059","D11-1011","2.57821"
"D11-1011","C12-2059","2.57821"
"C12-2059","P08-1119","0.433766"
"P08-1119","C12-2059","0.433766"
"C12-2059","P10-1150","1.37821"
"P10-1150","C12-2059","1.37821"
"C12-2059","P11-1162","2.24488"
"P11-1162","C12-2059","2.24488"
"D09-1099","D10-1108","0.344877"
"D10-1108","D09-1099","0.344877"
"D09-1099","D11-1011","0.594877"
"D11-1011","D09-1099","0.594877"
"D09-1099","P08-1119","6.15043"
"P08-1119","D09-1099","6.15043"
"D09-1099","P10-1150","2.76154"
