"2005.jeptalnrecital-long.12","W05-0209","1"
"W05-0209","2005.jeptalnrecital-long.12","1"
"2007.jeptalnrecital-long.33","W07-2412","2"
"W07-2412","2007.jeptalnrecital-long.33","2"
"2020.lrec-1.554","L18-1540","2.33333"
"L18-1540","2020.lrec-1.554","2.33333"
"2020.lrec-1.554","S15-1029","0.333333"
"S15-1029","2020.lrec-1.554","0.333333"
"2020.lrec-1.554","W17-0211","2.33333"
"W17-0211","2020.lrec-1.554","2.33333"
"L18-1540","S15-1029","0.333333"
"S15-1029","L18-1540","0.333333"
"L18-1540","W17-0211","1.33333"
"W17-0211","L18-1540","1.33333"
"S15-1029","W17-0211","0.333333"
"W17-0211","S15-1029","0.333333"
"berglund-etal-2006-extraction","E06-1049","4"
"E06-1049","berglund-etal-2006-extraction","4"
"C08-1050","C16-1096","0.452381"
"C16-1096","C08-1050","0.452381"
"C08-1050","E06-2013","0.646825"
"E06-2013","C08-1050","0.646825"
"C08-1050","johansson-nugues-2006-construction","0.646825"
"johansson-nugues-2006-construction","C08-1050","0.646825"
"C08-1050","johansson-nugues-2008-comparing","3.26349"
"johansson-nugues-2008-comparing","C08-1050","3.26349"
"C08-1050","P06-2057","0.980159"
"P06-2057","C08-1050","0.980159"
"C08-1050","W04-0908","0.396825"
"W04-0908","C08-1050","0.396825"
"C08-1050","W07-2416","0.819048"
"W07-2416","C08-1050","0.819048"
"C16-1096","E06-2013","0.285714"
"E06-2013","C16-1096","0.285714"
"C16-1096","johansson-nugues-2006-construction","0.952381"
"johansson-nugues-2006-construction","C16-1096","0.952381"
"C16-1096","johansson-nugues-2008-comparing","0.285714"
"johansson-nugues-2008-comparing","C16-1096","0.285714"
"C16-1096","P06-2057","0.952381"
"P06-2057","C16-1096","0.952381"
"C16-1096","W04-0908","0.285714"
"W04-0908","C16-1096","0.285714"
"C16-1096","W07-2416","0.428571"
"W07-2416","C16-1096","0.428571"
"E06-2013","johansson-nugues-2006-construction","0.980159"
"johansson-nugues-2006-construction","E06-2013","0.980159"
"E06-2013","johansson-nugues-2008-comparing","0.396825"
"johansson-nugues-2008-comparing","E06-2013","0.396825"
"E06-2013","P06-2057","0.980159"
"P06-2057","E06-2013","0.980159"
"E06-2013","W04-0908","0.396825"
"W04-0908","E06-2013","0.396825"
"E06-2013","W07-2416","0.619048"
"W07-2416","E06-2013","0.619048"
"johansson-nugues-2006-construction","johansson-nugues-2008-comparing","0.396825"
"johansson-nugues-2008-comparing","johansson-nugues-2006-construction","0.396825"
"johansson-nugues-2006-construction","P06-2057","5.64683"
"P06-2057","johansson-nugues-2006-construction","5.64683"
"johansson-nugues-2006-construction","W04-0908","0.396825"
"W04-0908","johansson-nugues-2006-construction","0.396825"
"johansson-nugues-2006-construction","W07-2416","0.619048"
"W07-2416","johansson-nugues-2006-construction","0.619048"
"johansson-nugues-2008-comparing","P06-2057","0.396825"
"P06-2057","johansson-nugues-2008-comparing","0.396825"
"johansson-nugues-2008-comparing","W04-0908","0.396825"
"W04-0908","johansson-nugues-2008-comparing","0.396825"
"johansson-nugues-2008-comparing","W07-2416","0.535714"
"W07-2416","johansson-nugues-2008-comparing","0.535714"
"P06-2057","W04-0908","0.396825"
"W04-0908","P06-2057","0.396825"
"P06-2057","W07-2416","0.619048"
"W07-2416","P06-2057","0.619048"
"W04-0908","W07-2416","0.285714"
"W07-2416","W04-0908","0.285714"
"C08-1050","D08-1008","5.97778"
"D08-1008","C08-1050","5.97778"
"C08-1050","C10-1093","0.5"
"C10-1093","C08-1050","0.5"
"C08-1050","D07-1123","0.566667"
"D07-1123","C08-1050","0.566667"
"C08-1050","L16-1654","0.166667"
"L16-1654","C08-1050","0.166667"
"C08-1050","S07-1048","2.31667"
"S07-1048","C08-1050","2.31667"
"C08-1050","W09-3806","0.166667"
"W09-3806","C08-1050","0.166667"
"C08-1050","W19-6148","0.166667"
"W19-6148","C08-1050","0.166667"
"C10-1093","D07-1123","0.916667"
"D07-1123","C10-1093","0.916667"
"C10-1093","L16-1654","0.309524"
"L16-1654","C10-1093","0.309524"
"C10-1093","S07-1048","0.642857"
"S07-1048","C10-1093","0.642857"
"C10-1093","W09-3806","1.16667"
"W09-3806","C10-1093","1.16667"
"C10-1093","W19-6148","0.166667"
"W19-6148","C10-1093","0.166667"
"D07-1123","L16-1654","0.166667"
"L16-1654","D07-1123","0.166667"
"D07-1123","S07-1048","0.566667"
"S07-1048","D07-1123","0.566667"
"D07-1123","W09-3806","1.66667"
"W09-3806","D07-1123","1.66667"
"D07-1123","W19-6148","0.166667"
"W19-6148","D07-1123","0.166667"
"L16-1654","S07-1048","0.309524"
"S07-1048","L16-1654","0.309524"
"L16-1654","W09-3806","0.166667"
"W09-3806","L16-1654","0.166667"
"L16-1654","W19-6148","0.166667"
"W19-6148","L16-1654","0.166667"
"S07-1048","W09-3806","0.166667"
"W09-3806","S07-1048","0.166667"
"S07-1048","W19-6148","0.166667"
"W19-6148","S07-1048","0.166667"
"W09-3806","W19-6148","0.166667"
"W19-6148","W09-3806","0.166667"
"C08-1050","C10-3009","1.16667"
"C10-3009","C08-1050","1.16667"
"C08-1050","S15-1029","0.166667"
"S15-1029","C08-1050","0.166667"
"C08-1050","W09-1206","0.527778"
"W09-1206","C08-1050","0.527778"
"C08-1050","W09-4621","1.27778"
"W09-4621","C08-1050","1.27778"
"C10-3009","C16-1096","0.416667"
"C16-1096","C10-3009","0.416667"
"C10-3009","D08-1008","0.833333"
"D08-1008","C10-3009","0.833333"
"C10-3009","S15-1029","0.416667"
"S15-1029","C10-3009","0.416667"
"C10-3009","W09-1206","0.833333"
"W09-1206","C10-3009","0.833333"
"C10-3009","W09-4621","0.333333"
"W09-4621","C10-3009","0.333333"
"C16-1096","D08-1008","0.166667"
"D08-1008","C16-1096","0.166667"
"C16-1096","S15-1029","3.84286"
"S15-1029","C16-1096","3.84286"
"C16-1096","W09-1206","0.166667"
"W09-1206","C16-1096","0.166667"
"C16-1096","W09-4621","0.416667"
"W09-4621","C16-1096","0.416667"
"D08-1008","S15-1029","0.166667"
"S15-1029","D08-1008","0.166667"
"D08-1008","W09-1206","0.694444"
"W09-1206","D08-1008","0.694444"
"D08-1008","W09-4621","0.444444"
"W09-4621","D08-1008","0.444444"
"S15-1029","W09-1206","0.166667"
"W09-1206","S15-1029","0.166667"
"S15-1029","W09-4621","0.416667"
"W09-4621","S15-1029","0.416667"
"W09-1206","W09-4621","0.444444"
"W09-4621","W09-1206","0.444444"
"D08-1008","E06-2013","0.361111"
"E06-2013","D08-1008","0.361111"
"D08-1008","johansson-nugues-2006-construction","0.361111"
"johansson-nugues-2006-construction","D08-1008","0.361111"
"D08-1008","P06-2057","0.694444"
"P06-2057","D08-1008","0.694444"
"C08-1050","W17-0227","0.2"
"W17-0227","C08-1050","0.2"
"D07-1123","D08-1008","0.95"
"D08-1008","D07-1123","0.95"
"D07-1123","W07-2416","0.2"
"W07-2416","D07-1123","0.2"
"D07-1123","W17-0227","0.2"
"W17-0227","D07-1123","0.2"
"D08-1008","S07-1048","1.11667"
"S07-1048","D08-1008","1.11667"
"D08-1008","W07-2416","0.45"
"W07-2416","D08-1008","0.45"
"D08-1008","W17-0227","0.2"
"W17-0227","D08-1008","0.2"
"S07-1048","W07-2416","0.67619"
"W07-2416","S07-1048","0.67619"
"S07-1048","W17-0227","0.2"
"W17-0227","S07-1048","0.2"
"W07-2416","W17-0227","0.2"
"W17-0227","W07-2416","0.2"
"C08-1050","W05-0624","0.444444"
"W05-0624","C08-1050","0.444444"
"D08-1008","johansson-nugues-2008-comparing","1.02778"
"johansson-nugues-2008-comparing","D08-1008","1.02778"
"D08-1008","W05-0624","0.444444"
"W05-0624","D08-1008","0.444444"
"johansson-nugues-2008-comparing","W05-0624","0.444444"
"W05-0624","johansson-nugues-2008-comparing","0.444444"
"P06-2057","S07-1048","0.333333"
"S07-1048","P06-2057","0.333333"
"D08-1008","W04-0908","0.111111"
"W04-0908","D08-1008","0.111111"
"E06-2013","W05-0624","0.611111"
"W05-0624","E06-2013","0.611111"
"E06-2013","W09-1206","0.111111"
"W09-1206","E06-2013","0.111111"
"E06-2013","W09-4621","0.111111"
"W09-4621","E06-2013","0.111111"
"johansson-nugues-2006-construction","W05-0624","0.111111"
"W05-0624","johansson-nugues-2006-construction","0.111111"
"johansson-nugues-2006-construction","W09-1206","0.111111"
