"2020.cllrd-1.8","2020.lr4sshoc-1.8","1"
"2020.lr4sshoc-1.8","2020.cllrd-1.8","1"
"2020.lrec-1.421","cieri-etal-2012-twenty","1"
"cieri-etal-2012-twenty","2020.lrec-1.421","1"
"2020.lrec-1.421","labropoulou-etal-2014-developing","2"
"labropoulou-etal-2014-developing","2020.lrec-1.421","2"
"brandschain-etal-2008-speaker","cieri-etal-2008-bridging","0.5"
"cieri-etal-2008-bridging","brandschain-etal-2008-speaker","0.5"
"brandschain-etal-2008-speaker","maeda-etal-2006-low","0.5"
"maeda-etal-2006-low","brandschain-etal-2008-speaker","0.5"
"cieri-etal-2008-bridging","maeda-etal-2006-low","0.5"
"maeda-etal-2006-low","cieri-etal-2008-bridging","0.5"
"cieri-etal-2000-large","cieri-liberman-2000-issues","0.866667"
"cieri-liberman-2000-issues","cieri-etal-2000-large","0.866667"
"cieri-etal-2000-large","cieri-liberman-2002-language","0.866667"
"cieri-liberman-2002-language","cieri-etal-2000-large","0.866667"
"cieri-etal-2000-large","cieri-liberman-2002-tides","0.2"
"cieri-liberman-2002-tides","cieri-etal-2000-large","0.2"
"cieri-etal-2000-large","cieri-liberman-2004-progress","0.533333"
"cieri-liberman-2004-progress","cieri-etal-2000-large","0.533333"
"cieri-etal-2000-large","strassel-etal-2000-quality","0.2"
"strassel-etal-2000-quality","cieri-etal-2000-large","0.2"
"cieri-liberman-2000-issues","cieri-liberman-2002-language","1.2"
"cieri-liberman-2002-language","cieri-liberman-2000-issues","1.2"
"cieri-liberman-2000-issues","cieri-liberman-2002-tides","0.533333"
"cieri-liberman-2002-tides","cieri-liberman-2000-issues","0.533333"
"cieri-liberman-2000-issues","cieri-liberman-2004-progress","0.533333"
"cieri-liberman-2004-progress","cieri-liberman-2000-issues","0.533333"
"cieri-liberman-2000-issues","strassel-etal-2000-quality","0.533333"
"strassel-etal-2000-quality","cieri-liberman-2000-issues","0.533333"
"cieri-liberman-2002-language","cieri-liberman-2002-tides","3.03333"
"cieri-liberman-2002-tides","cieri-liberman-2002-language","3.03333"
"cieri-liberman-2002-language","cieri-liberman-2004-progress","1.03333"
"cieri-liberman-2004-progress","cieri-liberman-2002-language","1.03333"
"cieri-liberman-2002-language","strassel-etal-2000-quality","0.533333"
"strassel-etal-2000-quality","cieri-liberman-2002-language","0.533333"
"cieri-liberman-2002-tides","cieri-liberman-2004-progress","0.7"
"cieri-liberman-2004-progress","cieri-liberman-2002-tides","0.7"
"cieri-liberman-2002-tides","strassel-etal-2000-quality","0.533333"
"strassel-etal-2000-quality","cieri-liberman-2002-tides","0.533333"
"cieri-liberman-2004-progress","strassel-etal-2000-quality","0.2"
"strassel-etal-2000-quality","cieri-liberman-2004-progress","0.2"
"cieri-etal-2000-large","W01-1514","0.333333"
"W01-1514","cieri-etal-2000-large","0.333333"
"cieri-liberman-2000-issues","W01-1514","0.333333"
"W01-1514","cieri-liberman-2000-issues","0.333333"
"cieri-liberman-2002-language","W01-1514","0.333333"
"W01-1514","cieri-liberman-2002-language","0.333333"
"cieri-etal-2006-mixer","cieri-etal-2008-bridging","1"
"cieri-etal-2008-bridging","cieri-etal-2006-mixer","1"
"cieri-etal-2008-bridging","cieri-liberman-2006-data","1"
"cieri-liberman-2006-data","cieri-etal-2008-bridging","1"
"cieri-etal-2014-new","L16-1073","0.5"
"L16-1073","cieri-etal-2014-new","0.5"
"cieri-etal-2014-new","W14-5211","0.5"
"W14-5211","cieri-etal-2014-new","0.5"
"L16-1073","W14-5211","0.5"
"W14-5211","L16-1073","0.5"
"ide-etal-2014-language","W14-5211","1"
"W14-5211","ide-etal-2014-language","1"
"ide-etal-2014-language","L16-1073","1"
"L16-1073","ide-etal-2014-language","1"
"ma-cieri-2006-corpus","strassel-etal-2006-integrated","1"
"strassel-etal-2006-integrated","ma-cieri-2006-corpus","1"
"maeda-etal-2006-low","strassel-etal-2006-integrated","1"
"strassel-etal-2006-integrated","maeda-etal-2006-low","1"
