"C16-2003","W19-8634","0.333333"
"W19-8634","C16-2003","0.333333"
"C18-1019","C18-1292","0.833333"
"C18-1292","C18-1019","0.833333"
"C18-1292","W19-8634","0.833333"
"W19-8634","C18-1292","0.833333"
"C16-2003","C16-2020","0.142857"
"C16-2020","C16-2003","0.142857"
"C16-2003","I17-2055","0.142857"
"I17-2055","C16-2003","0.142857"
"C16-2003","I17-3012","0.142857"
"I17-3012","C16-2003","0.142857"
"C16-2003","P15-2099","0.142857"
"P15-2099","C16-2003","0.142857"
"C16-2003","P16-1093","0.142857"
"P16-1093","C16-2003","0.142857"
"C16-2003","P16-4020","1.14286"
"P16-4020","C16-2003","1.14286"
"C16-2003","W17-6307","0.142857"
"W17-6307","C16-2003","0.142857"
"C16-2020","I17-2055","0.142857"
"I17-2055","C16-2020","0.142857"
"C16-2020","I17-3012","0.142857"
"I17-3012","C16-2020","0.142857"
"C16-2020","P15-2099","0.142857"
"P15-2099","C16-2020","0.142857"
"C16-2020","P16-1093","0.142857"
"P16-1093","C16-2020","0.142857"
"C16-2020","P16-4020","0.142857"
"P16-4020","C16-2020","0.142857"
"C16-2020","W17-6307","1.64286"
"W17-6307","C16-2020","1.64286"
"I17-2055","I17-3012","0.142857"
"I17-3012","I17-2055","0.142857"
"I17-2055","P15-2099","0.142857"
"P15-2099","I17-2055","0.142857"
"I17-2055","P16-1093","0.142857"
"P16-1093","I17-2055","0.142857"
"I17-2055","P16-4020","0.142857"
"P16-4020","I17-2055","0.142857"
"I17-2055","W17-6307","0.142857"
"W17-6307","I17-2055","0.142857"
"I17-3012","P15-2099","0.142857"
"P15-2099","I17-3012","0.142857"
"I17-3012","P16-1093","0.142857"
"P16-1093","I17-3012","0.142857"
"I17-3012","P16-4020","0.642857"
"P16-4020","I17-3012","0.642857"
"I17-3012","W17-6307","0.142857"
"W17-6307","I17-3012","0.142857"
"P15-2099","P16-1093","0.785714"
"P16-1093","P15-2099","0.785714"
"P15-2099","P16-4020","0.785714"
"P16-4020","P15-2099","0.785714"
"P15-2099","W17-6307","0.142857"
"W17-6307","P15-2099","0.142857"
"P16-1093","P16-4020","3.03571"
"P16-4020","P16-1093","3.03571"
"P16-1093","W17-6307","0.142857"
"W17-6307","P16-1093","0.142857"
"P16-4020","W17-6307","0.142857"
"W17-6307","P16-4020","0.142857"
"C16-2020","C18-1019","1.33333"
"C18-1019","C16-2020","1.33333"
"C16-2020","I17-2073","0.833333"
"I17-2073","C16-2020","0.833333"
"C16-2020","W19-8634","1.83333"
"W19-8634","C16-2020","1.83333"
"C16-2020","W18-6706","0.5"
"W18-6706","C16-2020","0.5"
"W17-6307","W18-6706","1.5"
"W18-6706","W17-6307","1.5"
"C18-1292","L18-1647","0.5"
"L18-1647","C18-1292","0.5"
"C18-1292","W17-0408","0.5"
"W17-0408","C18-1292","0.5"
"L18-1647","W17-0408","2.64286"
"W17-0408","L18-1647","2.64286"
"I11-1174","W12-1011","2"
"W12-1011","I11-1174","2"
"I11-1174","W18-1809","1"
"W18-1809","I11-1174","1"
"I17-2055","L16-1168","0.5"
"L16-1168","I17-2055","0.5"
"I17-2055","Y12-1022","1.5"
"Y12-1022","I17-2055","1.5"
"L16-1168","Y12-1022","0.5"
"Y12-1022","L16-1168","0.5"
"P16-4020","W17-5903","2"
"W17-5903","P16-4020","2"
"L18-1647","P15-2099","0.142857"
"P15-2099","L18-1647","0.142857"
"L18-1647","P16-1093","0.142857"
"P16-1093","L18-1647","0.142857"
"L18-1647","P16-4020","0.142857"
"P16-4020","L18-1647","0.142857"
"L18-1647","W17-6306","2.64286"
"W17-6306","L18-1647","2.64286"
"L18-1647","W18-6706","0.47619"
"W18-6706","L18-1647","0.47619"
"L18-1647","Y14-1063","0.142857"
"Y14-1063","L18-1647","0.142857"
"P15-2099","W17-0408","0.142857"
"W17-0408","P15-2099","0.142857"
"P15-2099","W17-6306","0.142857"
"W17-6306","P15-2099","0.142857"
"P15-2099","W18-6706","0.142857"
"W18-6706","P15-2099","0.142857"
"P15-2099","Y14-1063","2.14286"
"Y14-1063","P15-2099","2.14286"
"P16-1093","W17-0408","0.142857"
"W17-0408","P16-1093","0.142857"
"P16-1093","W17-6306","0.142857"
"W17-6306","P16-1093","0.142857"
"P16-1093","W18-6706","0.142857"
