graph_labels,name,PaperCount_field,CitationCount_field,hIndex_field
0,202,72.0,11.76388888888889,15.0
0,143,86.0,15.488372093023257,17.0
1,85,105.0,437.35238095238094,55.0
1,26,161.0,116.53416149068323,57.0
0,108,96.0,68.28125,28.0
1,186,76.0,80.23684210526316,41.0
0,147,85.0,57.96470588235294,36.0
0,188,75.0,10.066666666666666,12.0
0,206,72.0,12.73611111111111,15.0
0,177,77.0,8.311688311688311,14.0
0,185,76.0,23.92105263157895,23.0
0,73,112.0,11.580357142857142,19.0
1,80,107.0,131.13084112149534,52.0
1,70,115.0,67.83478260869565,40.0
1,50,130.0,21.753846153846155,31.0
0,233,67.0,21.104477611940297,22.0
0,203,72.0,29.36111111111111,16.0
0,86,104.0,11.903846153846153,17.0
0,150,83.0,10.662650602409638,17.0
1,35,149.0,34.40268456375839,38.0
0,213,70.0,48.857142857142854,25.0
0,135,88.0,40.14772727272727,31.0
0,164,80.0,37.1,22.0
1,31,154.0,128.2077922077922,69.0
1,17,181.0,21.248618784530386,29.0
0,191,75.0,17.946666666666665,19.0
1,165,80.0,115.1375,39.0
0,210,71.0,17.816901408450704,17.0
0,116,93.0,7.129032258064516,14.0
0,146,85.0,81.11764705882354,35.0
0,230,67.0,37.3134328358209,25.0
1,55,123.0,44.333333333333336,36.0
1,90,102.0,86.40196078431373,31.0
0,45,135.0,6.7555555555555555,17.0
1,67,116.0,51.98275862068966,38.0
0,18,176.0,26.630681818181817,36.0
0,200,73.0,31.232876712328768,25.0
0,167,80.0,9.675,16.0
1,52,126.0,34.05555555555556,37.0
0,198,73.0,76.27397260273973,36.0
0,196,73.0,39.726027397260275,28.0
1,12,204.0,44.53921568627451,53.0
0,117,93.0,35.473118279569896,28.0
1,131,89.0,67.52808988764045,35.0
0,121,92.0,24.42391304347826,25.0
1,14,193.0,51.373056994818654,49.0
0,105,97.0,34.95876288659794,32.0
1,218,69.0,168.52173913043478,36.0
1,34,150.0,46.29333333333334,39.0
0,234,67.0,18.567164179104477,21.0
0,119,92.0,69.5,33.0
0,39,144.0,10.152777777777779,18.0
0,209,71.0,33.33802816901409,26.0
0,157,82.0,8.890243902439025,14.0
0,224,68.0,8.970588235294118,13.0
0,235,67.0,16.71641791044776,19.0
0,82,107.0,61.55140186915888,45.0
0,216,70.0,25.37142857142857,25.0
1,96,101.0,105.99009900990099,44.0
0,205,72.0,5.777777777777778,10.0
0,74,111.0,8.99099099099099,18.0
1,155,83.0,48.13253012048193,28.0
0,204,72.0,8.694444444444445,14.0
1,22,170.0,116.08823529411765,62.0
1,2,256.0,86.83203125,72.0
0,97,101.0,49.17821782178218,36.0
0,168,80.0,23.425,21.0
0,199,73.0,21.876712328767123,21.0
0,60,120.0,36.21666666666667,30.0
0,156,82.0,15.085365853658537,22.0
0,195,74.0,36.63513513513514,31.0
1,174,78.0,56.205128205128204,30.0
0,122,92.0,21.72826086956522,22.0
0,236,67.0,7.1940298507462686,13.0
0,151,83.0,33.86746987951807,25.0
0,193,74.0,5.391891891891892,11.0
1,44,138.0,124.40579710144928,49.0
0,159,81.0,33.135802469135804,28.0
0,171,79.0,20.79746835443038,22.0
0,106,97.0,21.742268041237114,20.0
0,220,69.0,15.666666666666666,16.0
0,47,135.0,18.362962962962964,29.0
1,101,98.0,35.173469387755105,29.0
0,225,68.0,6.0588235294117645,11.0
0,231,67.0,19.567164179104477,17.0
0,69,116.0,63.275862068965516,46.0
1,61,120.0,58.833333333333336,40.0
0,98,100.0,23.53,27.0
0,223,68.0,27.014705882352942,24.0
1,6,227.0,74.97356828193833,63.0
0,214,70.0,34.3,26.0
0,78,109.0,36.51376146788991,29.0
0,181,76.0,43.421052631578945,26.0
0,30,155.0,15.316129032258065,23.0
0,208,71.0,21.295774647887324,20.0
1,49,131.0,63.229007633587784,39.0
0,84,106.0,56.56603773584906,40.0
0,63,119.0,41.89915966386555,34.0
0,145,85.0,0.6823529411764706,3.0
1,133,89.0,57.79775280898876,37.0
0,217,70.0,20.914285714285715,21.0
0,37,147.0,20.081632653061224,24.0
0,46,135.0,42.34814814814815,39.0
1,88,103.0,54.349514563106794,35.0
0,169,80.0,96.0625,43.0
1,20,172.0,55.50581395348837,41.0
