AuthorRank
1
8
11
14
23
33
34
39
46
47
50
52
54
58
59
60
61
63
67
70
72
75
83
85
86
89
92
100
104
107
112
113
123
133
134
136
144
149
152
160
165
166
168
172
183
188
196
198
199
206
