authorID,MAGrank,name,PaperCount,CitationCount,PaperCount_field,authorRank,CitationCount_field,hIndex_field,FellowType
"717547165","12623","Elisa Bertino","1210","27119","458","1","11602","54","1:2003,"
"2114127059","13640","Willy Susilo","726","10415","410","2","7026","45",\N
"2120420677","13346","Ahmad Reza Sadeghi","532","13369","350","3","10417","50",\N
"2050318273","13943","Yi Mu","597","6460","341","4","4273","34",\N
"2056441798","12554","Sushil Jajodia","730","27453","332","5","14859","60","1:2021,"
"2062283694","13540","Robert H. Deng","555","10084","305","6","6827","44",\N
"2127395087","14332","Dongho Won","414","3210","301","7","2658","25",\N
"2156397333","12922","Bart Preneel","926","16274","290","8","5413","36",\N
"2146826182","15120","Helen Meyer","347","94","289","9","79","4",\N
"2138196911","14109","Kouichi Sakurai","623","3783","285","10","1512","19",\N
"2101549130","12873","Chin Chen Chang","1173","17226","282","11","3781","29",\N
"465425324","12626","Gene Tsudik","449","21702","279","12","15463","64","1:2014,"
"563070656","14096","Vijay Varadharajan","484","4768","271","13","3000","28",\N
"1119762491","14107","Steven Furnell","402","5249","262","14","4233","34",\N
"2097786798","12605","Moti Yung","500","21992","252","15","8596","47","1:2013,12:2014,"
"2428201908","13750","Peng Liu","719","8063","250","16","3651","32",\N
"2318895841","13966","Kim Kwang Raymond Choo","432","8768","250","17","5473","43",\N
"2128402323","13730","Javier Lopez","757","7979","247","18","4569","27",\N
"299775663","13153","Angelos D. Keromytis","393","14720","244","19","10212","52","1:2017,"
"1960067482","15479","Bill Hancock","247","113","237","20","112","4",\N
"1996714504","12560","Ravi Sandhu","358","22740","230","21","19436","56","1:2001,12:2012,"
"2045355816","13305","Michael Backes","1090","12580","226","22","4777","39",\N
"2240894600","14105","Jianying Zhou","333","6935","224","23","6253","38",\N
"2143898475","14149","Zhenfu Cao","413","5818","221","24","4193","37",\N
"2142756370","13754","Colin Boyd","375","8984","219","25","3263","30",\N
"2132562382","13847","Chris J. Mitchell","378","5976","212","26","2804","26",\N
"2213385919","12095","Adrian Perrig","353","41711","212","27","25354","62","1:2016,12:2013,"
"2172290114","14211","Mauro Conti","425","6244","212","28","4320","34",\N
"1999988725","14029","Jianfeng Ma","568","5670","209","29","2789","27",\N
"2087987499","12904","Pierangela Samarati","364","17198","207","30","14177","49","1:2021,"
"2001749418","13136","Jan Camenisch","402","15302","205","31","10221","44","1:2018,12:2010,"
"2001160045","13091","Christopher Kruegel","263","18961","204","32","16346","72",\N
"2383048336","13658","Nadarajah Asokan","355","7991","203","33","6089","44",\N
"284313219","13933","Yuval Elovici","481","8191","193","34","3194","28",\N
"2101807108","13708","Hideki Imai","557","5571","192","35","1903","22",\N
"2260712038","12622","Michael K. Reiter","388","20538","192","36","14257","60","1:2008,"
"563868737","14146","Fr̩d̩ric Cuppens","304","5127","192","37","4086","28",\N
"46726047","12690","Ari Juels","298","22556","191","38","18187","61",\N
"249930128","14461","Stefanos Gritzalis","320","3751","191","39","2780","29",\N
"2162354639","14528","Kee Young Yoo","371","2893","190","40","1850","23",\N
"2192390985","13115","Giovanni Vigna","265","16911","189","41","11756","56","1:2019,"
"2281944180","13989","Gail Joon Ahn","295","7446","189","42","5294","37",\N
"2540637924","13394","Yang Xiang","1007","15266","187","43","3064","27","1:2019,"
