authorID,MAGrank,name,PaperCount,CitationCount,PaperCount_field,authorRank,CitationCount_field,hIndex_field,FellowType
"717547165","12623","Elisa Bertino","1210","27119","274","1","7780","45","1:2003,"
"1998938290","11923","Michael Stonebraker","431","27762","256","2","22229","72","1:1994,4:1992,"
"2196778472","12868","Divesh Srivastava","450","18855","237","3","13002","59","1:2011,"
"2119605707","14080","Wolfgang Lehner","535","4746","237","4","3018","26",\N
"2839455278","13021","Kim Jae Hyung","2600","1308","231","5","156","5",\N
"2163909284","12705","Surajit Chaudhuri","401","22613","227","6","17019","63","1:2005,4:2011,"
"2169544959","13249","Divyakant Agrawal","452","14837","221","7","8229","50","1:2011,"
"2289414603","13694","Elke A. Rundensteiner","537","8782","217","8","3946","34",\N
"237419955","11737","Hector Garcia Molina","593","50622","214","9","24828","71","1:1997,4:1999,"
"2864125654","13376","Hong Jong Cheol","1628","1467","214","10","250","6",\N
"514836396","12758","Gerhard Weikum","837","23030","207","11","8928","51","1:2005,4:2016,"
"2037466936","13477","Beng Chin Ooi","372","13590","204","12","9086","53","1:2011,4:2020,"
"2125104194","11621","Philip S. Yu","1810","76187","204","13","16789","60","1:1997,"
"2159644763","13096","Christian S. Jensen","590","17690","193","14","9915","49","1:2011,"
"1986159374","12769","Dan Suciu","407","19722","191","15","11054","54","1:2011,4:2022,"
"2157114695","12953","Michael J. Carey","293","14335","186","16","11149","58","1:2000,4:2005,"
"2223920688","13419","Patrick Valduriez","476","10060","181","17","3846","29","1:2012,"
"2244150349","13871","Alfons Kemper","358","6893","176","18","4687","36",\N
"2121939561","11410","Jiawei Han","1152","106233","173","19","20737","64","1:2003,"
"2242617642","13317","Donald Kossmann","279","11711","172","20","9547","41","1:2010,"
"360112113","12795","Hosagrahar V. Jagadish","352","19198","172","21","13936","55",\N
"2523407221","12208","Michael J. Franklin","304","35175","170","22","19735","62","1:2005,"
"2119358208","13630","Jeffrey Xu Yu","493","11681","166","23","5276","39",\N
"390930505","13805","Masaru Kitsuregawa","548","5767","162","24","2162","22","1:2012,4:2009,"
"671527850","12141","Jennifer Widom","276","34563","161","25","22585","72","1:2005,4:2007,"
"2139913828","12210","Samuel Madden","305","31855","161","26","18762","57","1:2020,"
"2142476784","13689","Kian Lee Tan","341","10606","161","27","5981","38",\N
"2062009547","13396","Timos Sellis","367","10047","158","28","5633","34",\N
"2063640528","12169","Joseph M. Hellerstein","313","31064","155","29","19910","60","1:2009,"
"2101052892","14481","Tok Wang Ling","290","3968","155","30","2374","23",\N
"1979791317","12243","David J. DeWitt","234","24600","154","31","19744","69","1:1995,4:1995,"
"2895435932","14734","Theo HÃ¤rder","268","2192","154","32","1685","20",\N
"1919135125","12217","Hans Peter Kriegel","466","42536","151","33","22289","45","1:2009,"
"2064546257","12908","David Maier","333","15128","150","34","6944","39","1:1998,4:1997,"
"2028117853","13617","Carlo Zaniolo","345","8020","149","35","5126","38","1:2019,"
"2318776917","13556","Lei Chen","634","12682","147","36","4100","36",\N
"2128990482","13785","Xiaofang Zhou","544","9616","147","37","2952","24",\N
"2075622585","12840","Jeffrey F. Naughton","246","14847","145","38","11539","54","1:2002,"
"2111470091","14280","Aoying Zhou","420","4507","144","39","1462","18",\N
"2117317669","13863","Martin L. Kersten","280","6308","142","40","4413","32","1:2016,4:2014,"
"2164040783","12492","Raghu Ramakrishnan","337","27342","142","41","16627","50","1:2001,4:2018,"
"2078136799","14019","Marianne Winslett","284","5816","141","42","1677","18","1:2006,"
"2070167002","13630","Norman W. Paton","346","9501","140","43","2909","30",\N
"2304774990","12423","Philip A. Bernstein","269","23853","138","44","17168","49","1:2001,4:1994,"
"2168903744","14700","Sourav S. Bhowmick","310","2799","135","45","912","17",\N
"2125481875","13861","Xuemin Lin","398","9577","135","46","5717","39",\N
"2524112933","13640","John Matthew Santosuosso","557","11823","135","47","2479","29",\N
"2056441798","12554","Sushil Jajodia","730","27453","133","48","5906","36","1:2021,"
"689294964","13010","Umeshwar Dayal","351","15127","131","49","8283","39","1:2008,4:2010,"
"2024002627","14329","Anastasia Ailamaki","216","5919","130","50","2828","31","1:2015,4:2019,"
"2284116839","13340","Goetz Graefe","263","8622","129","51","6839","39","4:2017,"
"2120785847","13896","Amr El Abbadi","260","7860","126","52","4291","37","1:2010,"
"158375695","15083","Ladjel Bellatreche","266","1534","126","53","1148","17",\N
"150096297","13351","Karl Aberer","572","12282","125","54","2901","29",\N
"699078101","13351","Richard T. Snodgrass","304","9623","123","55","5453","36","1:1999,"
"2864428513","13399","Kwon Bong Ki","1774","845","121","56","76","3",\N
"129750422","14082","Gunter Saake","512","6277","121","57","1503","19",\N
"2215544493","13391","Jeffrey P. Jacobs","548","13773","121","58","4155","40",\N
"1983463915","13602","Tova Milo","252","7560","120","59","3638","31","1:2012,"
"360895095","13998","M. Tamer Ã–zsu","274","7547","120","60","4346","30",\N
"519054157","13050","Stefano Ceri","436","14957","120","61","7060","40","1:2013,4:2013,"
"740816581","14271","Ioana Manolescu","233","4442","119","62","3250","26",\N
"220758600","13750","Walid G. Aref","288","9009","119","63","4986","34",\N
"2019462106","14345","Torben Bach Pedersen","332","4473","119","64","2366","28",\N
"1963964406","14338","Volker Markl","239","5129","117","65","3667","29","1:2020,"
"2122271048","13379","Gustavo Alonso","346","13013","117","66","4909","36","1:2012,"
"2057816297","13370","Ahmed K. Elmagarmid","295","13487","116","67","6030","38","1:2012,"
"1983664831","14108","David B. Lomet","177","5605","116","68","4398","38","1:2002,"
"2289816208","13447","Laks V. S. Lakshmanan","250","11665","116","69","7340","46",\N
"2295682018","12431","Amit P. Sheth","816","30474","115","70","7801","40","1:2020,"
"2083845045","12490","Johannes Gehrke","306","27904","114","71","15730","47","1:2014,"
"2833888813","14325","Wang Linxiang","668","681","113","72","92","4",\N
"294375193","14476","Alfredo Cuzzocrea","519","3265","112","73","1297","19",\N
"2250317084","14234","David Taniar","485","5097","111","74","998","18",\N
"172400696","12580","Serge Abiteboul","291","18710","111","75","10578","43","1:2011,4:1998,"
"2127483189","13056","Frank Leymann","643","17666","110","76","5123","35",\N
"2131537204","11903","Jim Gray","269","34179","109","77","16388","39","1:1994,4:1993,"
"2344506219","14368","Thomas Neumann","204","5099","109","78","3980","29",\N
"2161153869","12689","John Mylopoulos","699","23700","108","79","4668","34",\N
"2154833104","12868","Alon Halevy","217","21008","107","80","14031","52","1:2006,4:2021,"
"2298201484","13705","Bhavani Thuraisingham","680","7539","107","81","1502","19","1:2018,"
"2411984561","13247","Chandrasekaran Mohan","171","9431","107","82","6586","45",\N
"2172089212","14827","Kai Uwe Sattler","275","2133","106","83","1431","20",\N
"2057455714","13836","Vivek Narasayya","153","7525","106","84","5996","40",\N
"2138427228","11275","Rakesh Agrawal","291","75425","105","85","45922","55","1:2003,4:2000,"
"347927369","14458","Bernhard Thalheim","417","3515","104","86","1238","17",\N
"323797451","13109","Krithi Ramamritham","413","13021","103","87","3762","32",\N
"435837623","13427","Yannis E. Ioannidis","276","9161","103","88","5598","35","1:2004,"
"2112689123","13724","Gautam Das","268","8236","103","89","3882","30","1:2021,"
"2065325028","13154","Shamkant B. Navathe","248","13495","102","90","8813","31","1:2014,"
"2627138798","14840","Wde","507","0","102","91","0","0",\N
"276012958","13585","Yannis Manolopoulos","447","8873","102","92","3304","21",\N
"2081047619","14038","Peter Boncz","211","5381","101","93","4555","35",\N
"2089290244","13558","Minos Garofalakis","230","10204","101","94","6578","43","1:2018,"
"2242263115","14935","Marta Mattoso","237","2395","101","95","919","17",\N
"2198983026","11767","Christos Faloutsos","787","56487","101","96","10705","44","1:2010,"
"696807755","14067","Mohamed F. Mokbel","239","8257","101","97","4967","36",\N
"2428795359","13006","Stephen J. Freedland","969","19692","100","98","2353","27",\N
"2124997989","14574","Hiroyuki Kitagawa","387","2288","100","99","637","11",\N
"2125988131","13165","Ling Liu","722","17779","100","100","2731","25",\N
"2116519607","13861","Juliana Freire","257","8151","98","101","3447","29","1:2014,"
"2155925739","13867","Jignesh M. Patel","172","9021","98","102","6509","35","1:2014,"
"335443309","13526","Nick Koudas","173","10688","98","103","7711","41",\N
"2724119165","16297","å®¹å­ è—¤æµª","118","0","98","104","0","0",\N
"2131931065","14022","Christoph Koch","369","7241","97","105","3391","32",\N
"2207808857","14526","Sharma Chakravarthy","232","3001","97","106","2109","20",\N
"2171804313","13800","Guoliang Li","427","15229","97","107","2952","32",\N
"2201039448","13224","Sharad Mehrotra","316","13687","96","108","6555","28",\N
"2113126795","14707","Juan Trujillo","231","3512","96","109","2099","25",\N
"2017491355","14831","Hasso Plattner","215","2590","96","110","1626","18",\N
"2158742306","13153","Erhard Rahm","336","15318","95","111","11357","32",\N
"1933211966","14517","Kyu Young Whang","193","3104","95","112","1772","21","1:2009,"
"251194211","13297","Matthias Jarke","599","11202","95","113","2597","25","1:2013,"
"2188709943","14805","Le Gruenwald","235","2755","94","114","1333","16",\N
"2030977514","14435","Panos K. Chrysanthis","283","3584","94","115","1267","18",\N
"206136001","14520","Sanjay Kumar Madria","345","3438","93","116","663","14",\N
"2239188769","13788","Bertram LudÃ¤scher","243","6825","93","117","3299","28",\N
"2289364316","11358","Jeffrey D. Ullman","376","59762","92","118","14840","39","1:1995,4:2006,"
"2002742946","13849","Amol Deshpande","152","7410","92","119","6394","33",\N
"2096900180","14649","Wenny Rahayu","294","3573","92","120","841","15",\N
"2122310831","12976","Carole Goble","558","18097","92","121","2247","25",\N
"2122783418","14885","Nipun Agarwal","191","3677","92","122","1999","22",\N
"401236404","13615","Guy M. Lohman","150","7872","92","123","5626","37",\N
"2581262770","14402","Richard D. Dettinger","280","6041","91","124","2065","25",\N
"18851973","13949","Nikos Mamoulis","273","8080","91","125","4203","32",\N
"2059436065","13551","Mario Piattini","904","10119","91","126","818","16",\N
"2097328450","13735","Susan B. Davidson","192","6104","90","127","3554","27","1:2001,"
"2063751690","14514","Eric L. Barsness","265","4754","90","128","1361","22",\N
"44170712","14471","Jayant R. Haritsa","146","3887","90","129","1977","22","1:2015,"
"2481386035","15113","Stephen J. Todd","171","2369","90","130","1174","19",\N
"2020635548","13287","Bruce G. Lindsay","150","7905","89","131","6010","35","1:1994,4:2012,"
"19399892","15470","JÃ©rÃ´me Darmont","191","1012","89","132","421","13",\N
"2132396280","13850","Wenfei Fan","220","9566","89","133","5144","37","1:2012,"
"2131082813","13563","Yufei Tao","197","12451","88","134","9218","46","1:2020,"
"2156135343","13860","Christopher RÃ©","318","9084","88","135","3533","31",\N
"172573358","14236","Guido Moerkotte","180","3875","88","136","3029","30",\N
"2345141441","13574","Magdalena Balazinska","175","8758","88","137","5739","35",\N
"2105813568","16602","å¯¿ä¸€ é è—¤","87","0","87","138","0","0",\N
"2116418223","13631","Kenneth A. Ross","194","8043","87","139","4220","34",\N
"2130201582","14114","Jianzhong Li","504","5536","87","140","1309","17",\N
"2137767172","16591","Sandy Campbell","88","0","87","141","0","0",\N
"2825846913","14715","Yoon Jong Min","455","416","87","142","131","5",\N
"2490701366","13949","Qing Li","555","7185","86","143","1332","17",\N
"2867501651","14640","Zhao Jiaoping","502","444","85","144","70","4",\N
"2819317303","14888","Wang Yinbo","408","301","85","145","58","3",\N
"2272704701","13498","Shivnath Babu","120","10853","85","146","6895","35",\N
"2123327822","13738","RenÃ©e J. Miller","155","7478","85","147","4927","36",\N
"721127700","14255","Gottfried Vossen","427","3692","85","148","1256","21",\N
"2115611082","13933","Sundararajarao Sudarshan","138","6068","84","149","5039","32",\N
"1886349446","15462","Brian R. Muras","148","1490","83","150","885","17",\N
"1919126655","14515","Panos Vassiliadis","165","4304","83","151","2811","25",\N
"19633248","14479","Sihem Amer Yahia","211","4127","83","152","2322","23",\N
"1985569948","14726","Leopoldo Bertossi","173","3387","83","153","2574","23",\N
"1988326922","13042","Gio Wiederhold","323","12862","83","154","2859","24","1:1995,"
"2082974086","12972","Dennis Shasha","443","16833","83","155","3995","28","1:2013,"
"254200932","14822","Mukesh K. Mohania","218","2890","82","156","1237","22",\N
"80360316","14944","Bernhard Mitschang","262","1729","82","157","729","14",\N
"2035273997","13149","Schahram Dustdar","797","19336","81","158","2692","22",\N
"2096174866","14806","Ravi Murthy","151","4434","81","159","2684","28",\N
"2136050841","13583","Ee Peng Lim","534","10917","81","160","1129","16",\N
"1987600604","12821","Diego Calvanese","462","21302","81","161","3284","28","1:2019,"
"2596067712","14548","Glen Bencivengo","679","0","81","162","0","0",\N
"2627110522","14301","Brbe","868","8","80","163","1","1",\N
"240820708","13590","Cyrus Shahabi","459","11076","80","164","2968","22",\N
"2651564987","13135","Rajeev Rastogi","243","15812","80","165","9211","39","1:2012,"
"612732243","14629","Yahiko Kambayashi","246","1793","80","166","659","15",\N
"400262344","14534","A Min Tjoa","364","2797","80","167","774","16",\N
"2159408573","14295","Mong Li Lee","282","5921","80","168","1874","21",\N
"2243308922","13523","Dimitris Papadias","197","12187","80","169","7685","43",\N
"1979563096","14578","Johann Eder","250","2589","79","170","1004","13",\N
"2401676173","13653","Sang H. Son","406","8621","79","171","1643","22",\N
"2777339002","13759","Haixun Wang","220","10893","79","172","5354","34",\N
"2842097673","13693","Zhang Wenming","1465","607","78","173","22","2",\N
"258753967","13359","Nick Roussopoulos","163","7797","78","174","4384","30","1:2001,"
"2175821055","13621","Ouri Wolfson","262","8794","78","175","4213","27","1:2001,"
"2194111320","14891","Klaus Dieter Schewe","289","2076","77","176","777","16",\N
"2159446685","14974","StÃ©phane Bressan","223","1896","77","177","640","14",\N
"2213038480","13427","Hamid Pirahesh","90","8359","77","178","7752","37","1:2008,"
"2099727678","14251","Felix Naumann","231","6338","77","179","2659","28",\N
"2300834035","14769","Michael H. BÃ¶hlen","176","2790","77","180","1822","21",\N
"2078839115","14528","Tim Kraska","159","4417","76","181","3300","26",\N
"2126330539","12213","Jian Pei","409","50195","76","182","6186","31","1:2015,"
"2140725837","14517","Marco A. Casanova","290","2393","76","183","756","14",\N
"2148782644","14649","Il Yeol Song","266","3448","76","184","1282","17",\N
"2423119866","12026","Alexander S. Szalay","856","79774","76","185","1818","23",\N
"431165649","13396","Stanley B. Zdonik","142","9797","76","186","6098","41","1:2006,"
"2125776506","14809","Gang Chen","253","2728","75","187","924","14",\N
"2114304489","14328","Sang Wook Kim","551","2714","75","188","755","12",\N
"2120738522","14673","Wee Keong Ng","240","3068","75","189","558","12",\N
"1982738670","14491","Ihab F. Ilyas","153","5700","75","190","3932","30","1:2020,"
"2092532607","14647","Peter M. G. Apers","183","2480","75","191","1346","19",\N
"2170777979","13834","Elena Ferrari","332","7728","74","192","1823","23","1:2019,"
"2148674672","15495","Pedro Furtado","206","679","74","193","399","11",\N
"2140301036","14033","Thomas Seidl","354","5857","74","194","2331","21",\N
"339589296","14790","Neoklis Polyzotis","109","3352","74","195","2711","31",\N
"742538449","13756","Arie Shoshani","178","5516","73","196","2900","28",\N
