authorID,name,name_MAG,authorID_MAG,PaperCount_ARC,CitationCount_ARC,hIndex_ARC,PaperCount_MAG_NLP,CitationCount_MAG_NLP,hIndex_MAG_NLP,authorRank,PaperCount_ACL,FellowType
"1411","christopher manning","christopher manning","2149153931","223","46167","76","298","61108","88","1","42","2:2011,1:2013,"
"1043","eduard hovy","eduard hovy","2046588481","253","12821","52","324","15533","58","2","37","2:2011,"
"3314","mirella lapata","mirella lapata","2019867208","154","7488","49","225","10042","54","3","38","2:2019,"
"4073","noah smith","noah smith","2250998000","210","9176","49","259","11038","55","4","41","2:2020,"
"818","dan klein",\N,\N,"150","13430","47",\N,\N,"-1","5","43",\N
"10368","kevin knight","kevin knight","2330030585","163","9487","47","210","12332","57","6","27","2:2014,"
"3262","hermann ney","hermann ney","2293758362","251","13352","46","464","20357","61","7","14","2:2020,"
"1124","rada mihalcea","rada mihalcea","2068190112","163","8720","45","240","12940","54","8","16","1:2019,"
"4417","philipp koehn","philipp koehn","2647056301","189","17441","43","243","20560","48","9","7",\N
"3274","chris callisonburch",\N,\N,"145","10720","42",\N,\N,"-1","10","14",\N
"3442","claire cardie","claire cardie","229573375","115","5933","41","149","8445","45","11","23","2:2015,1:2019,"
"3925","chris dyer","chris dyer","2119216958","148","11867","41","190","13590","47","12","25",\N
"4082","ming zhou","ming zhou","2143584880","189","5869","41","226","8311","51","13","66",\N
"7314","hwee ng","hwee ng","2146810117","106","5874","41","142","6740","44","14","25","2:2012,"
"3232","dan roth","dan roth","2122007671","219","7385","40","287","9176","48","15","25","2:2012,1:2011,"
"10682","joakim nivre","joakim nivre","70153750","154","7266","40","238","9094","44","16","9","2:2021,"
"10781","ralph grishman","ralph grishman","157725375","146","6321","38","219","8241","43","17","14","2:2017,"
"4047","mark johnson",\N,\N,"144","6066","38",\N,\N,"-1","18","38","2:2011,"
"1468","timothy baldwin","timothy baldwin","2436269535","247","5170","38","312","6755","42","19","16",\N
"34094","janyce wiebe","janyce wiebe","2118264585","77","9647","38","114","12350","42","20","7","2:2015,"
"31937","daniel marcu","daniel marcu","1853234685","77","8406","37","120","12105","51","21","16","2:2014,"
"847","regina barzilay","regina barzilay","2080327427","91","6577","37","138","7938","43","22","27","2:2017,"
"20171","junichi tsujii","junichi tsujii","710867540","214","5788","37","310","10250","48","23","22","2:2014,3:2021,"
"11246","michael collins","michael collins","2170865064","71","10693","36","101","12537","43","24","20","2:2011,"
"35621","eugene charniak","eugene charniak","103415842","72","6358","36","103","8894","42","25","14","2:2011,3:2011,"
"28562","fernando pereira","fernando pereira","2291088731","50","9204","35","90","12021","42","26","18","2:2017,1:2010,"
"895","kathleen mckeown","kathleen mckeown","613661480","139","6486","35","201","10549","49","27","25","2:2011,1:2003,"
"706","iryna gurevych","iryna gurevych","40109512","238","3792","34","316","4874","37","28","23","2:2020,"
"1457","yang liu",\N,\N,"202","3147","34",\N,\N,"-1","29","36",\N
"3502","jianfeng gao","jianfeng gao","2104437897","129","4338","34","252","11180","51","30","30",\N
"4859","martha palmer","martha palmer","2135488253","188","9415","34","267","12603","45","31","13","2:2014,"
"7794","luke zettlemoyer","luke zettlemoyer","334758317","108","5449","34","147","8988","45","32","34","2:2021,"
"33217","aravind joshi","aravind joshi","2101398122","115","6121","34","187","8757","46","33","17","2:2011,1:1998,3:2002,"
"955","ido dagan","ido dagan","356610775","150","4983","33","214","8299","42","34","27","2:2013,"
"8279","philip resnik","philip resnik","574844396","99","3977","33","136","8856","40","35","20","2:2020,"
"10634","ryan mcdonald",\N,\N,"52","7679","33",\N,\N,"-1","36","10",\N
"20968","stephen clark","stephen clark","2171338068","85","4076","32","103","4559","34","37","12",\N
"517","nizar habash","nizar habash","2025107431","194","3739","32","217","4662","35","38","10",\N
"1354","owen rambow","owen rambow","2042484151","152","4808","32","191","5544","34","39","14",\N
"2447","dragomir radev","dragomir radev","678127074","108","4709","32","177","8734","42","40","15","2:2018,1:2015,"
"2516","andrew mccallum","andrew mccallum","2131293038","101","5173","32","140","7909","43","41","17","1:2017,"
"34710","miles osborne","miles osborne","2041005256","51","3722","32","77","3946","33","42","9",\N
"37712","franz och","franz och","2233053262","47","15305","32","65","16366","38","43","7",\N
"1403","david yarowsky","david yarowsky","2042800127","87","6551","31","115","8376","38","44","13","2:2013,"
"1617","roberto navigli","roberto navigli","3356812","107","3711","31","133","7727","41","45","19",\N
"12609","chinyew lin",\N,\N,"75","8006","31",\N,\N,"-1","46","18",\N
"4033","alessandro moschitti","alessandro moschitti","48142092","132","3530","31","206","5386","38","47","13",\N
"6000","marilyn walker","marilyn walker","2152519802","103","3551","31","179","5479","40","48","18","2:2016,"
"5775","qun liu","qun liu","2573745738","202","3460","30","262","4095","33","49","37","2:2021,"
"7377","mona diab","mona diab","2124289572","146","3990","30","180","4565","33","50","12",\N
"7628","raymond mooney","raymond mooney","2167433806","60","4218","30","128","8469","47","51","14","2:2014,1:2010,"
"8824","eneko agirre","eneko agirre","1956093140","121","4652","30","223","7064","42","52","15","2:2021,"
"8913","oren etzioni","oren etzioni","57747768","44","7194","29","65","7102","34","53","5",\N
"4219","dan jurafsky","dan jurafsky","2089131864","80","4538","29","202","20007","65","54","14","2:2020,"
"4433","jason eisner","jason eisner","2023211357","99","3281","29","135","3816","32","55","17","2:2018,"
"991","yuji matsumoto","yuji matsumoto","2131749055","223","4824","29","359","6124","35","56","19","2:2011,"
"1636","preslav nakov","preslav nakov","1989325080","143","3455","29","203","4069","32","57","8",\N
"17923","john carroll","john carroll","2104823391","64","3188","29","114","4282","34","58","10","1:2003,"
