"2020.acl-main.117","2020.coling-industry.9","1"
"2020.coling-industry.9","2020.acl-main.117","1"
"2020.acl-main.167","2020.findings-emnlp.89","0.833333"
"2020.findings-emnlp.89","2020.acl-main.167","0.833333"
"2020.acl-main.167","P19-1451","1.33333"
"P19-1451","2020.acl-main.167","1.33333"
"2020.findings-emnlp.89","P19-1451","4.16667"
"P19-1451","2020.findings-emnlp.89","4.16667"
"2020.acl-main.167","2020.findings-emnlp.288","0.833333"
"2020.findings-emnlp.288","2020.acl-main.167","0.833333"
"2020.findings-emnlp.288","2020.findings-emnlp.89","3.66667"
"2020.findings-emnlp.89","2020.findings-emnlp.288","3.66667"
"2020.findings-emnlp.288","P19-1451","3.16667"
"P19-1451","2020.findings-emnlp.288","3.16667"
"2020.findings-emnlp.288","2021.naacl-main.443","0.333333"
"2021.naacl-main.443","2020.findings-emnlp.288","0.333333"
"2020.findings-emnlp.89","2021.naacl-main.443","1.33333"
"2021.naacl-main.443","2020.findings-emnlp.89","1.33333"
"2021.naacl-main.443","P19-1451","0.333333"
"P19-1451","2021.naacl-main.443","0.333333"
"2021.eacl-main.30","2021.naacl-main.443","1"
"2021.naacl-main.443","2021.eacl-main.30","1"
"C98-1028","P98-1028","3"
"P98-1028","C98-1028","3"
"D08-1063","P06-1060","2"
"P06-1060","D08-1063","2"
"D08-1063","W03-0425","0.5"
"W03-0425","D08-1063","0.5"
"P06-1060","W03-0425","1.5"
"W03-0425","P06-1060","1.5"
"D08-1063","W05-0709","3"
"W05-0709","D08-1063","3"
"D08-1063","D16-1135","2"
"D16-1135","D08-1063","2"
"D08-1063","P17-1135","1"
"P17-1135","D08-1063","1"
"D08-1063","D10-1033","0.5"
"D10-1033","D08-1063","0.5"
"D10-1033","P06-1060","5.5"
"P06-1060","D10-1033","5.5"
"D10-1033","W03-1026","1"
"W03-1026","D10-1033","1"
"D16-1135","P17-1135","2"
"P17-1135","D16-1135","2"
"N01-1006","W00-1304","2.33333"
"W00-1304","N01-1006","2.33333"
"N01-1006","W02-1004","1.33333"
"W02-1004","N01-1006","1.33333"
"N01-1006","S01-1040","0.333333"
"S01-1040","N01-1006","0.333333"
"S01-1040","W00-1304","0.333333"
"W00-1304","S01-1040","0.333333"
"S01-1040","W02-1004","1.33333"
"W02-1004","S01-1040","1.33333"
"W00-1304","W02-1004","0.333333"
"W02-1004","W00-1304","0.333333"
"N01-1006","W01-0701","2"
"W01-0701","N01-1006","2"
"N01-1006","W02-2010","1"
"W02-2010","N01-1006","1"
"N09-2051","P16-1213","1"
"P16-1213","N09-2051","1"
"P16-1213","P17-1135","1"
"P17-1135","P16-1213","1"
"W01-0701","W02-2010","0.5"
"W02-2010","W01-0701","0.5"
"W01-0701","W03-1026","0.5"
"W03-1026","W01-0701","0.5"
"W02-2010","W03-1026","0.5"
"W03-1026","W02-2010","0.5"
"W02-1004","W03-0425","2"
"W03-0425","W02-1004","2"
"W03-0425","W03-1026","1"
"W03-1026","W03-0425","1"
"W03-1026","W05-0709","2"
"W05-0709","W03-1026","2"
