"2020.computerm-1.12","R19-1117","1"
"R19-1117","2020.computerm-1.12","1"
"2020.fnp-1.36","L16-1051","0.5"
"L16-1051","2020.fnp-1.36","0.5"
"2020.fnp-1.36","W18-3101","0.5"
"W18-3101","2020.fnp-1.36","0.5"
"L16-1051","W18-3101","0.5"
"W18-3101","L16-1051","0.5"
"2020.semeval-1.135","S18-1005","1"
"S18-1005","2020.semeval-1.135","1"
"C16-1257","L16-1283","2.33333"
"L16-1283","C16-1257","2.33333"
"C16-1257","R15-1086","0.333333"
"R15-1086","C16-1257","0.333333"
"C16-1257","S14-2070","0.333333"
"S14-2070","C16-1257","0.333333"
"L16-1283","R15-1086","0.333333"
"R15-1086","L16-1283","0.333333"
"L16-1283","S14-2070","0.333333"
"S14-2070","L16-1283","0.333333"
"R15-1086","S14-2070","0.333333"
"S14-2070","R15-1086","0.333333"
"C16-1257","S18-1005","2"
"S18-1005","C16-1257","2"
"L16-1283","S18-1005","6"
"S18-1005","L16-1283","6"
"daelemans-hoste-2002-evaluation","W02-0809","1"
"W02-0809","daelemans-hoste-2002-evaluation","1"
"daelemans-hoste-2002-evaluation","P03-1062","1"
"P03-1062","daelemans-hoste-2002-evaluation","1"
"daelemans-hoste-2002-evaluation","lefever-hoste-2010-construction","0.333333"
"lefever-hoste-2010-construction","daelemans-hoste-2002-evaluation","0.333333"
"daelemans-hoste-2002-evaluation","S10-1003","0.333333"
"S10-1003","daelemans-hoste-2002-evaluation","0.333333"
"daelemans-hoste-2002-evaluation","W09-2413","0.333333"
"W09-2413","daelemans-hoste-2002-evaluation","0.333333"
"lefever-hoste-2010-construction","S10-1003","2.33333"
"S10-1003","lefever-hoste-2010-construction","2.33333"
"lefever-hoste-2010-construction","W09-2413","3.33333"
"W09-2413","lefever-hoste-2010-construction","3.33333"
"S10-1003","W09-2413","14.8333"
"W09-2413","S10-1003","14.8333"
"de-clercq-etal-2012-evaluating","R11-1026","1.33333"
"R11-1026","de-clercq-etal-2012-evaluating","1.33333"
"de-clercq-etal-2012-evaluating","R13-1024","0.333333"
"R13-1024","de-clercq-etal-2012-evaluating","0.333333"
"de-clercq-etal-2012-evaluating","van-oosten-etal-2010-towards","0.333333"
"van-oosten-etal-2010-towards","de-clercq-etal-2012-evaluating","0.333333"
"R11-1026","R13-1024","0.333333"
"R13-1024","R11-1026","0.333333"
"R11-1026","van-oosten-etal-2010-towards","0.333333"
"van-oosten-etal-2010-towards","R11-1026","0.333333"
"R13-1024","van-oosten-etal-2010-towards","0.333333"
"van-oosten-etal-2010-towards","R13-1024","0.333333"
"de-clercq-etal-2012-evaluating","S14-2070","0.333333"
"S14-2070","de-clercq-etal-2012-evaluating","0.333333"
"de-clercq-etal-2012-evaluating","S15-2122","0.333333"
"S15-2122","de-clercq-etal-2012-evaluating","0.333333"
"de-clercq-etal-2012-evaluating","S16-1002","0.333333"
"S16-1002","de-clercq-etal-2012-evaluating","0.333333"
"S14-2070","S15-2122","0.333333"
"S15-2122","S14-2070","0.333333"
"S14-2070","S16-1002","0.333333"
"S16-1002","S14-2070","0.333333"
"S15-2122","S16-1002","0.333333"
"S16-1002","S15-2122","0.333333"
"de-clercq-etal-2014-towards","R13-1024","2"
"R13-1024","de-clercq-etal-2014-towards","2"
"hendrickx-etal-2008-coreference","R11-1026","0.5"
"R11-1026","hendrickx-etal-2008-coreference","0.5"
"hendrickx-etal-2008-coreference","schuurman-etal-2010-interacting","1"
"schuurman-etal-2010-interacting","hendrickx-etal-2008-coreference","1"
"R11-1026","schuurman-etal-2010-interacting","0.5"
"schuurman-etal-2010-interacting","R11-1026","0.5"
"hendrickx-etal-2008-coreference","S10-1001","0.5"
"S10-1001","hendrickx-etal-2008-coreference","0.5"
"S10-1001","schuurman-etal-2010-interacting","0.5"
"schuurman-etal-2010-interacting","S10-1001","0.5"
"J16-3004","R11-1026","1"
"R11-1026","J16-3004","1"
"lefever-etal-2014-evaluation","R13-1078","1"
"R13-1078","lefever-etal-2014-evaluation","1"
"P11-2055","S10-1003","4"
"S10-1003","P11-2055","4"
"P11-2055","W09-2413","4.5"
"W09-2413","P11-2055","4.5"
"P11-2055","S13-2029","1.5"
"S13-2029","P11-2055","1.5"
"S13-2029","W09-2413","4.5"
"W09-2413","S13-2029","4.5"
"S01-1020","W04-0827","4"
"W04-0827","S01-1020","4"
"S10-1001","W09-2413","1"
"W09-2413","S10-1001","1"
"S10-1003","S13-2029","4.5"
"S13-2029","S10-1003","4.5"
"S13-2029","S14-2005","0.5"
"S14-2005","S13-2029","0.5"
"S14-2005","W09-2413","0.5"
"W09-2413","S14-2005","0.5"
"S16-1002","S18-1005","1"
"S18-1005","S16-1002","1"
"W02-0809","W04-0827","0.5"
"W04-0827","W02-0809","0.5"
"W02-0809","W09-2413","0.5"
"W09-2413","W02-0809","0.5"
"W04-0827","W09-2413","0.5"
"W09-2413","W04-0827","0.5"
"W02-0814","W04-0827","3"
"W04-0827","W02-0814","3"
