"W00-0207","dorr-etal-1998-thematic","1"
"hartholt-etal-2008-common","N09-2014","2.66667"
"N09-2014","hartholt-etal-2008-common","2.66667"
"hartholt-etal-2008-common","N10-2009","0.333333"
"N10-2009","hartholt-etal-2008-common","0.333333"
"hartholt-etal-2008-common","W09-3902","0.666667"
"W09-3902","hartholt-etal-2008-common","0.666667"
"N09-2014","N10-2009","0.833333"
"N10-2009","N09-2014","0.833333"
"N09-2014","W09-3902","5.16667"
"W09-3902","N09-2014","5.16667"
"N10-2009","W09-3902","0.833333"
"W09-3902","N10-2009","0.833333"
"hartholt-etal-2008-common","N12-3007","0.333333"
"N12-3007","hartholt-etal-2008-common","0.333333"
"N09-2014","N12-3007","0.333333"
"N12-3007","N09-2014","0.333333"
"N12-3007","W09-3902","0.333333"
"W09-3902","N12-3007","0.333333"
"L16-1435","P94-1001","1"
"P94-1001","L16-1435","1"
"L18-1017","W15-4629","1"
"W15-4629","L18-1017","1"
"L18-1017","W00-0207","1"
"W00-0207","L18-1017","1"
"W00-0207","W17-2808","1"
"W17-2808","W00-0207","1"
"leuski-traum-2010-npceditor","N09-2014","1"
"N09-2014","leuski-traum-2010-npceditor","1"
"leuski-traum-2010-npceditor","W10-4345","0.333333"
"W10-4345","leuski-traum-2010-npceditor","0.333333"
"leuski-traum-2010-npceditor","W13-4039","0.333333"
"W13-4039","leuski-traum-2010-npceditor","0.333333"
"W06-1303","W10-4345","2.83333"
"W10-4345","W06-1303","2.83333"
"W06-1303","W13-4039","0.333333"
"W13-4039","W06-1303","0.333333"
"W10-4345","W13-4039","0.333333"
"W13-4039","W10-4345","0.333333"
"N16-3007","W06-1303","0.5"
"W06-1303","N16-3007","0.5"
"N16-3007","W15-4629","0.5"
"W15-4629","N16-3007","0.5"
"W06-1303","W15-4629","3"
"W15-4629","W06-1303","3"
"P14-1047","W12-1611","1"
"W12-1611","P14-1047","1"
"P94-1001","traum-etal-2004-evaluation","2"
"traum-etal-2004-evaluation","P94-1001","2"
"robinson-etal-2008-ask","robinson-etal-2010-dialogues","1"
"robinson-etal-2010-dialogues","robinson-etal-2008-ask","1"
"robinson-etal-2010-dialogues","traum-etal-2004-evaluation","0.5"
"traum-etal-2004-evaluation","robinson-etal-2010-dialogues","0.5"
"robinson-etal-2010-dialogues","W12-1611","0.5"
"W12-1611","robinson-etal-2010-dialogues","0.5"
"traum-etal-2004-evaluation","W12-1611","0.5"
"W12-1611","traum-etal-2004-evaluation","0.5"
"W10-4345","W15-4629","0.5"
"W15-4629","W10-4345","0.5"
"W06-1303","W08-0127","0.5"
"W08-0127","W06-1303","0.5"
"W08-0127","yao-etal-2010-practical","0.5"
"yao-etal-2010-practical","W08-0127","0.5"
"W13-4064","W15-4629","1"
"W15-4629","W13-4064","1"
