"baumann-etal-2004-muli","W04-2707","1"
"W04-2707","baumann-etal-2004-muli","1"
"E03-1036","P02-1041","6.83333"
"P02-1041","E03-1036","6.83333"
"E03-1036","P06-1094","0.333333"
"P06-1094","E03-1036","0.333333"
"E03-1036","P06-1131","0.833333"
"P06-1131","E03-1036","0.833333"
"P02-1041","P06-1094","0.333333"
"P06-1094","P02-1041","0.333333"
"P02-1041","P06-1131","0.833333"
"P06-1131","P02-1041","0.833333"
"P06-1094","P06-1131","0.333333"
"P06-1131","P06-1094","0.333333"
"P02-1041","W05-1607","1"
"W05-1607","P02-1041","1"
"P06-1131","W05-1609","1"
"W05-1609","P06-1131","1"
