"2020.acl-main.231","D17-1113","1"
"D17-1113","2020.acl-main.231","1"
"C00-1029","N01-1013","0.5"
"N01-1013","C00-1029","0.5"
"C00-1029","W99-0631","1.5"
"W99-0631","C00-1029","1.5"
"N01-1013","W99-0631","0.5"
"W99-0631","N01-1013","0.5"
"C00-1029","J02-2003","1"
"J02-2003","C00-1029","1"
"C04-1041","P06-1088","3.56349"
"P06-1088","C04-1041","3.56349"
"C04-1041","P15-2041","2.48333"
"P15-2041","C04-1041","2.48333"
"C04-1041","D08-1050","0.592857"
"D08-1050","C04-1041","0.592857"
"C04-1041","J07-4004","7.37619"
"J07-4004","C04-1041","7.37619"
"C04-1041","N16-1025","0.366667"
"N16-1025","C04-1041","0.366667"
"C04-1041","W02-2203","2.65"
"W02-2203","C04-1041","2.65"
"D08-1050","J07-4004","3.92619"
"J07-4004","D08-1050","3.92619"
"D08-1050","N16-1025","0.366667"
"N16-1025","D08-1050","0.366667"
"D08-1050","P15-2041","0.366667"
"P15-2041","D08-1050","0.366667"
"D08-1050","W02-2203","0.366667"
"W02-2203","D08-1050","0.366667"
"J07-4004","N16-1025","2.06667"
"N16-1025","J07-4004","2.06667"
"J07-4004","P15-2041","2.81667"
"P15-2041","J07-4004","2.81667"
"J07-4004","W02-2203","4.4"
"W02-2203","J07-4004","4.4"
"N16-1025","P15-2041","0.533333"
"P15-2041","N16-1025","0.533333"
"N16-1025","W02-2203","0.366667"
"W02-2203","N16-1025","0.366667"
"P15-2041","W02-2203","1.03333"
"W02-2203","P15-2041","1.03333"
"C04-1041","P02-1042","3.76111"
"P02-1042","C04-1041","3.76111"
"C04-1041","P04-1014","11.0873"
"P04-1014","C04-1041","11.0873"
"C04-1041","W03-1013","1.36111"
"W03-1013","C04-1041","1.36111"
"P02-1042","P04-1014","2.86111"
"P04-1014","P02-1042","2.86111"
"P02-1042","W03-1013","2.94444"
"W03-1013","P02-1042","2.94444"
"P04-1014","W03-1013","2.86111"
"W03-1013","P04-1014","2.86111"
"C04-1041","P07-1032","1.7873"
"P07-1032","C04-1041","1.7873"
"C04-1041","W07-1202","1.14286"
"W07-1202","C04-1041","1.14286"
"W02-2203","W07-1202","0.75"
"W07-1202","W02-2203","0.75"
"J07-4004","P06-1088","2.30952"
"P06-1088","J07-4004","2.30952"
"C04-1041","C04-1180","1.64444"
"C04-1180","C04-1041","1.64444"
"C04-1041","E03-1071","3.32063"
"E03-1071","C04-1041","3.32063"
"C04-1041","P10-1036","1.15952"
"P10-1036","C04-1041","1.15952"
"C04-1041","W07-2206","0.9"
"W07-2206","C04-1041","0.9"
