"2020.coling-main.32","W18-7106","2"
"W18-7106","2020.coling-main.32","2"
"D07-1097","W12-5205","1"
"W12-5205","D07-1097","1"
"L16-1509","W09-4636","0.5"
"W09-4636","L16-1509","0.5"
"L16-1509","W13-5617","1"
"W13-5617","L16-1509","1"
"W09-4636","W13-5617","1"
"W13-5617","W09-4636","1"
"L16-1509","W17-0216","0.5"
"W17-0216","L16-1509","0.5"
"W13-5617","W17-0216","0.5"
"W17-0216","W13-5617","0.5"
"megyesi-etal-2006-building","W07-2420","1"
"W07-2420","megyesi-etal-2006-building","1"
"megyesi-etal-2008-swedish","megyesi-etal-2010-english","1"
"megyesi-etal-2010-english","megyesi-etal-2008-swedish","1"
"megyesi-etal-2008-swedish","W07-2420","2.5"
"W07-2420","megyesi-etal-2008-swedish","2.5"
"megyesi-etal-2008-swedish","W09-4636","0.5"
"W09-4636","megyesi-etal-2008-swedish","0.5"
"W07-2420","W09-4636","0.5"
"W09-4636","W07-2420","0.5"
"seraji-etal-2012-basic","W12-5205","1"
"W12-5205","seraji-etal-2012-basic","1"
"W01-1715","W07-2420","1"
"W07-2420","W01-1715","1"
"W09-4636","W14-0605","0.5"
"W14-0605","W09-4636","0.5"
"W13-5617","W14-0605","6.5"
"W14-0605","W13-5617","6.5"
"W11-1202","W19-6126","2"
"W19-6126","W11-1202","2"
