"2010.eamt-1.37","W11-2164","4"
"W11-2164","2010.eamt-1.37","4"
"2012.iwslt-papers.8","P10-2041","3"
"P10-2041","2012.iwslt-papers.8","3"
"2015.iwslt-papers.2","P10-2041","2"
"P10-2041","2015.iwslt-papers.2","2"
"C10-1044","I08-2093","4.2"
"I08-2093","C10-1044","4.2"
"C10-1044","C12-2037","0.2"
"C12-2037","C10-1044","0.2"
"C10-1044","I08-1069","0.2"
"I08-1069","C10-1044","0.2"
"C10-1044","N07-1057","0.7"
"N07-1057","C10-1044","0.7"
"C10-1044","W09-0307","0.2"
"W09-0307","C10-1044","0.2"
"C12-2037","I08-1069","0.7"
"I08-1069","C12-2037","0.7"
"C12-2037","I08-2093","0.7"
"I08-2093","C12-2037","0.7"
"C12-2037","N07-1057","0.7"
"N07-1057","C12-2037","0.7"
"C12-2037","W09-0307","0.2"
"W09-0307","C12-2037","0.2"
"I08-1069","I08-2093","2.78333"
"I08-2093","I08-1069","2.78333"
"I08-1069","N07-1057","2.28333"
"N07-1057","I08-1069","2.28333"
"I08-1069","W09-0307","0.2"
"W09-0307","I08-1069","0.2"
"I08-2093","N07-1057","6.28333"
"N07-1057","I08-2093","6.28333"
"I08-2093","W09-0307","0.2"
"W09-0307","I08-2093","0.2"
"N07-1057","W09-0307","0.2"
"W09-0307","N07-1057","0.2"
"C10-1044","xia-etal-2010-problems","0.5"
"xia-etal-2010-problems","C10-1044","0.5"
"N07-1057","xia-etal-2010-problems","1.25"
"xia-etal-2010-problems","N07-1057","1.25"
"C12-2037","georgi-etal-2012-measuring","0.5"
"georgi-etal-2012-measuring","C12-2037","0.5"
"georgi-etal-2012-measuring","N07-1057","1"
"N07-1057","georgi-etal-2012-measuring","1"
"E09-1099","I08-1069","2.33333"
"I08-1069","E09-1099","2.33333"
"E09-1099","I08-2093","0.833333"
"I08-2093","E09-1099","0.833333"
"E09-1099","N07-1057","1.33333"
"N07-1057","E09-1099","1.33333"
"E09-1099","W09-0307","3"
"W09-0307","E09-1099","3"
"E09-1099","xia-etal-2010-problems","0.5"
"xia-etal-2010-problems","E09-1099","0.5"
"georgi-etal-2012-measuring","I08-2093","0.5"
"I08-2093","georgi-etal-2012-measuring","0.5"
"I08-1069","P13-2055","0.25"
"P13-2055","I08-1069","0.25"
"I08-1069","xia-etal-2010-problems","0.25"
"xia-etal-2010-problems","I08-1069","0.25"
"I08-2093","P13-2055","0.75"
"P13-2055","I08-2093","0.75"
"I08-2093","xia-etal-2010-problems","0.25"
"xia-etal-2010-problems","I08-2093","0.25"
"N07-1057","P13-2055","0.75"
"P13-2055","N07-1057","0.75"
"P13-2055","xia-etal-2010-problems","0.25"
"xia-etal-2010-problems","P13-2055","0.25"
"I08-2093","W15-3709","1"
"W15-3709","I08-2093","1"
"I08-2093","xia-etal-2014-enriching","0.5"
"xia-etal-2014-enriching","I08-2093","0.5"
"N07-1057","xia-etal-2014-enriching","0.5"
"xia-etal-2014-enriching","N07-1057","0.5"
"lewis-etal-2010-achieving","P10-2041","1"
"P10-2041","lewis-etal-2010-achieving","1"
"P10-2041","W13-2235","6"
"W13-2235","P10-2041","6"
"P10-2041","W13-2809","1"
"W13-2809","P10-2041","1"
