"2014.amta-researchers.26","W14-5313","1"
"W14-5313","2014.amta-researchers.26","1"
"C00-2123","J03-1005","3.25"
"J03-1005","C00-2123","3.25"
"C00-2123","C96-2141","1.33333"
"C96-2141","C00-2123","1.33333"
"C00-2123","P97-1037","1.83333"
"P97-1037","C00-2123","1.83333"
"C00-2123","P99-1065","0.25"
"P99-1065","C00-2123","0.25"
"C00-2123","W99-0604","4.58333"
"W99-0604","C00-2123","4.58333"
"C96-2141","P97-1037","10.6667"
"P97-1037","C96-2141","10.6667"
"C96-2141","P99-1065","1.25"
"P99-1065","C96-2141","1.25"
"C96-2141","W99-0604","34.0833"
"W99-0604","C96-2141","34.0833"
"P97-1037","P99-1065","0.25"
"P99-1065","P97-1037","0.25"
"P97-1037","W99-0604","7.08333"
"W99-0604","P97-1037","7.08333"
"P99-1065","W99-0604","0.25"
"W99-0604","P99-1065","0.25"
"C00-2123","W03-1001","0.75"
"W03-1001","C00-2123","0.75"
"C96-2141","J03-1005","7.25"
"J03-1005","C96-2141","7.25"
"C96-2141","W03-1001","4.41667"
"W03-1001","C96-2141","4.41667"
"J03-1005","P97-1037","4.25"
"P97-1037","J03-1005","4.25"
"J03-1005","W03-1001","2.91667"
"W03-1001","J03-1005","2.91667"
"P97-1037","W03-1001","0.75"
"W03-1001","P97-1037","0.75"
"J03-1005","W99-0604","11"
"W99-0604","J03-1005","11"
"W03-1001","W99-0604","7.16667"
"W99-0604","W03-1001","7.16667"
"C96-2141","P05-1069","1.83333"
"P05-1069","C96-2141","1.83333"
"C96-2141","P06-1091","3.33333"
"P06-1091","C96-2141","3.33333"
"P05-1069","P06-1091","1.33333"
"P06-1091","P05-1069","1.33333"
"P05-1069","P97-1037","0.333333"
"P97-1037","P05-1069","0.333333"
"P06-1091","P97-1037","0.333333"
"P97-1037","P06-1091","0.333333"
"C96-2141","N04-4026","5.25"
"N04-4026","C96-2141","5.25"
"J03-1005","N04-4026","5.25"
"N04-4026","J03-1005","5.25"
"C96-2141","N09-2024","0.5"
"N09-2024","C96-2141","0.5"
"C96-2141","P09-2057","0.5"
"P09-2057","C96-2141","0.5"
"N09-2024","P09-2057","2.5"
"P09-2057","N09-2024","2.5"
"C96-2141","N03-2036","0.25"
"N03-2036","C96-2141","0.25"
"J03-1005","N03-2036","0.25"
"N03-2036","J03-1005","0.25"
"N03-2036","P97-1037","0.25"
"P97-1037","N03-2036","0.25"
"N03-2036","W99-0604","6.08333"
"W99-0604","N03-2036","6.08333"
"N04-4026","P97-1037","0.25"
"P97-1037","N04-4026","0.25"
"N04-4026","W99-0604","2.08333"
"W99-0604","N04-4026","2.08333"
"C96-2141","W97-1014","0.333333"
"W97-1014","C96-2141","0.333333"
"J03-1005","W97-1014","0.333333"
"W97-1014","J03-1005","0.333333"
"W97-1014","W99-0604","1.33333"
"W99-0604","W97-1014","1.33333"
"N04-4026","P05-1069","6.83333"
"P05-1069","N04-4026","6.83333"
"J03-1005","W06-3602","3"
"W06-3602","J03-1005","3"
"W06-3602","W99-0604","1"
"W99-0604","W06-3602","1"
"J03-1005","P06-1091","1.5"
"P06-1091","J03-1005","1.5"
"N04-4026","P06-1091","1.5"
"P06-1091","N04-4026","1.5"
"N03-2036","N04-4026","1.83333"
"N04-4026","N03-2036","1.83333"
"N03-2036","P05-1069","0.333333"
"P05-1069","N03-2036","0.333333"
"P05-1069","W99-0604","4.33333"
"W99-0604","P05-1069","4.33333"
"N04-4026","W03-1001","1"
"W03-1001","N04-4026","1"
"N04-4026","W06-3602","1"
"W06-3602","N04-4026","1"
"N04-4026","W08-0405","1"
"W08-0405","N04-4026","1"
"N09-2024","P97-1037","1"
"P97-1037","N09-2024","1"
"P05-1069","W03-1001","0.5"
"W03-1001","P05-1069","0.5"
"P05-1069","W08-0405","0.5"
"W08-0405","P05-1069","0.5"
"W03-1001","W08-0405","0.5"
"W08-0405","W03-1001","0.5"
