"2020.emnlp-main.413","2021.eacl-main.257","1"
"2021.eacl-main.257","2020.emnlp-main.413","1"
"D11-1062","N10-1045","6.41667"
"N10-1045","D11-1062","6.41667"
"D11-1062","P11-1134","6.38333"
"P11-1134","D11-1062","6.38333"
"D11-1062","S12-1053","5.05"
"S12-1053","D11-1062","5.05"
"D11-1062","S13-2005","1.73333"
"S13-2005","D11-1062","1.73333"
"D11-1062","W10-0734","2.03333"
"W10-0734","D11-1062","2.03333"
"N10-1045","P11-1134","5.05"
"P11-1134","N10-1045","5.05"
"N10-1045","S12-1053","4.21667"
"S12-1053","N10-1045","4.21667"
"N10-1045","S13-2005","1.06667"
"S13-2005","N10-1045","1.06667"
"N10-1045","W10-0734","3.2"
"W10-0734","N10-1045","3.2"
"P11-1134","S12-1053","4.35"
"S12-1053","P11-1134","4.35"
"P11-1134","S13-2005","1.2"
"S13-2005","P11-1134","1.2"
"P11-1134","W10-0734","1.86667"
"W10-0734","P11-1134","1.86667"
"S12-1053","S13-2005","4.9"
"S13-2005","S12-1053","4.9"
"S12-1053","W10-0734","2.03333"
"W10-0734","S12-1053","2.03333"
"S13-2005","W10-0734","1.2"
"W10-0734","S13-2005","1.2"
"D11-1062","P13-1048","1"
"P13-1048","D11-1062","1"
"D11-1062","N10-1146","0.2"
"N10-1146","D11-1062","0.2"
"D11-1062","P12-2024","1.96667"
"P12-2024","D11-1062","1.96667"
"N10-1045","N10-1146","1.03333"
"N10-1146","N10-1045","1.03333"
"N10-1045","P12-2024","1.8"
"P12-2024","N10-1045","1.8"
"N10-1146","P11-1134","0.2"
"P11-1134","N10-1146","0.2"
"N10-1146","P12-2024","0.2"
"P12-2024","N10-1146","0.2"
"N10-1146","S12-1053","0.2"
"S12-1053","N10-1146","0.2"
"P11-1134","P12-2024","1.93333"
"P12-2024","P11-1134","1.93333"
"P12-2024","S12-1053","1.43333"
"S12-1053","P12-2024","1.43333"
"D11-1062","W11-2404","0.5"
"W11-2404","D11-1062","0.5"
"D11-1062","W12-3122","0.733333"
"W12-3122","D11-1062","0.733333"
"N10-1045","W11-2404","0.166667"
"W11-2404","N10-1045","0.166667"
"N10-1045","W12-3122","0.733333"
"W12-3122","N10-1045","0.733333"
"P11-1134","W11-2404","0.5"
"W11-2404","P11-1134","0.5"
"P11-1134","W12-3122","0.533333"
"W12-3122","P11-1134","0.533333"
"S12-1053","W11-2404","0.5"
"W11-2404","S12-1053","0.5"
"S12-1053","W12-3122","0.533333"
"W12-3122","S12-1053","0.533333"
"W10-0734","W11-2404","0.166667"
"W11-2404","W10-0734","0.166667"
"W10-0734","W12-3122","0.333333"
"W12-3122","W10-0734","0.333333"
"W11-2404","W12-3122","0.166667"
"W12-3122","W11-2404","0.166667"
"P12-2024","S13-2005","2.03333"
"S13-2005","P12-2024","2.03333"
"P12-2024","W12-3122","1.56667"
"W12-3122","P12-2024","1.56667"
"S13-2005","W12-3122","1.2"
"W12-3122","S13-2005","1.2"
"D11-1062","S12-1105","0.616667"
"S12-1105","D11-1062","0.616667"
"N10-1045","S12-1105","0.616667"
"S12-1105","N10-1045","0.616667"
"P11-1134","S12-1105","0.616667"
"S12-1105","P11-1134","0.616667"
"P12-2024","S12-1105","0.366667"
"S12-1105","P12-2024","0.366667"
"S12-1105","W12-3122","0.2"
"W12-3122","S12-1105","0.2"
"P12-2024","W10-0734","0.333333"
"W10-0734","P12-2024","0.333333"
"D11-1062","negri-etal-2012-chinese","0.166667"
"negri-etal-2012-chinese","D11-1062","0.166667"
"N10-1045","negri-etal-2012-chinese","0.166667"
"negri-etal-2012-chinese","N10-1045","0.166667"
"negri-etal-2012-chinese","P11-1134","0.166667"
"P11-1134","negri-etal-2012-chinese","0.166667"
"negri-etal-2012-chinese","P12-2024","0.166667"
"P12-2024","negri-etal-2012-chinese","0.166667"
"negri-etal-2012-chinese","S12-1053","0.166667"
"S12-1053","negri-etal-2012-chinese","0.166667"
"negri-etal-2012-chinese","W10-0734","0.166667"
"W10-0734","negri-etal-2012-chinese","0.166667"
"S12-1053","S12-1105","0.416667"
"S12-1105","S12-1053","0.416667"
"S12-1105","S13-2005","0.166667"
"S13-2005","S12-1105","0.166667"
"D11-1062","N13-1018","0.2"
"N13-1018","D11-1062","0.2"
"N10-1045","N13-1018","0.2"
"N13-1018","N10-1045","0.2"
"N13-1018","P11-1134","0.2"
"P11-1134","N13-1018","0.2"
"N13-1018","P12-2024","0.2"
"P12-2024","N13-1018","0.2"
"N13-1018","S12-1053","0.2"
"S12-1053","N13-1018","0.2"
"D14-1168","P13-1048","3"
"P13-1048","D14-1168","3"
"D14-1168","W14-4407","1"
"W14-4407","D14-1168","1"
"D14-1168","P14-1115","1"
"P14-1115","D14-1168","1"
"D14-1168","W13-2117","3"
"W13-2117","D14-1168","3"
"kouylekov-etal-2010-mining","N10-1045","0.333333"
"N10-1045","kouylekov-etal-2010-mining","0.333333"
"kouylekov-etal-2010-mining","N10-1146","1.33333"
"N10-1146","kouylekov-etal-2010-mining","1.33333"
"kouylekov-etal-2010-mining","W10-0734","0.333333"
"W10-0734","kouylekov-etal-2010-mining","0.333333"
"N10-1146","W10-0734","0.333333"
"W10-0734","N10-1146","0.333333"
"N10-1146","S13-2005","0.5"
"S13-2005","N10-1146","0.5"
"N13-1018","W13-2117","1"
"W13-2117","N13-1018","1"
"P14-1115","W13-2117","2"
"W13-2117","P14-1115","2"
"P14-1115","W14-4407","2"
"W14-4407","P14-1115","2"
"W13-2117","W14-4407","5"
"W14-4407","W13-2117","5"
