"2020.acl-main.644","2020.acl-main.737","1"
"2020.acl-main.737","2020.acl-main.644","1"
"2020.emnlp-main.122","P19-1453","1"
"P19-1453","2020.emnlp-main.122","1"
"2020.emnlp-main.385","2021.acl-short.74","0.333333"
"2021.acl-short.74","2020.emnlp-main.385","0.333333"
"2020.emnlp-main.385","D18-1436","0.333333"
"D18-1436","2020.emnlp-main.385","0.333333"
"2020.emnlp-main.385","P18-1154","0.333333"
"P18-1154","2020.emnlp-main.385","0.333333"
"2021.acl-short.74","D18-1436","0.333333"
"D18-1436","2021.acl-short.74","0.333333"
"2021.acl-short.74","P18-1154","0.333333"
"P18-1154","2021.acl-short.74","0.333333"
"D18-1436","P18-1154","0.333333"
"P18-1154","D18-1436","0.333333"
"2020.emnlp-main.739","P18-1154","1"
"P18-1154","2020.emnlp-main.739","1"
"2020.emnlp-main.739","2021.findings-acl.357","1"
"2021.findings-acl.357","2020.emnlp-main.739","1"
"D11-1029","P08-1088","2.5"
"P08-1088","D11-1029","2.5"
"D11-1029","N10-1083","1"
"N10-1083","D11-1029","1"
"D11-1029","D13-1087","0.5"
"D13-1087","D11-1029","0.5"
"D13-1087","P08-1088","0.5"
"P08-1088","D13-1087","0.5"
"D12-1091","N13-1132","1"
"N13-1132","D12-1091","1"
"D12-1091","P11-1049","1"
"P11-1049","D12-1091","1"
"D15-1032","P11-1049","0.5"
"P11-1049","D15-1032","0.5"
"D15-1032","P14-1020","0.5"
"P14-1020","D15-1032","0.5"
"P11-1049","P14-1020","0.5"
"P14-1020","P11-1049","0.5"
"D18-1160","P10-1131","0.5"
"P10-1131","D18-1160","0.5"
"D18-1160","P19-1311","0.5"
"P19-1311","D18-1160","0.5"
"P10-1131","P19-1311","0.5"
"P19-1311","P10-1131","0.5"
"D18-1160","N10-1083","1"
"N10-1083","D18-1160","1"
"D18-1160","P08-1088","1"
"P08-1088","D18-1160","1"
"N10-1083","P13-1021","2"
"P13-1021","N10-1083","2"
"N10-1083","P08-1088","3"
"P08-1088","N10-1083","3"
"N10-1083","P10-1131","8"
"P10-1131","N10-1083","8"
"N10-1083","P14-1020","1"
"P14-1020","N10-1083","1"
"N15-1109","P13-1021","1"
"P13-1021","N15-1109","1"
"N15-1109","P14-2020","1"
"P14-2020","N15-1109","1"
"P13-1021","P14-2020","4"
"P14-2020","P13-1021","4"
"P11-1049","P16-1188","11"
"P16-1188","P11-1049","11"
"P19-1427","P19-1453","4"
"P19-1453","P19-1427","4"
