"2020.argmining-1.13","2020.coling-main.402","1"
"2020.coling-main.402","2020.argmining-1.13","1"
"D11-1108","Q16-1029","2.53333"
"Q16-1029","D11-1108","2.53333"
"D11-1108","W11-1611","3.33333"
"W11-1611","D11-1108","3.33333"
"D11-1108","W12-3018","2.83333"
"W12-3018","D11-1108","2.83333"
"Q16-1029","W11-1611","1.83333"
"W11-1611","Q16-1029","1.83333"
"Q16-1029","W12-3018","1.83333"
"W12-3018","Q16-1029","1.83333"
"W11-1611","W12-3018","1.33333"
"W12-3018","W11-1611","1.33333"
"D11-1108","Q15-1021","2"
"Q15-1021","D11-1108","2"
"Q15-1021","Q16-1029","40.75"
"Q16-1029","Q15-1021","40.75"
"D11-1108","W11-1610","3.5"
"W11-1610","D11-1108","3.5"
"W11-1610","W11-1611","1.5"
"W11-1611","W11-1610","1.5"
"W11-1610","W12-3018","2.5"
"W12-3018","W11-1610","2.5"
"D11-1108","E17-2037","0.2"
"E17-2037","D11-1108","0.2"
"D11-1108","P15-2097","0.2"
"P15-2097","D11-1108","0.2"
"D11-1108","Q16-1013","0.2"
"Q16-1013","D11-1108","0.2"
"D11-1108","W16-0506","0.2"
"W16-0506","D11-1108","0.2"
"E17-2037","P15-2097","25.6167"
"P15-2097","E17-2037","25.6167"
"E17-2037","Q16-1013","5.45"
"Q16-1013","E17-2037","5.45"
"E17-2037","Q16-1029","1.53333"
"Q16-1029","E17-2037","1.53333"
"E17-2037","W16-0506","2.11667"
"W16-0506","E17-2037","2.11667"
"P15-2097","Q16-1013","6.36667"
"Q16-1013","P15-2097","6.36667"
"P15-2097","Q16-1029","2.11667"
"Q16-1029","P15-2097","2.11667"
"P15-2097","W16-0506","1.78333"
"W16-0506","P15-2097","1.78333"
"Q16-1013","Q16-1029","0.783333"
"Q16-1029","Q16-1013","0.783333"
"Q16-1013","W16-0506","0.783333"
"W16-0506","Q16-1013","0.783333"
"Q16-1029","W16-0506","0.2"
"W16-0506","Q16-1029","0.2"
"D16-1228","E17-2037","4.58333"
"E17-2037","D16-1228","4.58333"
"D16-1228","P15-2097","6"
"P15-2097","D16-1228","6"
"D16-1228","Q16-1029","1.91667"
"Q16-1029","D16-1228","1.91667"
"D16-1228","Q16-1013","3.33333"
"Q16-1013","D16-1228","3.33333"
"D16-1228","Q19-1032","0.333333"
"Q19-1032","D16-1228","0.333333"
"E17-2037","Q19-1032","0.666667"
"Q19-1032","E17-2037","0.666667"
"P15-2097","Q19-1032","0.333333"
"Q19-1032","P15-2097","0.333333"
"D16-1228","W17-5019","0.333333"
"W17-5019","D16-1228","0.333333"
"P15-2097","W17-5019","0.333333"
"W17-5019","P15-2097","0.333333"
"Q16-1013","W17-5019","0.333333"
"W17-5019","Q16-1013","0.333333"
"D16-1228","Q15-1021","0.25"
"Q15-1021","D16-1228","0.25"
"P15-2097","Q15-1021","1.25"
"Q15-1021","P15-2097","1.25"
"Q15-1021","Q16-1013","0.25"
"Q16-1013","Q15-1021","0.25"
"D16-1228","W16-0506","0.25"
"W16-0506","D16-1228","0.25"
"E17-2037","W12-3018","1"
"W12-3018","E17-2037","1"
"E17-2037","W17-5019","0.333333"
"W17-5019","E17-2037","0.333333"
"Q19-1032","W16-0506","0.333333"
"W16-0506","Q19-1032","0.333333"
"Q19-1032","W17-5019","0.333333"
"W17-5019","Q19-1032","0.333333"
"W16-0506","W17-5019","0.333333"
"W17-5019","W16-0506","0.333333"
"E17-2037","W17-5039","0.5"
"W17-5039","E17-2037","0.5"
"Q16-1013","W17-5039","0.5"
"W17-5039","Q16-1013","0.5"
"E17-2037","W18-6105","1"
"W18-6105","E17-2037","1"
"N16-3013","W11-1610","0.5"
"W11-1610","N16-3013","0.5"
"N16-3013","W11-1611","0.5"
"W11-1611","N16-3013","0.5"
"N16-3013","Q16-1029","1"
"Q16-1029","N16-3013","1"
"Q15-1021","W10-0406","1.5"
"W10-0406","Q15-1021","1.5"
"Q16-1029","W10-0406","2.5"
"W10-0406","Q16-1029","2.5"
"Q15-1021","W11-1611","1.5"
"W11-1611","Q15-1021","1.5"
"Q15-1021","W12-3018","1.5"
"W12-3018","Q15-1021","1.5"
"W12-3018","W17-5019","1"
"W17-5019","W12-3018","1"
