"2008.iwslt-evaluation.17","2008.iwslt-evaluation.6","1"
"2008.iwslt-evaluation.6","2008.iwslt-evaluation.17","1"
"2009.mtsummit-posters.25","P08-1064","0.25"
"P08-1064","2009.mtsummit-posters.25","0.25"
"2009.mtsummit-posters.25","P08-2038","0.25"
"P08-2038","2009.mtsummit-posters.25","0.25"
"2009.mtsummit-posters.25","P09-1020","0.25"
"P09-1020","2009.mtsummit-posters.25","0.25"
"2009.mtsummit-posters.25","P09-1036","0.25"
"P09-1036","2009.mtsummit-posters.25","0.25"
"P08-1064","P08-2038","1.08333"
"P08-2038","P08-1064","1.08333"
"P08-1064","P09-1020","10.25"
"P09-1020","P08-1064","10.25"
"P08-1064","P09-1036","2.25"
"P09-1036","P08-1064","2.25"
"P08-2038","P09-1020","0.25"
"P09-1020","P08-2038","0.25"
"P08-2038","P09-1036","0.75"
"P09-1036","P08-2038","0.75"
"P09-1020","P09-1036","0.25"
"P09-1036","P09-1020","0.25"
"C08-1014","P08-1064","1"
"P08-1064","C08-1014","1"
"C08-1014","P08-2040","1"
"P08-2040","C08-1014","1"
"C08-1014","P08-2038","1"
"P08-2038","C08-1014","1"
"C08-1127","P08-1064","1"
"P08-1064","C08-1127","1"
"C08-1127","I08-1066","1"
"I08-1066","C08-1127","1"
"C08-1138","P07-1026","0.333333"
"P07-1026","C08-1138","0.333333"
"C08-1138","P08-1064","8.83333"
"P08-1064","C08-1138","8.83333"
"C08-1138","P08-2038","0.333333"
"P08-2038","C08-1138","0.333333"
"P07-1026","P08-1064","0.833333"
"P08-1064","P07-1026","0.833333"
"P07-1026","P08-2038","0.333333"
"P08-2038","P07-1026","0.333333"
"C08-1138","P09-1020","0.5"
"P09-1020","C08-1138","0.5"
"I08-1066","J10-3009","1"
"J10-3009","I08-1066","1"
"I08-1066","P08-1064","0.5"
"P08-1064","I08-1066","0.5"
"I08-1066","P08-2038","1"
"P08-2038","I08-1066","1"
"I08-1066","P09-1036","1.5"
"P09-1036","I08-1066","1.5"
"P07-1026","P09-1020","0.5"
"P09-1020","P07-1026","0.5"
