"1997.iwpt-1.16","C02-1059","3"
"C02-1059","1997.iwpt-1.16","3"
"2020.lrec-1.854","iida-tokunaga-2014-building","1"
"iida-tokunaga-2014-building","2020.lrec-1.854","1"
"C04-1096","W06-1411","2"
"W06-1411","C04-1096","2"
"C16-1269","W13-4303","1"
"W13-4303","C16-1269","1"
"C96-1012","J98-4002","1"
"J98-4002","C96-1012","1"
"I05-2019","P06-2052","1"
"P06-2052","I05-2019","1"
"I05-2019","I05-4002","1"
"I05-4002","I05-2019","1"
"I05-4002","yoshida-etal-2004-retrieving","1"
"yoshida-etal-2004-retrieving","I05-4002","1"
"I08-1052","P06-2106","1"
"P06-2106","I08-1052","1"
"I11-1010","W12-1633","3.33333"
"W12-1633","I11-1010","3.33333"
"I11-1010","P10-1128","0.833333"
"P10-1128","I11-1010","0.833333"
"I11-1010","tokunaga-etal-2012-rex","0.333333"
"tokunaga-etal-2012-rex","I11-1010","0.333333"
"P10-1128","tokunaga-etal-2012-rex","2.33333"
"tokunaga-etal-2012-rex","P10-1128","2.33333"
"P10-1128","W12-1633","0.833333"
"W12-1633","P10-1128","0.833333"
"tokunaga-etal-2012-rex","W12-1633","0.333333"
"W12-1633","tokunaga-etal-2012-rex","0.333333"
"I11-1010","N15-1031","0.5"
"N15-1031","I11-1010","0.5"
"N15-1031","W12-1633","1.5"
"W12-1633","N15-1031","1.5"
"iida-tokunaga-2014-building","kaplan-etal-2010-annotation","1"
"kaplan-etal-2010-annotation","iida-tokunaga-2014-building","1"
"J98-4002","W96-0105","1"
"W96-0105","J98-4002","1"
"P06-2106","tokunaga-etal-2008-adapting","1"
"tokunaga-etal-2008-adapting","P06-2106","1"
"P10-1128","W09-0618","0.833333"
"W09-0618","P10-1128","0.833333"
"P10-1128","W10-4214","0.833333"
"W10-4214","P10-1128","0.833333"
"W09-0618","W10-4214","0.833333"
"W10-4214","W09-0618","0.833333"
"P10-1128","W10-3206","0.333333"
"W10-3206","P10-1128","0.333333"
"W09-0618","W10-3206","0.333333"
"W10-3206","W09-0618","0.333333"
"W10-3206","W10-4214","0.333333"
"W10-4214","W10-3206","0.333333"
"W06-1411","W09-0618","1"
"W09-0618","W06-1411","1"
"W13-0508","W13-4303","1"
"W13-4303","W13-0508","1"
