"2020.lrec-1.720","2020.semeval-1.3","7"
"2020.semeval-1.3","2020.lrec-1.720","7"
"2020.peoples-1.15","2021.wassa-1.16","2"
"2021.wassa-1.16","2020.peoples-1.15","2"
"2020.vardial-1.1","W17-1201","2.23333"
"W17-1201","2020.vardial-1.1","2.23333"
"2020.vardial-1.1","W18-3901","2.03333"
"W18-3901","2020.vardial-1.1","2.03333"
"W17-1201","W18-3901","15.0667"
"W18-3901","W17-1201","15.0667"
"2020.vardial-1.1","W16-4801","0.7"
"W16-4801","2020.vardial-1.1","0.7"
"W16-4801","W17-1201","22.8762"
"W17-1201","W16-4801","22.8762"
"W16-4801","W18-3901","8.11667"
"W18-3901","W16-4801","8.11667"
"2020.vardial-1.1","C16-1322","2.03333"
"C16-1322","2020.vardial-1.1","2.03333"
"C16-1322","W17-1201","0.7"
"W17-1201","C16-1322","0.7"
"C16-1322","W18-3901","0.7"
"W18-3901","C16-1322","0.7"
"2020.vardial-1.1","W14-5307","0.566667"
"W14-5307","2020.vardial-1.1","0.566667"
"2020.vardial-1.1","W15-5401","0.366667"
"W15-5401","2020.vardial-1.1","0.366667"
"C16-1322","W14-5307","0.366667"
"W14-5307","C16-1322","0.366667"
"C16-1322","W15-5401","0.166667"
"W15-5401","C16-1322","0.166667"
"C16-1322","W16-4801","0.166667"
"W16-4801","C16-1322","0.166667"
"W14-5307","W15-5401","19.4595"
"W15-5401","W14-5307","19.4595"
"W14-5307","W16-4801","17.6262"
"W16-4801","W14-5307","17.6262"
"W14-5307","W17-1201","6.40952"
"W17-1201","W14-5307","6.40952"
"W14-5307","W18-3901","3.31667"
"W18-3901","W14-5307","3.31667"
"W15-5401","W16-4801","15.2929"
"W16-4801","W15-5401","15.2929"
"W15-5401","W17-1201","6.20952"
"W17-1201","W15-5401","6.20952"
"W15-5401","W18-3901","3.78333"
"W18-3901","W15-5401","3.78333"
"2020.vardial-1.1","2020.vardial-1.19","1.66667"
"2020.vardial-1.19","2020.vardial-1.1","1.66667"
"2020.vardial-1.1","W14-0405","0.333333"
"W14-0405","2020.vardial-1.1","0.333333"
"2020.vardial-1.1","W19-3704","0.333333"
"W19-3704","2020.vardial-1.1","0.333333"
"2020.vardial-1.19","W14-0405","0.333333"
"W14-0405","2020.vardial-1.19","0.333333"
"2020.vardial-1.19","W19-3704","0.333333"
"W19-3704","2020.vardial-1.19","0.333333"
"W14-0405","W19-3704","0.333333"
"W19-3704","W14-0405","0.333333"
"2020.vardial-1.1","2021.bsnlp-1.5","0.333333"
"2021.bsnlp-1.5","2020.vardial-1.1","0.333333"
"2020.vardial-1.19","2021.bsnlp-1.5","0.333333"
"2021.bsnlp-1.5","2020.vardial-1.19","0.333333"
"2020.vardial-1.19","C16-1322","0.333333"
"C16-1322","2020.vardial-1.19","0.333333"
"2021.bsnlp-1.5","C16-1322","0.333333"
"C16-1322","2021.bsnlp-1.5","0.333333"
"2020.vardial-1.1","C12-1160","1.2"
"C12-1160","2020.vardial-1.1","1.2"
"2020.vardial-1.1","2021.vardial-1.16","0.2"
"2021.vardial-1.16","2020.vardial-1.1","0.2"
"2021.vardial-1.16","C16-1322","0.2"
"C16-1322","2021.vardial-1.16","0.2"
"2021.vardial-1.16","W14-5307","0.2"
"W14-5307","2021.vardial-1.16","0.2"
"2021.vardial-1.16","W17-1201","0.2"
"W17-1201","2021.vardial-1.16","0.2"
"2021.vardial-1.16","W18-3901","0.2"
"W18-3901","2021.vardial-1.16","0.2"
"C12-1160","W14-5307","10.4833"
"W14-5307","C12-1160","10.4833"
"C12-1160","W15-5401","7.15"
"W15-5401","C12-1160","7.15"
"C12-1160","W16-4801","6.15"
"W16-4801","C12-1160","6.15"
"C12-1160","W17-1201","1.23333"
"W17-1201","C12-1160","1.23333"
"2020.vardial-1.19","W16-4801","0.5"
"W16-4801","2020.vardial-1.19","0.5"
"2020.vardial-1.19","W17-1201","0.5"
"W17-1201","2020.vardial-1.19","0.5"
"agic-ljubesic-2014-setimes","L16-1676","1"
"L16-1676","agic-ljubesic-2014-setimes","1"
"agic-ljubesic-2014-setimes","R15-1050","0.5"
"R15-1050","agic-ljubesic-2014-setimes","0.5"
"agic-ljubesic-2014-setimes","W13-2408","1.5"
"W13-2408","agic-ljubesic-2014-setimes","1.5"
"R15-1050","W13-2408","0.75"
"W13-2408","R15-1050","0.75"
"agic-ljubesic-2014-setimes","W14-0405","1"
"W14-0405","agic-ljubesic-2014-setimes","1"
"W13-2408","W14-0405","4.08333"
"W14-0405","W13-2408","4.08333"
"agic-ljubesic-2014-setimes","C12-1160","0.5"
"C12-1160","agic-ljubesic-2014-setimes","0.5"
"C12-1160","W13-2408","0.5"
"W13-2408","C12-1160","0.5"
"agic-ljubesic-2014-setimes","L16-1471","0.5"
"L16-1471","agic-ljubesic-2014-setimes","0.5"
"L16-1471","W14-0405","0.5"
"W14-0405","L16-1471","0.5"
"C12-1160","W18-3901","0.783333"
"W18-3901","C12-1160","0.783333"
"C12-1160","L16-1676","0.5"
"L16-1676","C12-1160","0.5"
"C12-1160","W15-5301","0.5"
"W15-5301","C12-1160","0.5"
"L16-1676","W15-5301","1.83333"
"W15-5301","L16-1676","1.83333"
"espla-gomis-etal-2014-comparing","L16-1471","1"
"L16-1471","espla-gomis-etal-2014-comparing","1"
"espla-gomis-etal-2014-comparing","W13-2408","0.5"
"W13-2408","espla-gomis-etal-2014-comparing","0.5"
"espla-gomis-etal-2014-comparing","W14-0405","1.83333"
"W14-0405","espla-gomis-etal-2014-comparing","1.83333"
"espla-gomis-etal-2014-comparing","ljubesic-etal-2014-tweetcat","0.333333"
"ljubesic-etal-2014-tweetcat","espla-gomis-etal-2014-comparing","0.333333"
"espla-gomis-etal-2014-comparing","ljubesic-toral-2014-cawac","0.333333"
"ljubesic-toral-2014-cawac","espla-gomis-etal-2014-comparing","0.333333"
"espla-gomis-etal-2014-comparing","rubino-etal-2014-quality","0.333333"
"rubino-etal-2014-quality","espla-gomis-etal-2014-comparing","0.333333"
"espla-gomis-etal-2014-comparing","W15-3022","0.333333"
"W15-3022","espla-gomis-etal-2014-comparing","0.333333"
"espla-gomis-etal-2014-comparing","W16-3421","0.333333"
"W16-3421","espla-gomis-etal-2014-comparing","0.333333"
"ljubesic-etal-2014-tweetcat","ljubesic-toral-2014-cawac","0.333333"
"ljubesic-toral-2014-cawac","ljubesic-etal-2014-tweetcat","0.333333"
"ljubesic-etal-2014-tweetcat","rubino-etal-2014-quality","0.333333"
"rubino-etal-2014-quality","ljubesic-etal-2014-tweetcat","0.333333"
"ljubesic-etal-2014-tweetcat","W14-0405","0.833333"
"W14-0405","ljubesic-etal-2014-tweetcat","0.833333"
"ljubesic-etal-2014-tweetcat","W15-3022","0.333333"
"W15-3022","ljubesic-etal-2014-tweetcat","0.333333"
"ljubesic-etal-2014-tweetcat","W16-3421","0.333333"
"W16-3421","ljubesic-etal-2014-tweetcat","0.333333"
