"2020.lrec-1.330","2020.starsem-1.5","1"
"D14-1096","I13-1177","1.5"
"I13-1177","D14-1096","1.5"
"D14-1096","P13-2112","0.5"
"P13-2112","D14-1096","0.5"
"I13-1177","P13-2112","1.5"
"P13-2112","I13-1177","1.5"
"D14-1096","P15-2139","1"
"P15-2139","D14-1096","1"
"D14-1189","J09-1005","1.66667"
"J09-1005","D14-1189","1.66667"
"D14-1189","E14-1050","1.33333"
"E14-1050","D14-1189","1.33333"
"D14-1189","S13-1039","1.16667"
"S13-1039","D14-1189","1.16667"
"E14-1050","J09-1005","1.16667"
"J09-1005","E14-1050","1.16667"
"E14-1050","S13-1039","6.83333"
"S13-1039","E14-1050","6.83333"
"J09-1005","S13-1039","1.66667"
"S13-1039","J09-1005","1.66667"
"D14-1189","N15-1099","0.5"
"N15-1099","D14-1189","0.5"
"E14-1050","N15-1099","4.83333"
"N15-1099","E14-1050","4.83333"
"D14-1189","W16-1817","0.333333"
"W16-1817","D14-1189","0.333333"
"J09-1005","W16-1817","3.33333"
"W16-1817","J09-1005","3.33333"
"S13-1039","W16-1817","0.833333"
"W16-1817","S13-1039","0.833333"
"D15-1040","P15-2139","6"
"P15-2139","D15-1040","6"
"D15-1040","K15-1012","1"
"K15-1012","D15-1040","1"
"E14-1050","W15-0909","1.83333"
"W15-0909","E14-1050","1.83333"
"N15-1099","S13-1039","1"
"S13-1039","N15-1099","1"
"N15-1099","W15-0909","2.66667"
"W15-0909","N15-1099","2.66667"
"S13-1039","W15-0909","1.5"
"W15-0909","S13-1039","1.5"
"J09-1005","N15-1099","3.16667"
"N15-1099","J09-1005","3.16667"
"J09-1005","W15-0909","0.666667"
"W15-0909","J09-1005","0.666667"
"E14-1050","W07-1106","0.5"
"W07-1106","E14-1050","0.5"
"N15-1099","W07-1106","1.83333"
"W07-1106","N15-1099","1.83333"
"E14-1050","W06-1207","2"
"W06-1207","E14-1050","2"
"S13-1039","W06-1207","1"
"W06-1207","S13-1039","1"
"E14-1050","S17-1006","0.5"
"S17-1006","E14-1050","0.5"
"N15-1099","S17-1006","0.5"
"S17-1006","N15-1099","0.5"
"I13-1041","L16-1042","0.5"
"L16-1042","I13-1041","0.5"
"I13-1041","W14-5315","0.5"
"W14-5315","I13-1041","0.5"
"L16-1042","W14-5315","0.5"
"W14-5315","L16-1042","0.5"
"I13-1041","S13-1036","2"
"S13-1036","I13-1041","2"
"J09-1005","W07-1106","13.8333"
"W07-1106","J09-1005","13.8333"
"J09-1005","P18-2055","0.5"
"P18-2055","J09-1005","0.5"
"P18-2055","W16-1817","0.5"
"W16-1817","P18-2055","0.5"
"J09-1005","W06-1207","2.5"
"W06-1207","J09-1005","2.5"
"W07-1106","W15-0909","0.333333"
"W15-0909","W07-1106","0.333333"
"J09-1005","P14-1025","0.5"
"P14-1025","J09-1005","0.5"
"N15-1099","P14-1025","0.5"
"P14-1025","N15-1099","0.5"
"W06-1207","W07-1106","0.5"
"W07-1106","W06-1207","0.5"
"K15-1012","P15-2139","4"
"P15-2139","K15-1012","4"
"L18-1653","P15-2139","1"
"P15-2139","L18-1653","1"
"N15-1099","W06-1207","1"
"W06-1207","N15-1099","1"
"N15-1099","W18-4920","1"
"W18-4920","N15-1099","1"
"P13-2112","U13-1003","1"
"U13-1003","P13-2112","1"
"P14-1025","Y11-1028","2"
"Y11-1028","P14-1025","2"
"P14-1025","W16-1817","1"
"W16-1817","P14-1025","1"
"S13-1030","S13-1039","2"
"S13-1039","S13-1030","2"
"S17-1006","W18-4920","1"
"W18-4920","S17-1006","1"
"U13-1003","W14-5315","5"
"W14-5315","U13-1003","5"
