"2020.coling-main.253","P19-1339","1"
"P19-1339","2020.coling-main.253","1"
"banea-etal-2008-bootstrapping","P07-1123","7.25"
"P07-1123","banea-etal-2008-bootstrapping","7.25"
"banea-etal-2008-bootstrapping","P12-4004","1"
"P12-4004","banea-etal-2008-bootstrapping","1"
"banea-etal-2008-bootstrapping","perez-rosas-etal-2012-learning","1.33333"
"perez-rosas-etal-2012-learning","banea-etal-2008-bootstrapping","1.33333"
"P12-4004","perez-rosas-etal-2012-learning","1"
"perez-rosas-etal-2012-learning","P12-4004","1"
"banea-etal-2008-bootstrapping","C10-1004","3.75"
"C10-1004","banea-etal-2008-bootstrapping","3.75"
"C10-1004","P07-1123","11.25"
"P07-1123","C10-1004","11.25"
"C10-1004","perez-rosas-etal-2012-learning","0.333333"
"perez-rosas-etal-2012-learning","C10-1004","0.333333"
"P07-1123","perez-rosas-etal-2012-learning","4.33333"
"perez-rosas-etal-2012-learning","P07-1123","4.33333"
"banea-etal-2008-bootstrapping","D08-1014","1.41667"
"D08-1014","banea-etal-2008-bootstrapping","1.41667"
"C10-1004","D08-1014","6.91667"
"D08-1014","C10-1004","6.91667"
"D08-1014","P07-1123","30.9167"
"P07-1123","D08-1014","30.9167"
"banea-etal-2008-bootstrapping","W11-0104","0.25"
"W11-0104","banea-etal-2008-bootstrapping","0.25"
"C10-1004","W11-0104","1.75"
"W11-0104","C10-1004","1.75"
"D08-1014","W11-0104","0.75"
"W11-0104","D08-1014","0.75"
"P07-1123","W11-0104","0.25"
"W11-0104","P07-1123","0.25"
"D08-1014","perez-rosas-etal-2012-learning","1"
"perez-rosas-etal-2012-learning","D08-1014","1"
"D08-1014","S13-1032","1"
"S13-1032","D08-1014","1"
"S12-1094","S14-2010","0.333333"
"S14-2010","S12-1094","0.333333"
"S12-1094","S15-2045","0.333333"
"S15-2045","S12-1094","0.333333"
"S12-1094","S16-1081","0.333333"
"S16-1081","S12-1094","0.333333"
"S14-2010","S15-2045","30.3333"
"S15-2045","S14-2010","30.3333"
"S14-2010","S16-1081","38.3333"
"S16-1081","S14-2010","38.3333"
"S15-2045","S16-1081","9.33333"
"S16-1081","S15-2045","9.33333"
