"2009.iwslt-papers.2","W08-0403","1"
"W08-0403","2009.iwslt-papers.2","1"
"2020.acl-main.413","K16-1028","1"
"K16-1028","2020.acl-main.413","1"
"2020.acl-main.413","2020.emnlp-main.439","1"
"2020.emnlp-main.439","2020.acl-main.413","1"
"2021.eacl-main.26","D19-1599","1"
"D19-1599","2021.eacl-main.26","1"
"C16-1164","P17-1053","8.5"
"P17-1053","C16-1164","8.5"
"C16-1164","D19-1599","0.5"
"D19-1599","C16-1164","0.5"
"D19-1599","P17-1053","0.5"
"P17-1053","D19-1599","0.5"
"C16-1164","P16-1044","2"
"P16-1044","C16-1164","2"
"C16-1164","Q16-1019","1"
"Q16-1019","C16-1164","1"
"C16-1164","P15-1061","1"
"P15-1061","C16-1164","1"
"D13-1048","P13-1124","1"
"P13-1124","D13-1048","1"
"D18-1096","P19-1640","5"
"P19-1640","D18-1096","5"
"D19-1599","K16-1028","1"
"K16-1028","D19-1599","1"
"K16-1028","P16-1044","2"
"P16-1044","K16-1028","2"
"N07-1029","P13-1081","2"
"P13-1081","N07-1029","2"
"N16-1063","P15-2029","1"
"P15-2029","N16-1063","1"
"P15-1061","P17-1053","1"
"P17-1053","P15-1061","1"
"P15-1061","Q16-1019","2"
"Q16-1019","P15-1061","2"
"P15-1061","P15-2029","1"
"P15-2029","P15-1061","1"
"P15-2029","P16-1044","1"
"P16-1044","P15-2029","1"
"P16-1044","Q16-1019","5"
"Q16-1019","P16-1044","5"
