"2020.iwltp-1.15","2020.lrec-1.413","2"
"2020.lrec-1.413","2020.iwltp-1.15","2"
"aker-etal-2017-simple","C18-1284","1.08333"
"C18-1284","aker-etal-2017-simple","1.08333"
"aker-etal-2017-simple","S19-2147","3.08333"
"S19-2147","aker-etal-2017-simple","3.08333"
"C18-1284","S19-2147","4.25"
"S19-2147","C18-1284","4.25"
"aker-etal-2017-simple","P16-2064","1.83333"
"P16-2064","aker-etal-2017-simple","1.83333"
"aker-etal-2017-simple","D15-1311","0.5"
"D15-1311","aker-etal-2017-simple","0.5"
"D15-1311","P16-2064","1.5"
"P16-2064","D15-1311","1.5"
"aker-etal-2017-simple","D16-1084","1.91667"
"D16-1084","aker-etal-2017-simple","1.91667"
"C18-1284","D16-1084","0.583333"
"D16-1084","C18-1284","0.583333"
"C18-1284","P16-2064","1.33333"
"P16-2064","C18-1284","1.33333"
"D16-1084","P16-2064","4.33333"
"P16-2064","D16-1084","4.33333"
"aker-etal-2017-simple","S17-2006","0.583333"
"S17-2006","aker-etal-2017-simple","0.583333"
"D16-1084","S17-2006","0.583333"
"S17-2006","D16-1084","0.583333"
"D16-1084","S19-2147","2.58333"
"S19-2147","D16-1084","2.58333"
"S17-2006","S19-2147","4.08333"
"S19-2147","S17-2006","4.08333"
"C18-1284","S17-2006","2.75"
"S17-2006","C18-1284","2.75"
"C16-1111","W15-4306","1"
"W15-4306","C16-1111","1"
"C16-1111","E14-2025","0.333333"
"E14-2025","C16-1111","0.333333"
"C16-1111","R13-1026","0.333333"
"R13-1026","C16-1111","0.333333"
"C16-1111","R15-1018","0.333333"
"R15-1018","C16-1111","0.333333"
"E14-2025","R13-1026","0.333333"
"R13-1026","E14-2025","0.333333"
"E14-2025","R15-1018","0.333333"
"R15-1018","E14-2025","0.333333"
"R13-1026","R15-1018","0.333333"
"R15-1018","R13-1026","0.333333"
"D15-1311","D16-1084","2"
"D16-1084","D15-1311","2"
"D15-1311","W15-4306","1"
"W15-4306","D15-1311","1"
"D15-1311","R13-1011","0.5"
"R13-1011","D15-1311","0.5"
"P16-2064","R13-1011","0.5"
"R13-1011","P16-2064","0.5"
"D15-1311","P15-2085","1"
"P15-2085","D15-1311","1"
"D15-1311","S16-1063","0.5"
"S16-1063","D15-1311","0.5"
"P16-2064","S16-1063","1"
"S16-1063","P16-2064","1"
"D15-1311","S19-2147","1"
"S19-2147","D15-1311","1"
"D16-1084","P02-1022","1"
"P02-1022","D16-1084","1"
"E03-2009","W05-0610","1"
"W05-0610","E03-2009","1"
"E14-2025","R13-1011","0.5"
"R13-1011","E14-2025","0.5"
"E14-2025","sabou-etal-2014-corpus","1"
"sabou-etal-2014-corpus","E14-2025","1"
"R13-1011","sabou-etal-2014-corpus","0.5"
"sabou-etal-2014-corpus","R13-1011","0.5"
"E14-2025","E14-4014","0.5"
"E14-4014","E14-2025","0.5"
"E14-4014","sabou-etal-2014-corpus","0.5"
"sabou-etal-2014-corpus","E14-4014","0.5"
"E14-4014","P02-1022","0.25"
"P02-1022","E14-4014","0.25"
"E14-4014","R13-1011","0.25"
"R13-1011","E14-4014","0.25"
"E14-4014","R13-1015","0.25"
"R13-1015","E14-4014","0.25"
"E14-4014","R13-1026","0.25"
"R13-1026","E14-4014","0.25"
"P02-1022","R13-1011","3.25"
"R13-1011","P02-1022","3.25"
"P02-1022","R13-1015","0.25"
"R13-1015","P02-1022","0.25"
"P02-1022","R13-1026","1.25"
"R13-1026","P02-1022","1.25"
"R13-1011","R13-1015","0.25"
"R13-1015","R13-1011","0.25"
"R13-1011","R13-1026","2.25"
"R13-1026","R13-1011","2.25"
"R13-1015","R13-1026","0.25"
"R13-1026","R13-1015","0.25"
"L16-1729","P16-2064","0.5"
"P16-2064","L16-1729","0.5"
"L16-1729","S16-1063","0.5"
"S16-1063","L16-1729","0.5"
"P02-1022","W05-0610","1"
"W05-0610","P02-1022","1"
"P02-1022","P13-4004","1"
"P13-4004","P02-1022","1"
