"2020.acl-main.185","2021.eacl-main.95","1"
"2021.eacl-main.95","2020.acl-main.185","1"
"2020.acl-main.308","D18-1389","0.416667"
"D18-1389","2020.acl-main.308","0.416667"
"2020.acl-main.308","D19-3038","0.416667"
"D19-3038","2020.acl-main.308","0.416667"
"2020.acl-main.308","N19-1216","0.416667"
"N19-1216","2020.acl-main.308","0.416667"
"2020.acl-main.308","S19-2182","0.25"
"S19-2182","2020.acl-main.308","0.25"
"D18-1389","D19-3038","1.45"
"D19-3038","D18-1389","1.45"
"D18-1389","N19-1216","6.95"
"N19-1216","D18-1389","6.95"
"D18-1389","S19-2182","0.833333"
"S19-2182","D18-1389","0.833333"
"D19-3038","N19-1216","1.11667"
"N19-1216","D19-3038","1.11667"
"D19-3038","S19-2182","0.583333"
"S19-2182","D19-3038","0.583333"
"N19-1216","S19-2182","1.5"
"S19-2182","N19-1216","1.5"
"2020.acl-main.308","D19-1452","0.166667"
"D19-1452","2020.acl-main.308","0.166667"
"2020.acl-main.308","N18-1070","0.166667"
"N18-1070","2020.acl-main.308","0.166667"
"2020.acl-main.308","N18-2004","0.166667"
"N18-2004","2020.acl-main.308","0.166667"
"D18-1389","D19-1452","0.616667"
"D19-1452","D18-1389","0.616667"
"D18-1389","N18-1070","1.7"
"N18-1070","D18-1389","1.7"
"D18-1389","N18-2004","3.53333"
"N18-2004","D18-1389","3.53333"
"D19-1452","D19-3038","0.366667"
"D19-3038","D19-1452","0.366667"
"D19-1452","N18-1070","2.61667"
"N18-1070","D19-1452","2.61667"
"D19-1452","N18-2004","2.61667"
"N18-2004","D19-1452","2.61667"
"D19-1452","N19-1216","0.616667"
"N19-1216","D19-1452","0.616667"
"D19-3038","N18-1070","0.616667"
"N18-1070","D19-3038","0.616667"
"D19-3038","N18-2004","0.95"
"N18-2004","D19-3038","0.95"
"N18-1070","N18-2004","5.95"
"N18-2004","N18-1070","5.95"
"N18-1070","N19-1216","1.2"
"N19-1216","N18-1070","1.2"
"N18-2004","N19-1216","2.2"
"N19-1216","N18-2004","2.2"
"2020.acl-main.422","P17-1080","1.25"
"P17-1080","2020.acl-main.422","1.25"
"2020.acl-main.422","Q19-1004","2.25"
"Q19-1004","2020.acl-main.422","2.25"
"2020.acl-main.422","2020.cl-1.1","0.75"
"2020.cl-1.1","2020.acl-main.422","0.75"
"2020.acl-main.422","I17-1001","0.75"
"I17-1001","2020.acl-main.422","0.75"
"2020.cl-1.1","I17-1001","0.75"
"I17-1001","2020.cl-1.1","0.75"
"2020.cl-1.1","P17-1080","1.25"
"P17-1080","2020.cl-1.1","1.25"
"2020.cl-1.1","Q19-1004","0.25"
"Q19-1004","2020.cl-1.1","0.25"
"I17-1001","P17-1080","19.0833"
"P17-1080","I17-1001","19.0833"
"I17-1001","Q19-1004","5.58333"
"Q19-1004","I17-1001","5.58333"
"P17-1080","Q19-1004","10.5833"
"Q19-1004","P17-1080","10.5833"
"D13-1019","P12-1005","0.5"
"P12-1005","D13-1019","0.5"
"D13-1019","W04-2902","0.5"
"W04-2902","D13-1019","0.5"
"P12-1005","W04-2902","0.5"
"W04-2902","P12-1005","0.5"
"N18-1070","S19-2182","0.25"
"S19-2182","N18-1070","0.25"
"N18-2004","S19-2182","0.583333"
"S19-2182","N18-2004","0.583333"
"D18-1389","N19-4014","0.5"
"N19-4014","D18-1389","0.5"
"N18-2004","N19-4014","0.75"
"N19-4014","N18-2004","0.75"
"D19-3038","D19-6603","0.25"
"D19-6603","D19-3038","0.25"
"D19-3038","N19-4014","0.25"
"N19-4014","D19-3038","0.25"
"D19-6603","N18-1070","1.25"
"N18-1070","D19-6603","1.25"
"D19-6603","N18-2004","0.25"
"N18-2004","D19-6603","0.25"
"D19-6603","N19-4014","0.25"
"N19-4014","D19-6603","0.25"
"N18-1070","N19-4014","0.25"
"N19-4014","N18-1070","0.25"
"E09-1011","P08-2039","2"
"P08-2039","E09-1011","2"
"H05-2015","W04-2902","0.5"
"W04-2902","H05-2015","0.5"
"H05-2015","W06-1644","0.5"
"W06-1644","H05-2015","0.5"
"W04-2902","W06-1644","0.5"
"W06-1644","W04-2902","0.5"
"H89-1027","H89-2018","3.08333"
"H89-2018","H89-1027","3.08333"
"H89-1027","H89-2022","2.33333"
"H89-2022","H89-1027","2.33333"
"H89-2018","H89-2022","1.16667"
"H89-2022","H89-2018","1.16667"
"H89-1027","H89-2008","1.58333"
"H89-2008","H89-1027","1.58333"
"H89-2008","H89-2022","0.833333"
"H89-2022","H89-2008","0.833333"
"H89-2008","H89-2018","2.08333"
"H89-2018","H89-2008","2.08333"
"H89-1027","H90-1028","0.25"
"H90-1028","H89-1027","0.25"
"H89-1027","H90-1074","0.25"
"H90-1074","H89-1027","0.25"
"H89-2008","H90-1028","0.25"
"H90-1028","H89-2008","0.25"
"H89-2008","H90-1074","0.25"
"H90-1074","H89-2008","0.25"
"H89-2018","H90-1028","0.25"
"H90-1028","H89-2018","0.25"
"H89-2018","H90-1074","0.25"
"H90-1074","H89-2018","0.25"
"H90-1028","H90-1074","0.75"
"H90-1074","H90-1028","0.75"
"H89-1027","H90-1043","1"
"H90-1043","H89-1027","1"
"H89-1027","H91-1014","2"
"H91-1014","H89-1027","2"
"H89-1027","H92-1016","0.5"
"H92-1016","H89-1027","0.5"
"H91-1014","H92-1016","0.833333"
"H92-1016","H91-1014","0.833333"
"H89-2018","H91-1014","0.833333"
"H91-1014","H89-2018","0.833333"
"H89-2018","H92-1016","0.333333"
"H92-1016","H89-2018","0.333333"
"H89-2022","H91-1014","0.333333"
"H91-1014","H89-2022","0.333333"
"H89-2022","H92-1016","0.333333"
"H92-1016","H89-2022","0.333333"
"H89-2022","H90-1028","1"
"H90-1028","H89-2022","1"
"H90-1028","H90-1043","0.5"
"H90-1043","H90-1028","0.5"
"H90-1043","H90-1074","0.5"
"H90-1074","H90-1043","0.5"
"H90-1028","H91-1014","1"
"H91-1014","H90-1028","1"
"H91-1011","H91-1014","2"
"H91-1014","H91-1011","2"
"I17-1001","N18-2082","2.83333"
"N18-2082","I17-1001","2.83333"
"N18-2082","P17-1080","3.83333"
"P17-1080","N18-2082","3.83333"
"N18-2082","Q19-1004","0.333333"
"Q19-1004","N18-2082","0.333333"
"P07-1064","W06-1644","3"
"W06-1644","P07-1064","3"
"P07-1064","P12-1005","1"
