"2003.mtsummit-papers.30","2003.mtsummit-papers.41","1"
"2003.mtsummit-papers.41","2003.mtsummit-papers.30","1"
"2005.tc-1.3","estrella-etal-2008-improving","1"
"estrella-etal-2008-improving","2005.tc-1.3","1"
"2012.amta-caas14.1","2012.amta-papers.20","1.53333"
"2012.amta-papers.20","2012.amta-caas14.1","1.53333"
"2012.amta-caas14.1","popescu-belis-etal-2012-discourse","0.533333"
"popescu-belis-etal-2012-discourse","2012.amta-caas14.1","0.533333"
"2012.amta-caas14.1","W11-1211","0.2"
"W11-1211","2012.amta-caas14.1","0.2"
"2012.amta-caas14.1","W12-0117","0.2"
"W12-0117","2012.amta-caas14.1","0.2"
"2012.amta-caas14.1","W16-2345","0.2"
"W16-2345","2012.amta-caas14.1","0.2"
"2012.amta-papers.20","popescu-belis-etal-2012-discourse","1.03333"
"popescu-belis-etal-2012-discourse","2012.amta-papers.20","1.03333"
"2012.amta-papers.20","W11-1211","2.2"
"W11-1211","2012.amta-papers.20","2.2"
"2012.amta-papers.20","W12-0117","3.7"
"W12-0117","2012.amta-papers.20","3.7"
"2012.amta-papers.20","W16-2345","0.2"
"W16-2345","2012.amta-papers.20","0.2"
"popescu-belis-etal-2012-discourse","W11-1211","2.2"
"W11-1211","popescu-belis-etal-2012-discourse","2.2"
"popescu-belis-etal-2012-discourse","W12-0117","2.7"
"W12-0117","popescu-belis-etal-2012-discourse","2.7"
"popescu-belis-etal-2012-discourse","W16-2345","0.2"
"W16-2345","popescu-belis-etal-2012-discourse","0.2"
"W11-1211","W12-0117","1.2"
"W12-0117","W11-1211","1.2"
"W11-1211","W16-2345","0.2"
"W16-2345","W11-1211","0.2"
"W12-0117","W16-2345","0.2"
"W16-2345","W12-0117","0.2"
"2012.amta-caas14.1","W11-2022","0.333333"
"W11-2022","2012.amta-caas14.1","0.333333"
"2012.amta-papers.20","W11-2022","1.33333"
"W11-2022","2012.amta-papers.20","1.33333"
"popescu-belis-etal-2012-discourse","W11-2022","0.333333"
"W11-2022","popescu-belis-etal-2012-discourse","0.333333"
"2012.amta-papers.20","loaiciga-etal-2014-english","1.5"
"loaiciga-etal-2014-english","2012.amta-papers.20","1.5"
"loaiciga-etal-2014-english","W12-0117","1.75"
"W12-0117","loaiciga-etal-2014-english","1.75"
"2012.amta-papers.20","W17-4802","1"
"W17-4802","2012.amta-papers.20","1"
"W11-2022","W12-0117","4.75"
"W12-0117","W11-2022","4.75"
"2012.amta-papers.20","W13-3305","0.5"
"W13-3305","2012.amta-papers.20","0.5"
"W11-1211","W13-3305","0.5"
"W13-3305","W11-1211","0.5"
"bunt-etal-2010-towards","bunt-etal-2012-iso","8"
"bunt-etal-2012-iso","bunt-etal-2010-towards","8"
"bunt-etal-2012-iso","P11-4014","0.5"
"P11-4014","bunt-etal-2012-iso","0.5"
"bunt-etal-2012-iso","W04-2328","0.5"
"W04-2328","bunt-etal-2012-iso","0.5"
"P11-4014","W04-2328","0.5"
"W04-2328","P11-4014","0.5"
"C98-2167","lisowska-etal-2004-user","0.333333"
"lisowska-etal-2004-user","C98-2167","0.333333"
"C98-2167","P98-2172","0.333333"
"P98-2172","C98-2167","0.333333"
"C98-2167","popescu-belis-etal-2004-building","0.333333"
"popescu-belis-etal-2004-building","C98-2167","0.333333"
"lisowska-etal-2004-user","P98-2172","0.333333"
"P98-2172","lisowska-etal-2004-user","0.333333"
"lisowska-etal-2004-user","popescu-belis-etal-2004-building","0.333333"
"popescu-belis-etal-2004-building","lisowska-etal-2004-user","0.333333"
"P98-2172","popescu-belis-etal-2004-building","0.333333"
"popescu-belis-etal-2004-building","P98-2172","0.333333"
"E17-1089","I17-1102","0.2"
"I17-1102","E17-1089","0.2"
"E17-1089","N18-1124","0.2"
"N18-1124","E17-1089","0.2"
"E17-1089","W12-0117","0.2"
"W12-0117","E17-1089","0.2"
"E17-1089","W17-1505","0.2"
"W17-1505","E17-1089","0.2"
"E17-1089","W17-4802","0.2"
"W17-4802","E17-1089","0.2"
"I17-1102","N18-1124","0.2"
"N18-1124","I17-1102","0.2"
"I17-1102","W12-0117","0.2"
"W12-0117","I17-1102","0.2"
"I17-1102","W17-1505","0.2"
"W17-1505","I17-1102","0.2"
"I17-1102","W17-4802","0.2"
"W17-4802","I17-1102","0.2"
"N18-1124","W12-0117","0.2"
"W12-0117","N18-1124","0.2"
"N18-1124","W17-1505","0.2"
"W17-1505","N18-1124","0.2"
"N18-1124","W17-4802","0.2"
"W17-4802","N18-1124","0.2"
"W12-0117","W17-1505","0.2"
"W17-1505","W12-0117","0.2"
"W12-0117","W17-4802","0.2"
"W17-4802","W12-0117","0.2"
"W17-1505","W17-4802","0.2"
"W17-4802","W17-1505","0.2"
"E17-1089","P15-3002","1"
"P15-3002","E17-1089","1"
"E17-2100","W16-2202","0.833333"
"W16-2202","E17-2100","0.833333"
"E17-2100","W17-4802","0.5"
"W17-4802","E17-2100","0.5"
"W16-2202","W17-4802","0.5"
"W17-4802","W16-2202","0.5"
"E17-2100","W15-2513","0.333333"
"W15-2513","E17-2100","0.333333"
"E17-2100","W16-2345","0.833333"
"W16-2345","E17-2100","0.833333"
"W15-2513","W16-2202","0.333333"
"W16-2202","W15-2513","0.333333"
"W15-2513","W16-2345","1.33333"
"W16-2345","W15-2513","1.33333"
"W16-2202","W16-2345","0.333333"
"W16-2345","W16-2202","0.333333"
"E17-2100","W17-1505","0.5"
"W17-1505","E17-2100","0.5"
"W16-2345","W17-1505","0.5"
"W17-1505","W16-2345","0.5"
"E17-2100","loaiciga-etal-2014-english","0.25"
"loaiciga-etal-2014-english","E17-2100","0.25"
"E17-2100","W11-2022","0.25"
"W11-2022","E17-2100","0.25"
"E17-2100","W12-0117","0.25"
"W12-0117","E17-2100","0.25"
"E17-2100","W16-3416","0.25"
"W16-3416","E17-2100","0.25"
"loaiciga-etal-2014-english","W11-2022","0.25"
"W11-2022","loaiciga-etal-2014-english","0.25"
"loaiciga-etal-2014-english","W16-3416","0.25"
"W16-3416","loaiciga-etal-2014-english","0.25"
"W11-2022","W16-3416","0.25"
"W16-3416","W11-2022","0.25"
"W12-0117","W16-3416","0.25"
"W16-3416","W12-0117","0.25"
"lisowska-etal-2004-user","W04-2328","1"
"W04-2328","lisowska-etal-2004-user","1"
