"2020.aacl-main.48","K19-1039","1"
"K19-1039","2020.aacl-main.48","1"
"C08-2019","W02-1011","2"
"W02-1011","C08-2019","2"
"C08-2019","P04-1035","1"
"P04-1035","C08-2019","1"
"D19-1204","P19-1443","7"
"P19-1443","D19-1204","7"
"N10-1056","P04-1035","1"
"P04-1035","N10-1056","1"
"P04-1035","W02-1011","123.333"
"W02-1011","P04-1035","123.333"
"P04-1035","P05-1015","92.8333"
"P05-1015","P04-1035","92.8333"
"P04-1035","W06-1639","15.8333"
"W06-1639","P04-1035","15.8333"
"P05-1015","W02-1011","56.8333"
"W02-1011","P05-1015","56.8333"
"W02-1011","W06-1639","8.83333"
"W06-1639","W02-1011","8.83333"
"P05-1015","W06-1639","2.33333"
"W06-1639","P05-1015","2.33333"
"P04-1035","P14-1017","1"
"P14-1017","P04-1035","1"
"P14-1017","W02-1011","2"
"W02-1011","P14-1017","2"
"P14-1017","W06-1639","1"
"W06-1639","P14-1017","1"
