"2020.acl-main.102","D19-1403","4"
"D19-1403","2020.acl-main.102","4"
"2020.acl-main.664","2021.acl-short.36","1"
"2021.acl-short.36","2020.acl-main.664","1"
"2020.findings-emnlp.127","D19-1193","1.5"
"D19-1193","2020.findings-emnlp.127","1.5"
"2020.findings-emnlp.127","P17-1152","0.5"
"P17-1152","2020.findings-emnlp.127","0.5"
"D19-1193","P17-1152","2.5"
"P17-1152","D19-1193","2.5"
"C10-2177","P09-1062","1"
"P09-1062","C10-2177","1"
"C18-1154","P17-1152","2"
"P17-1152","C18-1154","2"
"C18-1154","W17-5307","1.5"
"W17-5307","C18-1154","1.5"
"P17-1152","W17-5307","7.5"
"W17-5307","P17-1152","7.5"
"C18-1154","P18-1224","0.5"
"P18-1224","C18-1154","0.5"
"P17-1152","P18-1224","12"
"P18-1224","P17-1152","12"
"E14-1064","S13-2053","1"
"S13-2053","E14-1064","1"
"E17-2088","L16-1623","3"
"L16-1623","E17-2088","3"
"E17-2088","S16-1003","10.5"
"S16-1003","E17-2088","10.5"
"L16-1623","S16-1003","7.66667"
"S16-1003","L16-1623","7.66667"
"E17-2088","P17-1152","0.5"
"P17-1152","E17-2088","0.5"
"P17-1152","S16-1003","0.5"
"S16-1003","P17-1152","0.5"
"L16-1623","S13-2053","3.33333"
"S13-2053","L16-1623","3.33333"
"L16-1623","S14-2076","0.833333"
"S14-2076","L16-1623","0.833333"
"S13-2053","S14-2076","14.5"
"S14-2076","S13-2053","14.5"
"S13-2053","S16-1003","8.16667"
"S16-1003","S13-2053","8.16667"
"S14-2076","S16-1003","1.66667"
"S16-1003","S14-2076","1.66667"
"L16-1623","P14-1029","0.5"
"P14-1029","L16-1623","0.5"
"P14-1029","S13-2053","9.03333"
"S13-2053","P14-1029","9.03333"
"L16-1623","N16-1106","0.333333"
"N16-1106","L16-1623","0.333333"
"L16-1623","S15-1001","0.333333"
"S15-1001","L16-1623","0.333333"
"N16-1106","S15-1001","1.33333"
"S15-1001","N16-1106","1.33333"
"N16-1106","S16-1003","0.333333"
"S16-1003","N16-1106","0.333333"
"S15-1001","S16-1003","0.333333"
"S16-1003","S15-1001","0.333333"
"N06-2050","P08-1054","0.5"
"P08-1054","N06-2050","0.5"
"N06-2050","P09-1062","1.5"
"P09-1062","N06-2050","1.5"
"P08-1054","P09-1062","0.5"
"P09-1062","P08-1054","0.5"
"P14-1029","P15-1011","1.2"
"P15-1011","P14-1029","1.2"
"P14-1029","S14-2077","1.03333"
"S14-2077","P14-1029","1.03333"
"P14-1029","S15-1001","0.2"
"S15-1001","P14-1029","0.2"
"P14-1029","W14-2607","0.2"
"W14-2607","P14-1029","0.2"
"P15-1011","S13-2053","0.2"
"S13-2053","P15-1011","0.2"
"P15-1011","S14-2077","0.2"
"S14-2077","P15-1011","0.2"
"P15-1011","S15-1001","0.2"
"S15-1001","P15-1011","0.2"
"P15-1011","W14-2607","0.2"
"W14-2607","P15-1011","0.2"
"S13-2053","S14-2077","20.3667"
"S14-2077","S13-2053","20.3667"
"S13-2053","S15-1001","0.2"
"S15-1001","S13-2053","0.2"
"S13-2053","W14-2607","1.2"
"W14-2607","S13-2053","1.2"
"S14-2077","S15-1001","0.2"
"S15-1001","S14-2077","0.2"
"S14-2077","W14-2607","0.2"
"W14-2607","S14-2077","0.2"
"S15-1001","W14-2607","0.2"
"W14-2607","S15-1001","0.2"
"P14-1029","S14-2076","1.83333"
"S14-2076","P14-1029","1.83333"
"S14-2076","S14-2077","1.16667"
"S14-2077","S14-2076","1.16667"
"P15-1011","P18-1224","1"
"P18-1224","P15-1011","1"
"P15-1011","S16-1003","1"
"S16-1003","P15-1011","1"
"P15-1011","P17-1152","0.5"
"P17-1152","P15-1011","0.5"
"P15-1011","W17-5307","0.5"
"W17-5307","P15-1011","0.5"
"P18-1224","W17-5307","0.5"
"W17-5307","P18-1224","0.5"
"S14-2077","S16-1003","1.83333"
"S16-1003","S14-2077","1.83333"
"S16-1003","W17-5307","1"
"W17-5307","S16-1003","1"
