"2020.aacl-main.26","2020.lrec-1.700","1"
"O00-2001","Y00-1012","0.1"
"Y00-1012","O00-2001","0.1"
"O00-2002","O00-2003","0.35"
"O00-2003","O00-2002","0.35"
"O00-2002","O00-2004","0.1"
"O00-2004","O00-2002","0.1"
"O00-2002","O00-2005","0.1"
"O00-2005","O00-2002","0.1"
"O00-2002","O03-1006","0.3"
"O03-1006","O00-2002","0.3"
"O00-2002","O98-3004","0.1"
"O98-3004","O00-2002","0.1"
"O00-2002","W02-1106","0.1"
"W02-1106","O00-2002","0.1"
"O00-2002","W03-1405","0.3"
"W03-1405","O00-2002","0.3"
"O00-2002","Y00-1012","3.1"
"Y00-1012","O00-2002","3.1"
"O00-2003","O00-2004","0.1"
"O00-2004","O00-2003","0.1"
"O00-2003","O00-2005","0.1"
"O00-2005","O00-2003","0.1"
"O00-2003","O03-1006","0.1"
"O03-1006","O00-2003","0.1"
"O00-2003","O98-3004","0.1"
"O98-3004","O00-2003","0.1"
"O00-2003","W02-1106","0.1"
"W02-1106","O00-2003","0.1"
"O00-2003","W03-1405","0.1"
"W03-1405","O00-2003","0.1"
"O00-2003","Y00-1012","0.1"
"Y00-1012","O00-2003","0.1"
"O00-2004","O00-2005","0.1"
"O00-2005","O00-2004","0.1"
"O00-2004","O03-1006","0.1"
"O03-1006","O00-2004","0.1"
"O00-2004","O98-3004","0.266667"
"O98-3004","O00-2004","0.266667"
"O00-2004","W02-1106","0.1"
"W02-1106","O00-2004","0.1"
"O00-2004","W03-1405","0.1"
"W03-1405","O00-2004","0.1"
"O00-2004","Y00-1012","0.1"
"Y00-1012","O00-2004","0.1"
"O00-2005","O03-1006","0.1"
"O03-1006","O00-2005","0.1"
"O00-2005","O98-3004","0.1"
"O98-3004","O00-2005","0.1"
"O00-2005","W02-1106","0.1"
"W02-1106","O00-2005","0.1"
"O00-2005","W03-1405","0.1"
"W03-1405","O00-2005","0.1"
"O00-2005","Y00-1012","0.1"
"Y00-1012","O00-2005","0.1"
"O03-1006","O98-3004","0.1"
"O98-3004","O03-1006","0.1"
"O03-1006","W02-1106","0.1"
"W02-1106","O03-1006","0.1"
"O03-1006","W03-1405","1.8"
"W03-1405","O03-1006","1.8"
"O03-1006","Y00-1012","0.1"
"Y00-1012","O03-1006","0.1"
"O98-3004","W02-1106","0.1"
"W02-1106","O98-3004","0.1"
"O98-3004","W03-1405","0.1"
"W03-1405","O98-3004","0.1"
"O98-3004","Y00-1012","0.1"
"Y00-1012","O98-3004","0.1"
"W02-1106","W03-1405","0.1"
"W03-1405","W02-1106","0.1"
"W02-1106","Y00-1012","0.1"
"Y00-1012","W02-1106","0.1"
"W03-1405","Y00-1012","0.1"
"Y00-1012","W03-1405","0.1"
"C94-1088","Y96-1018","1"
"Y96-1018","C94-1088","1"
"C96-2184","Y96-1018","2.5"
"Y96-1018","C96-2184","2.5"
"C96-2184","O97-4003","1.5"
"O97-4003","C96-2184","1.5"
"O97-4003","Y96-1018","4"
"Y96-1018","O97-4003","4"
"chou-etal-2008-extended","chou-huang-2006-hantology","0.5"
"chou-huang-2006-hantology","chou-etal-2008-extended","0.5"
"chou-etal-2008-extended","W08-1907","0.5"
"W08-1907","chou-etal-2008-extended","0.5"
"chou-huang-2006-hantology","W08-1907","0.5"
"W08-1907","chou-huang-2006-hantology","0.5"
"chou-huang-2006-hantology","I05-7002","0.5"
"I05-7002","chou-huang-2006-hantology","0.5"
"chou-huang-2006-hantology","I08-1052","0.5"
"I08-1052","chou-huang-2006-hantology","0.5"
"I05-7002","I08-1052","0.5"
"I08-1052","I05-7002","0.5"
"chou-huang-2006-hantology","W06-1003","1"
"W06-1003","chou-huang-2006-hantology","1"
"D16-1205","L16-1722","1"
"L16-1722","D16-1205","1"
"D16-1205","W15-4208","1"
"W15-4208","D16-1205","1"
"D17-1048","P10-1043","1"
"P10-1043","D17-1048","1"
"D17-1048","I17-2043","1"
"I17-2043","D17-1048","1"
"huang-etal-2004-sinica","W15-4208","0.25"
"W15-4208","huang-etal-2004-sinica","0.25"
"huang-etal-2004-sinica","Y06-1024","0.25"
"Y06-1024","huang-etal-2004-sinica","0.25"
"huang-etal-2004-sinica","Y14-1018","0.25"
"Y14-1018","huang-etal-2004-sinica","0.25"
"huang-etal-2004-sinica","Y96-1018","1.25"
"Y96-1018","huang-etal-2004-sinica","1.25"
"W15-4208","Y06-1024","0.25"
"Y06-1024","W15-4208","0.25"
"W15-4208","Y14-1018","1.41667"
"Y14-1018","W15-4208","1.41667"
"W15-4208","Y96-1018","0.25"
"Y96-1018","W15-4208","0.25"
"Y06-1024","Y14-1018","0.25"
"Y14-1018","Y06-1024","0.25"
"Y06-1024","Y96-1018","3.25"
"Y96-1018","Y06-1024","3.25"
"Y14-1018","Y96-1018","0.25"
"Y96-1018","Y14-1018","0.25"
"huang-etal-2004-sinica","O03-1006","0.7"
"O03-1006","huang-etal-2004-sinica","0.7"
"huang-etal-2004-sinica","W03-1405","0.7"
"W03-1405","huang-etal-2004-sinica","0.7"
"huang-etal-2004-sinica","O04-1030","1"
"O04-1030","huang-etal-2004-sinica","1"
"huang-etal-2004-sinica","O05-5001","1.5"
"O05-5001","huang-etal-2004-sinica","1.5"
"huang-etal-2004-sinica","I05-3014","0.5"
"I05-3014","huang-etal-2004-sinica","0.5"
"huang-etal-2004-sinica","P06-2106","0.75"
"P06-2106","huang-etal-2004-sinica","0.75"
"huang-etal-2004-sinica","vossen-etal-2008-kyoto","0.25"
"vossen-etal-2008-kyoto","huang-etal-2004-sinica","0.25"
"I05-3014","O05-5001","0.5"
"O05-5001","I05-3014","0.5"
"I05-3014","P06-2106","0.25"
"P06-2106","I05-3014","0.25"
"I05-3014","vossen-etal-2008-kyoto","0.25"
"vossen-etal-2008-kyoto","I05-3014","0.25"
"O05-5001","P06-2106","0.25"
"P06-2106","O05-5001","0.25"
"O05-5001","vossen-etal-2008-kyoto","0.25"
"vossen-etal-2008-kyoto","O05-5001","0.25"
"P06-2106","vossen-etal-2008-kyoto","0.25"
"vossen-etal-2008-kyoto","P06-2106","0.25"
"huang-etal-2004-sinica","O98-3003","1.2"
"O98-3003","huang-etal-2004-sinica","1.2"
"huang-etal-2004-sinica","zhang-etal-2004-distributional","0.5"
"zhang-etal-2004-distributional","huang-etal-2004-sinica","0.5"
"P06-2106","zhang-etal-2004-distributional","0.5"
"zhang-etal-2004-distributional","P06-2106","0.5"
"huang-etal-2004-sinica","O00-2001","0.25"
"O00-2001","huang-etal-2004-sinica","0.25"
"huang-etal-2004-sinica","O00-2002","0.45"
"O00-2002","huang-etal-2004-sinica","0.45"
"huang-etal-2004-sinica","O00-2003","0.25"
"O00-2003","huang-etal-2004-sinica","0.25"
"huang-etal-2004-sinica","Y04-1015","0.25"
"Y04-1015","huang-etal-2004-sinica","0.25"
"O00-2001","Y04-1015","0.25"
"Y04-1015","O00-2001","0.25"
"O00-2002","Y04-1015","0.25"
"Y04-1015","O00-2002","0.25"
"O00-2003","Y04-1015","0.25"
"Y04-1015","O00-2003","0.25"
"huang-etal-2004-sinica","W02-1106","1.25"
"W02-1106","huang-etal-2004-sinica","1.25"
"huang-etal-2004-sinica","W09-3418","0.25"
"W09-3418","huang-etal-2004-sinica","0.25"
"I05-3014","W02-1106","0.25"
"W02-1106","I05-3014","0.25"
"I05-3014","W09-3418","0.25"
"W09-3418","I05-3014","0.25"
"O05-5001","W02-1106","0.25"
"W02-1106","O05-5001","0.25"
"O05-5001","W09-3418","0.25"
"W09-3418","O05-5001","0.25"
"W02-1106","W09-3418","0.25"
"W09-3418","W02-1106","0.25"
"huang-etal-2004-sinica","Y95-1011","0.2"
"Y95-1011","huang-etal-2004-sinica","0.2"
"O00-2002","O98-3003","0.2"
"O98-3003","O00-2002","0.2"
"O00-2002","Y95-1011","0.2"
"Y95-1011","O00-2002","0.2"
"O03-1006","O98-3003","0.2"
"O98-3003","O03-1006","0.2"
"O03-1006","Y95-1011","0.2"
"Y95-1011","O03-1006","0.2"
"O98-3003","W03-1405","0.2"
"W03-1405","O98-3003","0.2"
"O98-3003","Y95-1011","0.2"
"Y95-1011","O98-3003","0.2"
"W03-1405","Y95-1011","0.2"
"Y95-1011","W03-1405","0.2"
"huang-etal-2004-sinica","I05-7002","1"
"I05-7002","huang-etal-2004-sinica","1"
"huang-etal-2008-quality","ma-huang-2006-uniform","1"
"ma-huang-2006-uniform","huang-etal-2008-quality","1"
"I05-3007","Y06-1024","0.5"
"Y06-1024","I05-3007","0.5"
"I05-3007","Y96-1018","0.5"
"Y96-1018","I05-3007","0.5"
"I05-3007","O98-3004","0.5"
"O98-3004","I05-3007","0.5"
"ma-huang-2006-uniform","O98-3004","0.5"
"O98-3004","ma-huang-2006-uniform","0.5"
"I05-4007","W02-1106","1"
"W02-1106","I05-4007","1"
"I05-7003","Y04-1003","1"
"Y04-1003","I05-7003","1"
"I08-1052","P06-2106","1"
"P06-2106","I08-1052","1"
"L16-1722","L16-1723","0.666667"
"L16-1723","L16-1722","0.666667"
"L16-1722","W15-4208","14.1667"
"W15-4208","L16-1722","14.1667"
"L16-1722","Y14-1018","0.666667"
"Y14-1018","L16-1722","0.666667"
"L16-1723","W15-4208","0.666667"
"W15-4208","L16-1723","0.666667"
"L16-1723","Y14-1018","1.16667"
"Y14-1018","L16-1723","1.16667"
"L16-1722","Y16-2021","1.5"
"Y16-2021","L16-1722","1.5"
"W15-4208","Y16-2021","0.5"
"Y16-2021","W15-4208","0.5"
"L16-1723","Y16-2021","1.5"
"Y16-2021","L16-1723","1.5"
"Y14-1018","Y16-2021","0.5"
"Y16-2021","Y14-1018","0.5"
"lee-etal-2010-emotion","Y09-1011","0.5"
"Y09-1011","lee-etal-2010-emotion","0.5"
"W10-0206","Y09-1011","0.5"
"Y09-1011","W10-0206","0.5"
"lee-etal-2010-emotion","W09-3001","2"
"W09-3001","lee-etal-2010-emotion","2"
"lee-etal-2014-annotating","W10-0206","1"
"W10-0206","lee-etal-2014-annotating","1"
"ma-huang-2006-uniform","Y96-1018","1"
"Y96-1018","ma-huang-2006-uniform","1"
"O00-2004","O98-3003","0.166667"
"O98-3003","O00-2004","0.166667"
"O00-2004","O99-1005","0.166667"
"O99-1005","O00-2004","0.166667"
"O00-2004","Y96-1018","0.166667"
"Y96-1018","O00-2004","0.166667"
"O00-2004","Y99-1004","0.166667"
"Y99-1004","O00-2004","0.166667"
"O00-2004","Y99-1005","0.166667"
"Y99-1005","O00-2004","0.166667"
"O98-3003","O98-3004","0.166667"
"O98-3004","O98-3003","0.166667"
"O98-3003","O99-1005","0.166667"
"O99-1005","O98-3003","0.166667"
"O98-3003","Y96-1018","0.166667"
"Y96-1018","O98-3003","0.166667"
"O98-3003","Y99-1004","0.166667"
"Y99-1004","O98-3003","0.166667"
"O98-3003","Y99-1005","0.166667"
"Y99-1005","O98-3003","0.166667"
"O98-3004","O99-1005","0.166667"
"O99-1005","O98-3004","0.166667"
"O98-3004","Y96-1018","0.166667"
"Y96-1018","O98-3004","0.166667"
"O98-3004","Y99-1004","0.166667"
"Y99-1004","O98-3004","0.166667"
"O98-3004","Y99-1005","0.166667"
"Y99-1005","O98-3004","0.166667"
"O99-1005","Y96-1018","0.166667"
"Y96-1018","O99-1005","0.166667"
"O99-1005","Y99-1004","0.166667"
"Y99-1004","O99-1005","0.166667"
"O99-1005","Y99-1005","0.166667"
"Y99-1005","O99-1005","0.166667"
"Y96-1018","Y99-1004","0.166667"
"Y99-1004","Y96-1018","0.166667"
"Y96-1018","Y99-1005","0.166667"
"Y99-1005","Y96-1018","0.166667"
"Y99-1004","Y99-1005","0.166667"
"Y99-1005","Y99-1004","0.166667"
"O08-1009","P07-2018","1"
"P07-2018","O08-1009","1"
"O91-1003","O97-4003","0.5"
"O97-4003","O91-1003","0.5"
"O91-1003","Y96-1018","0.5"
"Y96-1018","O91-1003","0.5"
"O97-3006","Y96-1018","2"
"Y96-1018","O97-3006","2"
"P06-2106","tokunaga-etal-2008-adapting","1"
"tokunaga-etal-2008-adapting","P06-2106","1"
"P07-2018","Y06-1024","0.5"
"Y06-1024","P07-2018","0.5"
"P07-2018","Y96-1018","0.5"
"Y96-1018","P07-2018","0.5"
"P07-2018","Y09-2034","1"
"Y09-2034","P07-2018","1"
"P09-1078","P10-1043","1"
"P10-1043","P09-1078","1"
"vossen-etal-2008-kyoto","W06-1003","1"
"W06-1003","vossen-etal-2008-kyoto","1"
"W00-1205","W14-5810","1"
"W14-5810","W00-1205","1"
"W00-1205","W14-5301","0.333333"
"W14-5301","W00-1205","0.333333"
"W00-1205","Y08-1042","0.333333"
"Y08-1042","W00-1205","0.333333"
"W14-5301","Y08-1042","0.333333"
"Y08-1042","W14-5301","0.333333"
"W14-5301","Y96-1018","0.333333"
"Y96-1018","W14-5301","0.333333"
"Y08-1042","Y96-1018","1.33333"
"Y96-1018","Y08-1042","1.33333"
"W10-2102","Y96-1018","1"
"Y96-1018","W10-2102","1"
"W13-5408","Y00-1012","1"
"Y00-1012","W13-5408","1"
"W14-4715","W14-5818","0.5"
"W14-5818","W14-4715","0.5"
"W14-4715","Y96-1018","0.5"
"Y96-1018","W14-4715","0.5"
"W14-5818","Y96-1018","1.5"
"Y96-1018","W14-5818","1.5"
"W14-5301","W14-5810","0.5"
"W14-5810","W14-5301","0.5"
"W14-5301","Y16-3018","0.5"
"Y16-3018","W14-5301","0.5"
"W14-5810","Y16-3018","0.5"
"Y16-3018","W14-5810","0.5"
"W15-4208","Y15-1021","1.5"
"Y15-1021","W15-4208","1.5"
"Y14-1018","Y15-1021","0.5"
"Y15-1021","Y14-1018","0.5"
"Y04-1003","Y08-1018","1"
"Y08-1018","Y04-1003","1"
"Y06-1043","zhang-etal-2004-distributional","1"
"zhang-etal-2004-distributional","Y06-1043","1"
"Y15-1045","Y96-1018","1"
"Y96-1018","Y15-1045","1"
