"N18-3001","2018","1","3"
"S12-1062","2012","2","2"
"P12-3024","2012","19","2"
"D11-1042","2011","4","3"
"W10-1750","2010","21","2"
"2010.amta-papers.3","2010","-1","2"
"W09-0440","2009","12","1"
"P09-1035","2009","9","2"
"2009.eamt-smart.2","2009","-1","1"
"W08-0332","2008","55","1"
"gimenez-marquez-2008-towards","2008","9","1"
"I08-1042","2008","12","1"
"W07-0719","2007","39","1"
"W07-0738","2007","87","1"
"W06-3126","2006","3","1"
"P06-2003","2006","22","2"
"P06-2037","2006","5","1"
"gimenez-amigo-2006-iqmt","2006","25","1"
"W05-0826","2005","10","1"
"W05-0628","2005","40","3"
"2005.iwslt-1.26","2005","8","2"
"gimenez-marquez-2004-svmtool","2004","296","1"
"arranz-etal-2004-bilingual","2004","2","4"
