"2009.mtsummit-posters.8","W10-1753","1"
"W10-1753","2009.mtsummit-posters.8","1"
"2010.amta-papers.27","2011.mtsummit-tutorials.2","1"
"2011.mtsummit-tutorials.2","2010.amta-papers.27","1"
"2010.amta-papers.27","P10-1064","2.5"
"P10-1064","2010.amta-papers.27","2.5"
"2010.amta-papers.27","C10-2043","0.5"
"C10-2043","2010.amta-papers.27","0.5"
"C10-2043","P10-1064","4.33333"
"P10-1064","C10-2043","4.33333"
"2011.mtsummit-papers.52","P10-1064","1.33333"
"P10-1064","2011.mtsummit-papers.52","1.33333"
"2011.mtsummit-papers.52","P11-1124","4.33333"
"P11-1124","2011.mtsummit-papers.52","4.33333"
"P10-1064","P11-1124","7.83333"
"P11-1124","P10-1064","7.83333"
"2011.mtsummit-papers.52","C10-2043","0.333333"
"C10-2043","2011.mtsummit-papers.52","0.333333"
"C10-2043","P11-1124","2.83333"
"P11-1124","C10-2043","2.83333"
"C12-2122","W09-0416","1"
"W09-0416","C12-2122","1"
"N15-1026","W15-2709","1"
"W15-2709","N15-1026","1"
